"Daily Weather Observations for Green Cape, New South Wales for December 2020"
"Prepared at 13:00 UTC on Sunday 10 October 2021   IDCJDW2051.202012"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Green Cape AWS {station 069137}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-12-1,18.5,22.3,0,,,NNE,78,03:34,20.2,82,,NNE,50,1007.3,21.6,86,,NNE,43,1002.1
,2020-12-2,15.8,20.9,0,,,S,76,14:22,17.3,53,,SW,33,1018.6,18.4,64,,S,61,1018.5
,2020-12-3,14.7,23.4,0,,,NNE,37,10:22,18.1,78,,NNE,26,1022.0,22.8,69,,NNE,26,1018.0
,2020-12-4,15.2,23.5,0,,,S,74,12:57,20.1,83,,NNE,20,1012.8,19.0,77,,SSW,56,1011.6
,2020-12-5,15.0,21.5,0,,,NNE,70,09:38,19.5,78,,NNE,43,1009.3,20.9,84,,NNE,54,1000.0
,2020-12-6,16.2,21.9,2.2,,,S,37,01:53,20.2,68,,S,13,997.7,21.4,58,,SSE,24,999.6
,2020-12-7,15.5,21.9,0,,,S,59,10:34,19.8,47,,W,31,1001.1,17.9,69,,S,46,1002.0
,2020-12-8,11.6,17.9,2.0,,,WSW,74,05:03,13.2,76,,WSW,44,1012.7,16.3,69,,SSW,35,1014.0
,2020-12-9,12.6,21.4,0.2,,,WSW,33,02:40,16.8,63,,WSW,15,1019.2,20.3,61,,ESE,7,1017.5
,2020-12-10,15.7,18.9,0,,,SW,65,10:02,16.7,75,,SW,41,1020.5,17.6,66,,SSW,52,1022.4
,2020-12-11,12.7,21.4,0,,,SSE,24,00:21,15.3,66,,W,13,1031.1,19.5,54,,E,15,1030.1
,2020-12-12,15.3,20.7,0,,,NE,43,21:25,18.7,69,,ENE,13,1032.9,19.7,68,,ENE,24,1030.5
,2020-12-13,17.2,22.8,0,,,NNE,57,16:13,19.1,75,,NE,33,1026.8,21.9,75,,NE,43,1023.4
,2020-12-14,17.9,25.0,0,,,NNE,48,00:10,21.1,81,,NNE,17,1021.4,24.5,73,,NNE,28,1018.7
,2020-12-15,18.8,22.1,0,,,NNE,54,05:05,20.1,86,,N,24,1015.8,21.1,86,,NNE,39,1012.9
,2020-12-16,18.4,21.2,0,,,SSW,39,19:34,20.4,100,,NNW,4,1014.2,17.7,100,,S,26,1011.5
,2020-12-17,17.6,23.8,19.6,,,W,24,00:02,20.1,100,, ,Calm,1005.2,22.2,93,,ENE,9,1003.9
,2020-12-18,18.8,21.3,1.0,,,SSW,72,11:44,19.4,94,,SSW,31,1005.6,18.2,80,,SSW,52,1007.7
,2020-12-19,14.0,21.4,0.2,,,SW,52,00:40,16.9,64,,WSW,24,1018.4,20.5,65,,SSE,26,1017.4
,2020-12-20,15.2,25.4,2.0,,,SSE,48,12:11,17.1,95,,W,13,1014.9,21.6,74,,E,26,1012.9
,2020-12-21,16.8,22.7,0.4,,,NNE,48,21:19,20.8,88,, ,Calm,1012.4,21.8,81,,NNE,28,1008.3
,2020-12-22,15.5,20.6,34.6,,,S,57,12:31,17.9,97,,WSW,39,1000.3,19.2,85,,SSW,48,999.9
,2020-12-23,15.7,21.6,4.6,,,SW,57,14:31,18.8,75,,SSW,39,1013.5,19.9,76,,SW,43,1014.9
,2020-12-24,15.8,20.4,0,,,SSW,57,13:11,17.0,75,,SW,20,1016.5,18.0,77,,SSW,39,1015.4
,2020-12-25,14.7,21.0,0.2,,,SW,44,01:42,17.0,62,,SW,31,1020.6,18.2,74,,SSE,31,1021.1
,2020-12-26,16.9,22.4,0,,,NNE,69,12:13,19.1,76,,NNE,41,1019.2,20.9,81,,NNE,52,1015.2
,2020-12-27,17.9,23.6,3.2,,,N,67,00:03,21.4,88,,NNE,26,1011.6,22.6,83,,NNE,46,1007.3
,2020-12-28,14.8,17.7,0,,,SW,70,05:54,16.1,76,,SW,50,1010.0,17.2,62,,SSW,39,1011.0
,2020-12-29,15.0,20.8,0,,,SW,33,02:05,16.8,73,,SSW,24,1015.9,20.3,67,,S,11,1017.1
,2020-12-30,15.7,23.4,0,,,NNE,39,18:55,19.3,82,,N,17,1019.7,22.0,69,,NNE,30,1019.2
,2020-12-31,19.1,22.3,0,,,NE,37,23:15,19.8,79,,NE,28,1021.0,21.5,70,,NE,22,1021.4
