"Daily Weather Observations for Grenfell, New South Wales for June 2021"
"Prepared at 13:00 UTC on Monday 18 October 2021   IDCJDW2052.202106"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Grenfell (Manganese Rd) {station 073014}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-06-1,0.4,15.0,0,,,,,,9.5,91,7, ,Calm,,,,,,,
,2021-06-2,6.5,19.4,0,,,,,,10.6,87,7, ,Calm,,,,,,,
,2021-06-3,9.9,13.8,24.0,,,,,,11.5,100,8, ,Calm,,,,,,,
,2021-06-4,10.2,12.3,1.8,,,,,,10.5,94,8,SW,19,,,,,,,
,2021-06-5,-1.8,11.2,3.2,,,,,,5.2,97,0, ,Calm,,,,,,,
,2021-06-6,-0.4,14.0,0.2,,,,,,6.5,97,3, ,Calm,,,,,,,
,2021-06-7,1.0,16.7,0,,,,,,9.5,100,6, ,Calm,,,,,,,
,2021-06-8,7.0,16.5,0,,,,,,13.0,56,1,N,41,,,,,,,
,2021-06-9,4.8,6.5,20.8,,,,,,5.6,100,8,WNW,11,,,,,,,
,2021-06-10,3.0,9.0,9.6,,,,,,6.4,87,5,SE,11,,,,,,,
,2021-06-11,1.7,10.7,0.4,,,,,,6.0,100,8,W,4,,,,,,,
,2021-06-12,0.6,11.7,0,,,,,,6.6,100,6,N,11,,,,,,,
,2021-06-13,3.9,11.8,0,,,,,,8.4,97,8, ,Calm,,,,,,,
,2021-06-14,3.8,12.8,0,,,,,,9.1,85,7, ,Calm,,,,,,,
,2021-06-15,1.7,14.5,0,,,,,,8.0,100,4, ,Calm,,,,,,,
,2021-06-16,1.3,12.5,0,,,,,,9.2,92,5, ,Calm,,,,,,,
,2021-06-17,2.9,11.8,20.8,,,,,,8.1,82,3,WNW,7,,,,,,,
,2021-06-18,7.8,12.0,1.8,,,,,,9.3,99,8,NW,4,,,,,,,
,2021-06-19,4.0,13.9,0.8,,,,,,7.5,93,0,SE,4,,,,,,,
,2021-06-20,0.8,14.5,0,,,,,,9.1,70,0,SE,11,,,,,,,
,2021-06-21,1.2,15.0,0,,,,,,8.8,84,0, ,Calm,,,,,,,
,2021-06-22,0.0,16.6,0,,,,,,8.0,93,5, ,Calm,,,,,,,
,2021-06-23,6.5,14.3,0,,,,,,12.0,71,8,N,26,,,,,,,
,2021-06-24,11.2,13.4,16.8,,,,,,13.0,94,8,N,44,,,,,,,
,2021-06-25,4.8,14.2,17.2,,,,,,9.6,92,3, ,Calm,,,,,,,
,2021-06-26,4.8,12.8,8.4,,,,,,8.4,97,7, ,Calm,,,,,,,
,2021-06-27,0.5,10.8,1.4,,,,,,6.5,97,7, ,Calm,,,,,,,
,2021-06-28,6.5,15.7,0,,,,,,8.8,83,1,ESE,15,,,,,,,
,2021-06-29,1.0,17.4,0,,,,,,8.5,93,1, ,Calm,,,,,,,
,2021-06-30,2.8,17.6,0,,,,,,9.0,97,6, ,Calm,,,,,,,
