"Daily Weather Observations for Griffith, New South Wales for December 2020"
"Prepared at 13:00 UTC on Sunday 10 October 2021   IDCJDW2053.202012"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Griffith Airport AWS {station 075041}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-12-1,18.9,38.6,0,,,SW,69,13:32,31.0,34,,N,28,1005.3,32.2,25,5,SW,43,1007.6
,2020-12-2,12.8,26.2,0,,,SW,48,23:04,17.0,38,,S,22,1021.5,24.6,20,,SSE,15,1020.0
,2020-12-3,11.7,29.7,0,,,S,30,11:11,18.9,63,8,ESE,11,1020.9,27.8,16,,SSE,15,1017.5
,2020-12-4,9.4,33.8,0,,,WSW,46,12:37,24.5,25,,WNW,15,1016.3,33.4,11,,SW,28,1012.5
,2020-12-5,16.6,35.4,0,,,NNW,80,13:51,26.1,21,7,NNE,13,1006.6,26.5,56,7,NNW,56,1001.1
,2020-12-6,11.5,24.4,5.6,,,W,52,13:28,15.4,65,1,W,28,1008.5,23.1,32,4,WNW,31,1006.4
,2020-12-7,11.2,22.5,0,,,SW,56,16:25,18.2,48,1,WSW,26,1009.0,20.8,39,8,W,28,1007.0
,2020-12-8,6.8,23.4,2.4,,,SW,48,14:41,13.7,63,,SSW,20,1017.8,21.2,30,,WSW,20,1016.6
,2020-12-9,8.9,28.7,0,,,NW,28,11:19,18.6,41,,ESE,6,1020.1,26.5,26,,SW,13,1016.4
,2020-12-10,12.4,31.8,0,,,SSW,39,22:37,23.0,45,,SSE,17,1018.4,30.5,22,,SW,26,1016.5
,2020-12-11,15.5,31.1,0,,,E,54,01:19,19.9,49,,E,28,1024.2,29.2,24,,E,26,1020.1
,2020-12-12,14.1,30.2,0,,,E,54,23:28,19.6,45,,ENE,30,1026.7,29.1,19,,ENE,26,1021.7
,2020-12-13,16.2,32.1,0,,,ENE,48,01:31,21.6,45,,ENE,19,1021.9,30.8,21,,E,13,1016.9
,2020-12-14,17.8,34.1,0,,,ENE,43,00:53,23.1,49,,ENE,24,1017.8,32.5,20,,ENE,19,1012.9
,2020-12-15,19.7,34.5,0,,,E,33,10:41,23.3,56,8,ENE,17,1013.5,32.2,31,6,E,17,1009.9
,2020-12-16,21.8,32.7,1.0,,,WNW,50,14:00,26.6,63,6,E,17,1009.6,27.1,61,8,WNW,31,1005.9
,2020-12-17,18.6,37.3,0,,,WSW,46,15:50,26.6,68,,WNW,11,1005.4,35.9,29,,W,22,1003.0
,2020-12-18,17.3,29.5,0,,,SW,46,00:37,18.4,63,,SW,20,1010.5,27.9,24,,WSW,22,1009.9
,2020-12-19,9.8,28.0,0,,,SSW,39,15:01,16.7,42,,S,15,1016.3,26.8,12,,WSW,22,1013.3
,2020-12-20,15.6,31.4,0,,,WSW,39,14:15,22.1,29,,SE,13,1014.2,29.6,15,,SW,20,1011.0
,2020-12-21,19.2,27.9,0,,,NNW,50,13:28,23.2,33,6,E,13,1008.0,26.2,23,7,N,28,1005.5
,2020-12-22,14.1,24.8,0.8,,,SW,59,16:31,15.4,80,7,W,28,1007.5,22.4,39,6,W,30,1007.7
,2020-12-23,12.1,29.0,0.2,,,SW,35,23:54,16.7,61,,SSW,20,1017.4,26.5,30,,W,20,1015.3
,2020-12-24,14.3,30.7,0,,,WSW,43,16:01,20.1,46,,SE,9,1017.2,28.7,24,,WSW,26,1014.4
,2020-12-25,11.0,31.1,0,,,S,39,23:38,16.1,51,,S,9,1017.5,28.7,17,,SSW,17,1014.6
,2020-12-26,13.9,33.6,0,,,WNW,35,10:58,23.3,51,,NNE,19,1015.0,32.1,14,,NW,20,1011.5
,2020-12-27,16.1,38.9,0,,,N,44,13:02,30.3,22,,N,22,1009.6,37.2,12,4,NW,26,1004.7
,2020-12-28,16.0,29.7,0,,,WSW,46,16:21,17.4,56,3,SSW,20,1008.1,28.1,14,2,WSW,24,1007.3
,2020-12-29,11.5,29.4,0,,,SSW,35,23:57,15.9,43,,SSW,15,1014.0,26.4,18,,WNW,15,1011.8
,2020-12-30,15.7,33.7,0,,,E,43,21:56,23.1,57,,E,17,1015.4,32.1,24,1,SSW,15,1012.3
,2020-12-31,21.4,32.7,0,,,NW,37,16:18,25.5,51,2,NNE,22,1015.5,28.1,45,8,E,11,1013.1
