"Daily Weather Observations for Griffith, New South Wales for February 2021"
"Prepared at 13:00 UTC on Friday  8 October 2021   IDCJDW2053.202102"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Griffith Airport AWS {station 075041}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-02-1,20.0,30.1,0,,,NW,35,13:49,24.7,66,1,NE,17,1011.5,22.1,94,8,NW,22,1009.7
,2021-02-2,14.2,28.2,7.0,,,WSW,39,13:05,16.2,71,,SSW,15,1012.3,25.8,38,,SW,19,1010.4
,2021-02-3,12.8,30.7,0.2,,,E,31,07:30,20.2,65,,ENE,22,1011.4,28.8,31,2,WNW,13,1008.2
,2021-02-4,17.0,33.2,0,,,NNW,65,17:20,24.7,55,1,NNE,24,1006.3,32.3,26,3,N,22,1003.7
,2021-02-5,22.6,32.6,0,,,N,63,09:30,25.2,60,8,NNE,33,1002.9,24.5,79,8,N,30,1001.2
,2021-02-6,18.1,27.8,5.0,,,W,41,15:09,20.3,56,,WNW,11,1003.2,26.4,43,6,WNW,26,1002.4
,2021-02-7,15.0,28.8,0,,,SSW,52,11:30,17.7,71,,WSW,9,1009.1,26.7,40,,SSW,20,1008.0
,2021-02-8,11.2,29.3,0,,,S,31,23:37,15.8,66,,S,6,1012.5,26.9,28,,WNW,15,1010.7
,2021-02-9,15.8,32.0,0,,,NNE,35,08:41,23.3,58,,NE,19,1013.4,30.5,34,8,E,13,1011.2
,2021-02-10,20.3,32.3,0,,,NNE,35,08:55,23.0,52,,NNE,20,1014.0,30.9,29,,ESE,13,1010.9
,2021-02-11,19.8,34.1,0,,,N,46,07:57,25.3,43,,N,30,1011.2,32.9,23,,NE,9,1007.7
,2021-02-12,25.3,31.9,0,,,N,43,01:11,27.6,47,8,N,13,1003.7,26.9,50,8,SW,13,1004.2
,2021-02-13,14.6,29.1,0,,,SW,44,15:31,19.1,64,,SW,19,1009.8,27.4,29,,WSW,26,1009.5
,2021-02-14,14.4,30.2,0,,,SSE,35,23:05,20.8,64,,ENE,22,1014.7,27.6,39,5,ESE,13,1013.0
,2021-02-15,17.7,31.0,0,,,E,44,15:34,21.7,50,,ENE,28,1018.5,29.3,31,,E,22,1016.5
,2021-02-16,16.6,32.5,0,,,,,,20.6,64,,E,33,1020.9,30.8,33,,E,13,1017.7
,2021-02-17,18.9,32.0,0,,,ESE,39,16:42,22.2,62,5,ENE,24,1021.5,30.1,32,,ESE,20,1019.1
,2021-02-18,15.9,31.4,0,,,ENE,43,23:40,20.8,58,,E,22,1022.6,29.3,30,,ENE,20,1018.2
,2021-02-19,17.8,34.4,0,,,NNE,39,12:44,22.7,58,,E,17,1018.4,33.2,27,1,N,13,1013.8
,2021-02-20,20.4,35.9,0,,,SW,52,19:06,26.4,54,,N,20,1014.1,34.3,24,4,S,9,1010.9
,2021-02-21,20.7,38.0,0,,,WNW,39,16:26,28.6,39,,N,20,1009.6,37.2,21,6,SW,19,1006.6
,2021-02-22,18.4,30.0,0,,,SW,46,16:11,19.2,61,,SW,24,1009.6,28.5,26,,WSW,30,1008.3
,2021-02-23,13.1,25.7,0,,,S,46,23:06,15.1,54,,SSW,30,1014.4,24.5,24,,SSW,24,1013.3
,2021-02-24,12.7,29.0,0,,,S,33,23:38,18.0,59,,E,20,1015.9,26.9,33,5,ESE,17,1011.8
,2021-02-25,16.6,30.4,0,,,,,,22.0,61,,NE,2,1009.3,28.6,30,1,NW,19,1008.3
,2021-02-26,11.4,28.9,0,,,WSW,33,12:53,17.1,61,,SSE,17,1012.1,27.0,29,,SSW,15,1010.1
,2021-02-27,17.0,32.0,0,,,SW,33,12:09,21.2,40,7,ENE,11,1012.2,29.7,20,8,WSW,13,1010.3
,2021-02-28,15.7,34.4,0,,,SSE,35,12:47,23.3,37,,E,20,1011.4,32.3,15,,S,17,1009.5
