"Daily Weather Observations for Gunnedah, New South Wales for December 2020"
"Prepared at 13:00 UTC on Sunday 10 October 2021   IDCJDW2056.202012"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Gunnedah Airport, but some from Gunnedah Soil Conservation Service."
"Temperature, humidity, wind, pressure and rainfall observations are from Gunnedah Airport AWS {station 055202}"
"Cloud and evaporation observations are from Gunnedah Resource Centre {station 055024}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-12-1,19.2,41.8,0,,,NW,44,14:52,29.5,38,,SE,6,1012.6,39.4,21,,NW,30,1008.2
,2020-12-2,27.0,43.7,0,,,SSE,61,18:21,32.8,35,,SE,17,1012.4,42.2,15,,SW,9,1009.9
,2020-12-3,18.5,35.9,0,,,SW,74,17:39,26.9,44,,SE,19,1016.8,32.8,32,,S,35,1015.1
,2020-12-4,19.5,36.1,12.6,,,W,37,12:30,25.6,60,,SW,6,1016.1,34.2,32,,WNW,17,1011.2
,2020-12-5,18.8,36.9,0,,,W,63,13:54,29.4,48,,ESE,9,1009.7,22.5,76,,WSW,41,1006.6
,2020-12-6,20.8,33.2,8.6,,,W,48,14:52,24.8,76,,W,20,1005.7,32.5,27,,WNW,26,1003.9
,2020-12-7,18.0,30.4,0,,,WNW,46,15:48,21.6,46,, ,Calm,1008.9,28.5,20,,NW,20,1005.9
,2020-12-8,13.1,27.1,0,,,SW,44,00:28,19.1,40,,SW,20,1013.9,25.6,15,,WSW,15,1012.9
,2020-12-9,7.8,31.9,0,,,NW,30,12:02,20.6,35,,ESE,13,1017.8,30.9,12,,WNW,19,1014.4
,2020-12-10,10.9,33.6,0,,,SSE,56,21:23,23.8,39,,N,9,1017.7,30.8,20,,W,22,1014.0
,2020-12-11,17.1,26.1,0,,,SSE,56,14:43,21.9,51,,SSE,31,1021.5,23.1,43,,SE,33,1020.4
,2020-12-12,12.7,29.1,0.6,,,SE,57,14:46,21.0,40,,SE,28,1024.4,27.9,27,,ESE,30,1020.2
,2020-12-13,14.6,30.7,0,,,ESE,57,08:44,21.7,41,,SE,30,1020.0,29.6,19,,ENE,30,1015.4
,2020-12-14,18.1,30.0,0,,,ESE,54,14:43,21.6,55,,SE,24,1015.0,28.9,36,,ESE,30,1011.6
,2020-12-15,19.5,32.9,0,,,N,50,13:29,24.1,58,,SE,20,1011.0,25.0,73,,WSW,13,1007.3
,2020-12-16,20.4,32.0,21.4,,,NNW,39,18:24,24.7,76,,ESE,11,1010.6,30.3,47,,NE,6,1006.1
,2020-12-17,20.2,33.7,36.2,,,ENE,24,00:32,23.3,82,,ESE,15,1008.1,31.5,47,,WNW,13,1004.8
,2020-12-18,21.3,35.3,0,,,SW,98,15:20,29.1,56,,ENE,6,1008.4,31.5,48,,ENE,31,1004.5
,2020-12-19,17.9,32.7,41.0,,,SW,57,17:03,24.2,74,,SE,15,1012.2,31.1,45,,SSE,9,1009.3
,2020-12-20,18.6,32.7,7.0,,,SSW,39,15:42,23.8,66,,E,7,1010.3,30.0,45,,SSW,17,1007.9
,2020-12-21,18.9,20.1,2.0,,,SE,28,15:24,19.3,89,,SE,13,1010.7,19.1,87,,SSE,19,1007.7
,2020-12-22,18.7,24.2,71.8,,,W,37,14:24,20.0,87,,WNW,15,1005.9,23.2,60,,WNW,22,1006.7
,2020-12-23,12.1,27.7,0,,,SW,37,23:39,19.7,46,,SW,22,1014.1,25.0,35,,NE,7,1012.8
,2020-12-24,17.7,26.5,0,,,WNW,26,12:23,20.4,63,,ESE,11,1015.4,25.2,48,,WNW,13,1013.8
,2020-12-25,14.7,31.6,0,,,SSE,43,19:06,22.6,63,,SE,13,1015.4,30.3,26,,SSE,4,1012.8
,2020-12-26,15.5,31.6,0,,,ESE,63,17:44,23.1,57,,ESE,13,1017.1,29.5,41,,WNW,9,1012.8
,2020-12-27,16.8,31.4,2.0,,,NW,33,13:24,20.6,78,, ,Calm,1015.2,29.8,46,,NNW,20,1011.1
,2020-12-28,19.4,29.2,3.2,,,W,46,02:57,19.4,84,,NNW,24,1011.7,26.2,56,,NE,15,1009.3
,2020-12-29,18.8,28.1,0.6,,,SW,78,14:12,22.6,68,,SSE,17,1011.2,21.5,71,,W,33,1010.4
,2020-12-30,16.3,30.6,21.8,,,SSE,50,19:38,21.7,72,,SE,22,1014.2,29.7,46,,ESE,15,1011.4
,2020-12-31,17.7,29.5,0,,,SSE,48,16:11,23.4,73,,SE,19,1015.8,28.7,56,,SSE,17,1013.1
