"Daily Weather Observations for Guyra, New South Wales for September 2020"
"Prepared at 13:00 UTC on Wednesday 13 October 2021   IDCJDW2057.202009"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Guyra Hospital {station 056229}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-09-1,0.4,17.0,0,,,,,,10.4,73,0,NE,7,,,,,,,
,2020-09-2,3.6,16.2,0,,,,,,11.7,75,7,N,26,,,,,,,
,2020-09-3,6.7,17.1,0,,,,,,11.4,84,8,N,15,,,,,,,
,2020-09-4,7.0,17.7,0,,,,,,12.5,84,7,NW,15,,,,,,,
,2020-09-5,9.1,15.6,0,,,,,,11.1,90,8,NW,20,,,,,,,
,2020-09-6,7.0,14.8,0,,,,,,10.4,83,8,NE,15,,,,,,,
,2020-09-7,5.1,17.7,0,,,,,,11.0,83,0,NE,13,,,,,,,
,2020-09-8,2.9,18.9,0,,,,,,10.0,81,0,WNW,2,,,,,,,
,2020-09-9,4.4,18.1,0,,,,,,15.0,69,0,SE,7,,,,,,,
,2020-09-10,6.0,8.6,9.6,,,,,,6.7,96,8,SE,7,,,,,,,
,2020-09-11,3.0,12.9,5.8,,,,,,8.4,76,4,ESE,33,,,,,,,
,2020-09-12,2.4,14.1,0,,,,,,8.8,78,7,NE,26,,,,,,,
,2020-09-13,2.1,17.7,0,,,,,,12.0,70,0,WSW,4,,,,,,,
,2020-09-14,5.0,18.4,0,,,,,,13.7,69,0,ENE,4,,,,,,,
,2020-09-15,5.6,17.8,0,,,,,,10.8,61,0,E,15,,,,,,,
,2020-09-16,4.6,19.4,0,,,,,,13.2,67,0,WNW,7,,,,,,,
,2020-09-17,5.1,20.5,0,,,,,,14.8,65,0,SW,7,,,,,,,
,2020-09-18,4.4,18.9,0,,,,,,14.6,71,0,ENE,15,,,,,,,
,2020-09-19,4.9,18.1,0,,,,,,11.6,63,0,ENE,7,,,,,,,
,2020-09-20,7.1,16.1,1.2,,,,,,10.8,72,4,W,9,,,,,,,
,2020-09-21,8.9,21.7,2.0,,,,,,15.8,68,4,WNW,13,,,,,,,
,2020-09-22,10.8,18.1,7.0,,,,,,14.1,86,8,WNW,15,,,,,,,
,2020-09-23,6.4,16.6,15.0,,,,,,12.6,63,0,WNW,15,,,,,,,
,2020-09-24,2.9,13.7,0,,,,,,8.9,58,0,WSW,13,,,,,,,
,2020-09-25,2.4,16.6,0,,,,,,12.4,72,0,WNW,26,,,,,,,
,2020-09-26,-0.9,9.2,0,,,,,,4.0,80,2,W,65,,,,,,,
,2020-09-27,-2.6,12.5,0,,,,,,6.0,72,0,SW,15,,,,,,,
,2020-09-28,-0.8,14.1,0,,,,,,8.5,78,6,WNW,4,,,,,,,
,2020-09-29,2.9,15.6,0,,,,,,10.8,79,2,ENE,2,,,,,,,
,2020-09-30,3.9,14.0,0,,,,,,9.6,82,8, ,Calm,,,,,,,
