"Daily Weather Observations for Guyra, New South Wales for October 2020"
"Prepared at 13:00 UTC on Tuesday 12 October 2021   IDCJDW2057.202010"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Guyra Hospital {station 056229}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-10-1,4.9,16.0,1.8,,,,,,9.5,95,8,NW,20,,,,,,,
,2020-10-2,4.1,21.0,0,,,,,,15.9,60,0, ,Calm,,,,,,,
,2020-10-3,5.0,22.2,0,,,,,,17.4,56,0, ,Calm,,,,,,,
,2020-10-4,5.9,22.6,0,,,,,,13.0,84,0, ,Calm,,,,,,,
,2020-10-5,6.3,21.8,0,,,,,,14.9,71,0,WNW,4,,,,,,,
,2020-10-6,7.9,23.1,0,,,,,,17.2,71,0, ,Calm,,,,,,,
,2020-10-7,7.8,21.2,0,,,,,,14.9,81,2,ENE,4,,,,,,,
,2020-10-8,10.7,22.0,0,,,,,,17.0,77,6,NNW,15,,,,,,,
,2020-10-9,7.6,18.9,0,,,,,,14.1,69,0,W,7,,,,,,,
,2020-10-10,2.9,19.0,0,,,,,,12.5,63,0,SSE,6,,,,,,,
,2020-10-11,3.9,20.0,0,,,,,,14.0,60,0,ENE,4,,,,,,,
,2020-10-12,6.6,19.0,0,,,,,,13.5,74,4,NE,7,,,,,,,
,2020-10-13,8.6,19.3,7.0,,,,,,13.5,29,6,SSE,4,,,,,,,
,2020-10-14,2.7,17.9,0,,,,,,12.0,65,0,E,15,,,,,,,
,2020-10-15,4.6,21.1,0,,,,,,14.1,63,0,E,4,,,,,,,
,2020-10-16,8.3,22.1,0,,,,,,16.0,77,2,WNW,7,,,,,,,
,2020-10-17,8.0,22.5,0,,,,,,18.2,70,0,NW,20,,,,,,,
,2020-10-18,11.9,18.1,0,,,,,,15.0,81,7,NW,22,,,,,,,
,2020-10-19,7.9,17.0,8.8,,,,,,12.6,89,6,SE,13,,,,,,,
,2020-10-20,8.0,17.2,0,,,,,,12.0,89,6,NE,7,,,,,,,
,2020-10-21,6.5,20.7,0,,,,,,14.0,80,0,NW,4,,,,,,,
,2020-10-22,9.1,17.0,6.0,,,,,,13.2,89,8,WNW,4,,,,,,,
,2020-10-23,9.3,21.9,0,,,,,,15.0,84,7,NW,7,,,,,,,
,2020-10-24,12.9,15.6,13.0,,,,,,15.0,88,8,NNW,26,,,,,,,
,2020-10-25,10.0,19.4,24.0,,,,,,14.7,97,6,NW,37,,,,,,,
,2020-10-26,7.6,17.6,0,,,,,,14.2,77,2,NW,22,,,,,,,
,2020-10-27,5.9,19.3,0,,,,,,14.4,61,6,W,4,,,,,,,
,2020-10-28,9.3,18.3,2.0,,,,,,13.4,85,2,NE,13,,,,,,,
,2020-10-29,6.1,17.0,13.0,,,,,,13.9,80,7,NW,4,,,,,,,
,2020-10-30,6.1,21.0,0,,,,,,16.3,66,4,WNW,7,,,,,,,
,2020-10-31,10.5,18.2,3.0,,,,,,15.0,68,0,NW,20,,,,,,,
