"Daily Weather Observations for Guyra, New South Wales for November 2020"
"Prepared at 13:00 UTC on Monday 11 October 2021   IDCJDW2057.202011"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Guyra Hospital {station 056229}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-11-1,5.1,17.1,0,,,,,,12.1,78,6,SE,15,,,,,,,
,2020-11-2,6.0,17.1,0,,,,,,11.0,87,7,SE,22,,,,,,,
,2020-11-3,2.7,20.0,0,,,,,,12.1,82,0,SE,4,,,,,,,
,2020-11-4,4.7,22.0,0,,,,,,16.4,62,0,SW,4,,,,,,,
,2020-11-5,11.0,22.1,0,,,,,,19.5,73,3,NNW,20,,,,,,,
,2020-11-6,3.8,17.2,0,,,,,,10.7,80,6,SE,15,,,,,,,
,2020-11-7,3.6,20.1,0,,,,,,13.5,73,2,NW,4,,,,,,,
,2020-11-8,6.1,17.9,0,,,,,,10.1,87,7,SE,7,,,,,,,
,2020-11-9,3.8,18.8,0,,,,,,11.3,78,0,NE,6,,,,,,,
,2020-11-10,4.9,20.6,0,,,,,,14.2,77,0,SW,4,,,,,,,
,2020-11-11,6.7,22.6,0,,,,,,16.4,77,0,WNW,4,,,,,,,
,2020-11-12,9.0,21.1,0,,,,,,17.3,74,6,WNW,26,,,,,,,
,2020-11-13,9.1,19.1,2.0,,,,,,10.8,83,8,NNW,20,,,,,,,
,2020-11-14,12.4,22.5,4.4,,,,,,15.8,82,6,NW,15,,,,,,,
,2020-11-15,9.5,26.9,0,,,,,,19.8,58,0,E,2,,,,,,,
,2020-11-16,11.3,29.1,0,,,,,,23.3,70,1,NW,22,,,,,,,
,2020-11-17,14.7,25.8,6.6,,,,,,18.7,85,7,WNW,2,,,,,,,
,2020-11-18,9.5,23.1,0,,,,,,16.3,62,0,ENE,20,,,,,,,
,2020-11-19,9.4,27.3,0,,,,,,17.5,76,0, ,Calm,,,,,,,
,2020-11-20,10.0,27.5,0,,,,,,21.6,70,0,WSW,4,,,,,,,
,2020-11-21,11.9,28.7,0,,,,,,23.9,61,0, ,Calm,,,,,,,
,2020-11-22,12.7,27.0,0,,,,,,23.9,62,0,WNW,4,,,,,,,
,2020-11-23,13.3,27.2,0,,,,,,21.1,74,0,NW,26,,,,,,,
,2020-11-24,11.8,26.0,2.0,,,,,,20.1,72,0, ,Calm,,,,,,,
,2020-11-25,8.5,24.5,0,,,,,,16.7,73,0,E,7,,,,,,,
,2020-11-26,8.5,26.1,0,,,,,,19.5,79,2,WSW,20,,,,,,,
,2020-11-27,12.7,28.3,0,,,,,,19.0,77,0,ESE,7,,,,,,,
,2020-11-28,12.9,30.1,0,,,,,,25.0,63,0,WNW,4,,,,,,,
,2020-11-29,16.4,30.0,0,,,,,,22.3,72,0,NW,26,,,,,,,
,2020-11-30,14.6,32.2,0,,,,,,26.0,34,4,NW,4,,,,,,,
