"Daily Weather Observations for Guyra, New South Wales for January 2021"
"Prepared at 13:00 UTC on Saturday  9 October 2021   IDCJDW2057.202101"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Guyra Hospital {station 056229}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-01-1,13.1,22.1,0.8,,,,,,16.5,85,7,E,26,,,,,,,
,2021-01-2,13.2,20.0,0,,,,,,16.4,87,7,E,7,,,,,,,
,2021-01-3,12.9,20.9,5.2,,,,,,15.9,91,8,NE,4,,,,,,,
,2021-01-4,13.9,22.6,4.0,,,,,,17.2,93,8,NW,4,,,,,,,
,2021-01-5,12.9,24.8,0,,,,,,20.0,88,4,NW,20,,,,,,,
,2021-01-6,14.0,23.1,0.6,,,,,,21.5,82,6, ,Calm,,,,,,,
,2021-01-7,12.0,14.6,18.0,,,,,,14.0,97,8,SE,19,,,,,,,
,2021-01-8,9.1,15.7,6.0,,,,,,11.3,95,8,SE,22,,,,,,,
,2021-01-9,7.7,16.7,1.4,,,,,,13.4,84,2,ENE,31,,,,,,,
,2021-01-10,9.3,20.4,0,,,,,,13.5,88,8,ESE,26,,,,,,,
,2021-01-11,8.7,20.8,0,,,,,,12.0,89,6,ENE,15,,,,,,,
,2021-01-12,8.6,23.7,0,,,,,,17.8,82,0,E,2,,,,,,,
,2021-01-13,8.0,23.7,0,,,,,,13.1,92,4,ESE,4,,,,,,,
,2021-01-14,11.0,26.3,0,,,,,,19.5,79,0,WSW,13,,,,,,,
,2021-01-15,13.3,25.6,0,,,,,,22.1,62,2,WNW,15,,,,,,,
,2021-01-16,8.6,21.4,2.0,,,,,,15.6,72,7,S,7,,,,,,,
,2021-01-17,6.3,24.0,0,,,,,,16.5,71,6,WSW,4,,,,,,,
,2021-01-18,13.1,20.8,0,,,,,,17.5,92,8,NW,15,,,,,,,
,2021-01-19,10.0,24.5,3.2,,,,,,16.9,81,0,SW,7,,,,,,,
,2021-01-20,12.1,22.9,0,,,,,,14.5,91,8,E,7,,,,,,,
,2021-01-21,10.0,23.2,0,,,,,,15.1,89,7,ENE,4,,,,,,,
,2021-01-22,12.0,22.0,0,,,,,,16.3,88,7,WNW,20,,,,,,,
,2021-01-23,10.7,26.0,0,,,,,,19.0,77,0,W,4,,,,,,,
,2021-01-24,8.0,26.8,0,,,,,,18.0,64,0, ,Calm,,,,,,,
,2021-01-25,9.2,26.5,0,,,,,,17.8,83,0,NW,4,,,,,,,
,2021-01-26,12.6,26.3,0,,,,,,20.0,83,0,NW,4,,,,,,,
,2021-01-27,13.7,28.9,0,,,,,,20.4,85,0,NW,4,,,,,,,
,2021-01-28,15.9,23.7,1.6,,,,,,18.4,90,8,SE,26,,,,,,,
,2021-01-29,11.0,23.6,0,,,,,,17.3,84,6,ENE,39,,,,,,,
,2021-01-30,12.4,25.7,0,,,,,,18.4,82,4,E,15,,,,,,,
,2021-01-31,12.8,26.0,0,,,,,,21.0,78,0,SW,7,,,,,,,
