"Daily Weather Observations for Guyra, New South Wales for April 2021"
"Prepared at 13:00 UTC on Wednesday 20 October 2021   IDCJDW2057.202104"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Guyra Hospital {station 056229}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-04-1,7.1,17.2,0,,,,,,10.9,75,6,ESE,9,,,,,,,
,2021-04-2,9.2,17.9,0,,,,,,12.9,73,6,ESE,7,,,,,,,
,2021-04-3,10.4,17.3,0,,,,,,11.7,90,8,E,41,,,,,,,
,2021-04-4,8.1,15.7,0,,,,,,13.4,94,8,E,15,,,,,,,
,2021-04-5,11.3,17.2,0.8,,,,,,15.5,87,7,ENE,4,,,,,,,
,2021-04-6,11.2,16.0,0,,,,,,13.4,96,8,SE,26,,,,,,,
,2021-04-7,10.1,18.7,0.6,,,,,,15.6,88,6,SE,15,,,,,,,
,2021-04-8,11.0,19.1,0,,,,,,13.1,94,8,SE,13,,,,,,,
,2021-04-9,7.9,20.2,0,,,,,,16.5,81,0,WSW,4,,,,,,,
,2021-04-10,9.7,18.1,0,,,,,,16.0,76,4,SW,33,,,,,,,
,2021-04-11,2.6,13.9,0,,,,,,9.8,82,0,SW,26,,,,,,,
,2021-04-12,-1.0,15.4,0,,,,,,8.5,69,0,SSE,4,,,,,,,
,2021-04-13,-0.1,17.7,0,,,,,,10.3,81,0,E,4,,,,,,,
,2021-04-14,4.6,18.1,0,,,,,,13.3,78,0,WSW,20,,,,,,,
,2021-04-15,7.9,20.1,0,,,,,,15.7,74,3,WSW,4,,,,,,,
,2021-04-16,6.8,19.6,0,,,,,,16.0,61,0, ,Calm,,,,,,,
,2021-04-17,8.9,11.6,2.4,,,,,,10.6,94,8,ENE,2,,,,,,,
,2021-04-18,2.2,12.1,15.4,,,,,,6.7,90,8,SE,15,,,,,,,
,2021-04-19,1.5,16.7,0,,,,,,11.4,75,4, ,Calm,,,,,,,
,2021-04-20,4.5,16.7,0,,,,,,11.7,76,0,WNW,22,,,,,,,
,2021-04-21,6.5,15.2,0,,,,,,12.4,73,0,WSW,37,,,,,,,
,2021-04-22,1.1,14.3,0,,,,,,8.8,75,6,NW,15,,,,,,,
,2021-04-23,-1.6,15.0,0,,,,,,8.4,74,0,SE,15,,,,,,,
,2021-04-24,0.4,17.1,0,,,,,,11.1,70,2,WNW,2,,,,,,,
,2021-04-25,2.7,17.9,0,,,,,,12.0,75,0, ,Calm,,,,,,,
,2021-04-26,4.0,17.2,0,,,,,,9.9,88,4,NE,4,,,,,,,
,2021-04-27,5.1,17.7,0,,,,,,11.4,82,0,ESE,2,,,,,,,
,2021-04-28,1.1,17.4,0,,,,,,11.8,84,0,ENE,4,,,,,,,
,2021-04-29,4.7,17.5,0,,,,,,10.7,87,4,ENE,2,,,,,,,
,2021-04-30,3.4,16.1,0,,,,,,12.0,83,0,ENE,4,,,,,,,
