"Daily Weather Observations for Guyra, New South Wales for September 2021"
"Prepared at 13:00 UTC on Thursday 21 October 2021   IDCJDW2057.202109"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Guyra Hospital {station 056229}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-09-1,6.8,19.9,0,,,,,,15.3,84,3,WNW,4,,,,,,,
,2021-09-2,7.0,13.7,0,,,,,,11.4,94,8,ENE,7,,,,,,,
,2021-09-3,4.9,15.5,0,,,,,,11.5,83,0,NE,20,,,,,,,
,2021-09-4,4.9,16.5,0,,,,,,12.1,82,0,NNW,7,,,,,,,
,2021-09-5,8.4,,2.0,,,,,,9.9,94,8,NW,20,,,,,,,
,2021-09-6,-0.3,12.7,8.2,,,,,,6.1,78,4,SW,7,,,,,,,
,2021-09-7,-1.1,13.8,0,,,,,,9.1,59,0,SSE,6,,,,,,,
,2021-09-8,-1.2,17.4,0,,,,,,10.0,77,0,ENE,4,,,,,,,
,2021-09-9,4.3,18.8,0,,,,,,14.0,69,0,NW,7,,,,,,,
,2021-09-10,4.5,18.8,0,,,,,,13.5,72,0,SW,15,,,,,,,
,2021-09-11,4.6,19.9,0,,,,,,15.0,75,0,NW,20,,,,,,,
,2021-09-12,3.5,18.5,0,,,,,,13.8,81,0,NW,33,,,,,,,
,2021-09-13,4.0,17.0,0,,,,,,14.5,78,4,NW,31,,,,,,,
,2021-09-14,-2.0,8.0,0,,,,,,4.4,87,7,SSW,15,,,,,,,
,2021-09-15,2.1,12.9,2.0,,,,,,6.4,88,6,SSE,7,,,,,,,
,2021-09-16,-0.2,14.9,0,,,,,,8.5,81,0,E,4,,,,,,,
,2021-09-17,2.0,16.0,0,,,,,,11.0,84,2,NW,15,,,,,,,
,2021-09-18,3.8,18.5,0,,,,,,13.0,88,2,NW,41,,,,,,,
,2021-09-19,3.1,18.6,5.2,,,,,,13.8,66,0, ,Calm,,,,,,,
,2021-09-20,1.9,17.6,0,,,,,,14.5,70,0,WNW,37,,,,,,,
,2021-09-21,1.8,6.5,0,,,,,,4.4,78,8,SW,26,,,,,,,
,2021-09-22,-1.0,13.1,0.4,,,,,,6.1,77,0,SE,15,,,,,,,
,2021-09-23,0.1,16.5,0,,,,,,11.4,53,0,WNW,4,,,,,,,
,2021-09-24,3.3,17.2,0,,,,,,12.5,59,0,WNW,20,,,,,,,
,2021-09-25,5.3,18.7,0,,,,,,15.0,48,4,W,4,,,,,,,
,2021-09-26,2.0,17.4,0,,,,,,11.7,68,4,NE,20,,,,,,,
,2021-09-27,3.4,14.1,0,,,,,,8.5,80,7,NE,33,,,,,,,
,2021-09-28,5.0,14.3,0,,,,,,10.5,79,4,ENE,4,,,,,,,
,2021-09-29,5.9,12.5,2.0,,,,,,9.5,87,8,NE,7,,,,,,,
,2021-09-30,4.9,14.0,19.4,,,,,,11.1,93,8,NNW,22,,,,,,,
