"Daily Weather Observations for Hay, New South Wales for February 2021"
"Prepared at 13:00 UTC on Friday  8 October 2021   IDCJDW2058.202102"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Hay Airport AWS {station 075019}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-02-1,14.7,30.7,0,,,SW,39,15:11,23.8,74,,NE,15,1010.8,28.2,17,,W,24,1009.6
,2021-02-2,13.2,29.0,0,,,S,50,13:58,17.4,55,,S,31,1013.7,27.1,24,,SSW,30,1012.0
,2021-02-3,10.0,32.1,0,,,NNE,31,14:34,18.5,55,,ESE,17,1012.0,29.6,22,,NNE,13,1008.2
,2021-02-4,15.2,34.9,0,,,NNE,61,17:20,24.8,34,,NE,13,1005.6,32.3,19,,N,24,1002.7
,2021-02-5,23.0,33.4,0,,,N,67,09:42,26.8,53,,NNE,35,1000.8,29.9,48,,NNW,24,999.1
,2021-02-6,15.2,29.3,1.0,,,W,50,13:08,20.4,52,,NW,26,1002.5,26.9,35,,W,28,1002.2
,2021-02-7,16.1,29.9,0,,,SW,43,15:07,20.1,56,,SSW,30,1010.3,28.1,31,,SSW,22,1008.7
,2021-02-8,9.8,30.3,0,,,WSW,35,13:37,15.9,57,,S,15,1013.4,28.0,24,,SSW,19,1011.4
,2021-02-9,12.0,35.0,0,,,N,35,13:31,19.7,55,,SE,17,1013.7,32.7,20,,SSE,9,1010.7
,2021-02-10,19.7,35.9,0,,,NNE,41,08:28,25.8,42,,NNE,30,1012.8,35.2,21,,ENE,13,1009.8
,2021-02-11,21.4,37.5,0,,,NE,50,14:12,27.2,35,,NNE,28,1009.7,35.7,17,,NNE,24,1006.2
,2021-02-12,25.1,30.7,0,,,WSW,41,15:05,26.2,48,,S,17,1004.0,29.0,43,,W,20,1004.3
,2021-02-13,15.4,29.9,0,,,SSW,48,16:47,19.2,52,,S,28,1011.2,27.8,29,,SW,28,1010.7
,2021-02-14,10.7,32.3,0,,,SSE,39,21:55,17.6,57,,SSE,13,1015.3,30.1,25,,E,9,1013.2
,2021-02-15,14.4,33.2,0,,,NNE,35,08:13,23.0,45,,NE,20,1018.2,31.6,26,,SE,15,1016.3
,2021-02-16,18.1,33.8,0,,,ENE,37,01:21,22.7,53,,ENE,22,1020.4,31.4,26,,ENE,7,1017.7
,2021-02-17,21.6,34.4,0,,,NE,39,03:54,24.9,49,,NE,22,1020.6,33.0,24,,E,17,1018.6
,2021-02-18,19.1,31.8,0,,,ENE,43,12:58,22.3,50,,ENE,26,1022.2,28.9,28,,NE,17,1018.3
,2021-02-19,20.6,36.1,0,,,NE,43,08:32,23.8,53,,NE,26,1017.3,33.3,26,,N,17,1013.4
,2021-02-20,22.2,39.2,0,,,WSW,65,16:00,29.3,39,,N,28,1013.0,35.7,21,,WNW,9,1009.9
,2021-02-21,20.5,37.7,0.2,,,WNW,46,12:14,27.9,46,,W,17,1010.2,34.8,24,,W,20,1007.4
,2021-02-22,15.5,29.9,0.2,,,WSW,52,14:19,18.2,59,,SSW,28,1011.0,27.4,25,,WSW,35,1009.7
,2021-02-23,12.0,25.4,0,,,S,63,11:53,15.6,49,,S,31,1016.5,23.7,22,,S,33,1015.1
,2021-02-24,9.5,28.3,0,,,S,30,23:01,14.5,54,,SSE,17,1016.9,25.7,32,,SE,11,1012.7
,2021-02-25,13.7,29.3,0,,,SSW,48,12:36,19.6,49,,S,17,1010.8,27.8,21,,W,26,1009.8
,2021-02-26,12.4,27.2,0,,,SSW,35,14:36,17.3,59,,SSE,22,1013.3,25.5,27,,WSW,17,1011.0
,2021-02-27,13.0,32.1,0,,,WNW,33,16:21,17.9,48,,ESE,11,1013.0,30.7,16,,SSW,20,1010.3
,2021-02-28,12.7,36.1,0,,,NW,35,13:27,24.1,30,,NE,17,1011.8,34.6,12,,SE,11,1009.0
