"Daily Weather Observations for Hillston, New South Wales for October 2020"
"Prepared at 13:00 UTC on Tuesday 12 October 2021   IDCJDW2059.202010"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Hillston Airport {station 075032}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-10-1,8.8,22.0,0,,,,,,13.5,83,2,SW,4,,,,,,,
,2020-10-2,10.8,29.0,0,,,,,,16.9,62,0,N,4,,,,,,,
,2020-10-3,14.0,32.4,0,,,,,,20.0,57,0,NNE,7,,,,,,,
,2020-10-4,19.0,35.6,0,,,,,,25.8,55,2,NNE,4,,,,,,,
,2020-10-5,19.5,23.1,0,,,,,,20.8,76,8, ,Calm,,,,,,,
,2020-10-6,11.0,14.6,3.2,,,,,,11.2,97,8,ENE,4,,,,,,,
,2020-10-7,10.8,,4.6,,,,,,14.5,94,8,SE,4,,,,,,,
,2020-10-8,,18.8,0,,,,,,,,,,,,,,,,,
,2020-10-9,7.5,20.5,0,,,,,,11.0,87,0, ,Calm,,,,,,,
,2020-10-10,5.5,25.5,0,,,,,,13.5,72,0,,,,,,,,,
,2020-10-11,7.5,26.2,0,,,,,,16.5,74,,S,4,,,,,,,
,2020-10-12,13.2,29.0,0,,,,,,15.5,72,,ESE,4,,,,,,,
,2020-10-13,9.6,32.1,0,,,,,,13.8,80,0,SSE,4,,,,,,,
,2020-10-14,12.5,33.0,0,,,,,,17.0,80,0,,,,,,,,,
,2020-10-15,13.8,33.5,0,,,,,,21.0,53,0,S,4,,,,,,,
,2020-10-16,20.0,29.0,0,,,,,,21.5,62,8,ESE,4,,,,,,,
,2020-10-17,17.4,24.8,0,,,,,,20.0,76,7,S,4,,,,,,,
,2020-10-18,9.2,22.2,2.4,,,,,,13.8,80,1,S,11,,,,,,,
,2020-10-19,5.6,23.4,0,,,,,,11.0,75,0,SSE,4,,,,,,,
,2020-10-20,7.8,26.6,0,,,,,,13.5,72,0,SE,4,,,,,,,
,2020-10-21,11.0,29.0,0,,,,,,15.3,66,7,S,4,,,,,,,
,2020-10-22,10.2,31.6,0,,,,,,21.0,57,,S,4,,,,,,,
,2020-10-23,20.0,31.0,0,,,,,,23.1,74,8,ESE,4,,,,,,,
,2020-10-24,18.0,21.0,13.0,,,,,,20.5,77,8,NW,4,,,,,,,
,2020-10-25,7.5,21.0,0,,,,,,10.5,75,6,SSE,28,,,,,,,
,2020-10-26,10.4,15.3,2.8,,,,,,12.0,88,8,E,19,,,,,,,
,2020-10-27,10.0,23.6,1.6,,,,,,13.0,77,6,SE,7,,,,,,,
,2020-10-28,12.1,24.9,9.4,,,,,,16.0,77,1,NE,4,,,,,,,
,2020-10-29,10.0,27.8,0.2,,,,,,16.0,71,1,S,4,,,,,,,
,2020-10-30,13.0,27.0,0.4,,,,,,16.6,84,7,E,7,,,,,,,
,2020-10-31,9.0,25.0,11.0,,,,,,15.5,84,0,SW,4,,,,,,,
