"Daily Weather Observations for Hillston, New South Wales for April 2021"
"Prepared at 13:00 UTC on Wednesday 20 October 2021   IDCJDW2059.202104"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Hillston Airport {station 075032}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-04-1,11.0,29.5,0,,,,,,15.0,84,2, ,Calm,,,,,,,
,2021-04-2,12.5,29.5,0,,,,,,13.0,77,0,S,4,,,,,,,
,2021-04-3,12.5,30.5,0,,,,,,13.0,77,0,S,4,,,,,,,
,2021-04-4,13.0,31.0,0,,,,,,16.5,85,,S,4,,,,,,,
,2021-04-5,13.0,33.2,0,,,,,,15.5,66,0,S,4,,,,,,,
,2021-04-6,15.0,32.0,0,,,,,,22.5,74,0, ,Calm,,,,,,,
,2021-04-7,17.0,31.0,0,,,,,,21.0,77,0,NNE,4,,,,,,,
,2021-04-8,14.5,30.5,0,,,,,,21.0,73,0, ,,,,,,,,
,2021-04-9,15.0,26.5,0,,,,,,19.0,63,8,W,4,,,,,,,
,2021-04-10,9.8,21.0,0,,,,,,14.0,69,1,SW,4,,,,,,,
,2021-04-11,9.5,18.5,0,,,,,,13.0,68,1,SW,11,,,,,,,
,2021-04-12,4.8,20.6,0,,,,,,11.0,52,0,S,4,,,,,,,
,2021-04-13,5.1,24.2,0,,,,,,11.5,70,1,E,4,,,,,,,
,2021-04-14,11.0,26.0,0,,,,,,19.5,51,8,N,11,,,,,,,
,2021-04-15,9.0,,0,,,,,,12.5,82,2,S,4,,,,,,,
,2021-04-16,9.8,22.5,0,,,,,,14.0,69,3,SW,4,,,,,,,
,2021-04-17,3.5,19.8,0,,,,,,11.0,75,0, ,Calm,,,,,,,
,2021-04-18,3.2,21.0,0,,,,,,15.0,60,0,,,,,,,,,
,2021-04-19,4.1,,0,,,,,,8.0,86,0,,,,,,,,,
,2021-04-20,,,0,,,,,,,,,,,,,,,,,
,2021-04-21,,17.8,0,,,,,,,,,,,,,,,,,
,2021-04-22,1.5,20.5,0,,,,,,6.5,71,2, ,Calm,,,,,,,
,2021-04-23,6.0,21.2,0,,,,,,13.5,74,7,SW,4,,,,,,,
,2021-04-24,5.5,21.8,0,,,,,,16.5,63,2, ,Calm,,,,,,,
,2021-04-25,4.6,,0,,,,,,15.1,62,0, ,Calm,,,,,,,
,2021-04-26,,21.5,0,,,,,,,,,,,,,,,,,
,2021-04-27,4.5,,0,,,,,,8.1,85,4,,,,,,,,,
,2021-04-28,,25.6,0,,,,,,,,,,,,,,,,,
,2021-04-29,5.5,26.0,0,,,,,,9.5,80,0, ,Calm,,,,,,,
,2021-04-30,7.0,26.5,0,,,,,,15.5,64,0, ,Calm,,,,,,,
