"Daily Weather Observations for Hillston, New South Wales for July 2021"
"Prepared at 13:00 UTC on Sunday 17 October 2021   IDCJDW2059.202107"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Hillston Airport {station 075032}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-07-1,10.5,15.5,3.2,,,,,,10.6,95,8,E,11,,,,,,,
,2021-07-2,6.5,18.0,0.8,,,,,,7.2,97,5, ,Calm,,,,,,,
,2021-07-3,4.5,14.2,0,,,,,,7.0,85,0,W,4,,,,,,,
,2021-07-4,2.8,13.0,0,,,,,,4.0,97,0,WNW,4,,,,,,,
,2021-07-5,1.2,13.6,0,,,,,,2.5,94,0,NW,4,,,,,,,
,2021-07-6,0.0,11.0,0,,,,,,1.5,90,4,ESE,4,,,,,,,
,2021-07-7,-2.0,12.0,0,,,,,,-1.0,100,0, ,Calm,,,,,,,
,2021-07-8,-1.5,13.2,0,,,,,,0.0,84,2, ,Calm,,,,,,,
,2021-07-9,0.0,16.0,0,,,,,,4.5,95,4, ,Calm,,,,,,,
,2021-07-10,-1.0,14.2,0,,,,,,4.0,70,, ,Calm,,,,,,,
,2021-07-11,-1.0,17.2,0,,,,,,6.0,93,6, ,Calm,,,,,,,
,2021-07-12,5.5,17.0,0,,,,,,7.2,91,6,N,7,,,,,,,
,2021-07-13,1.2,18.2,0,,,,,,2.0,96,2, ,Calm,,,,,,,
,2021-07-14,1.8,14.5,3.2,,,,,,10.0,87,8, ,Calm,,,,,,,
,2021-07-15,8.0,19.0,7.2,,,,,,8.4,95,4, ,Calm,,,,,,,
,2021-07-16,7.8,15.0,9.6,,,,,,9.5,88,2,NNW,7,,,,,,,
,2021-07-17,4.8,12.4,5.8,,,,,,8.2,84,3,WNW,22,,,,,,,
,2021-07-18,4.5,14.2,0.2,,,,,,6.2,97,8, ,Calm,,,,,,,
,2021-07-19,5.8,12.8,0.4,,,,,,8.0,93,7,NW,4,,,,,,,
,2021-07-20,5.2,14.0,0.2,,,,,,8.0,83,8,NNW,4,,,,,,,
,2021-07-21,2.5,12.6,2.8,,,,,,3.4,93,5,NW,4,,,,,,,
,2021-07-22,0.0,13.5,0,,,,,,2.5,94,4,NNE,4,,,,,,,
,2021-07-23,2.2,13.0,4.6,,,,,,8.5,86,6,E,4,,,,,,,
,2021-07-24,6.0,,0.4,,,,,,8.0,89,7,E,4,,,,,,,
,2021-07-25,,,,,,,,,,,,,,,,,,,,
,2021-07-26,,,,,,,,,,,,,,,,,,,,
,2021-07-27,,19.0,,,,,,,,,,,,,,,,,,
,2021-07-28,8.0,18.0,1.6,,,,,,16.0,41,8,N,7,,,,,,,
,2021-07-29,3.2,16.0,2.6,,,,,,4.8,91,0, ,Calm,,,,,,,
,2021-07-30,3.6,15.8,0,,,,,,5.0,81,0,NNE,4,,,,,,,
,2021-07-31,4.8,22.5,0,,,,,,15.0,49,3,N,4,,,,,,,
