"Daily Weather Observations for Hillston, New South Wales for September 2021"
"Prepared at 13:00 UTC on Thursday 21 October 2021   IDCJDW2059.202109"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Hillston Airport {station 075032}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-09-1,9.4,28.2,0,,,,,,13.5,49,1,N,4,,,,,,,
,2021-09-2,12.5,30.5,0,,,,,,13.5,61,0,NNE,4,,,,,,,
,2021-09-3,13.0,28.0,0,,,,,,20.5,61,4,N,15,,,,,,,
,2021-09-4,10.0,16.5,15.0,,,,,,11.0,87,,S,4,,,,,,,
,2021-09-5,5.5,,7.0,,,,,,9.0,80,,W,28,,,,,,,
,2021-09-6,,17.2,0,,,,,,,,,,,,,,,,,
,2021-09-7,2.5,17.0,0,,,,,,6.5,93,0, ,Calm,,,,,,,
,2021-09-8,2.8,18.5,0,,,,,,8.0,97,0, ,Calm,,,,,,,
,2021-09-9,5.0,23.0,0,,,,,,10.2,84,3, ,Calm,,,,,,,
,2021-09-10,8.2,26.0,0,,,,,,11.5,61,0, ,Calm,,,,,,,
,2021-09-11,11.5,28.2,0,,,,,,20.0,40,0,N,15,,,,,,,
,2021-09-12,6.5,17.8,0,,,,,,16.0,67,4,W,11,,,,,,,
,2021-09-13,4.2,16.5,0,,,,,,8.0,72,4,W,7,,,,,,,
,2021-09-14,2.0,18.5,0,,,,,,6.0,85,0,W,7,,,,,,,
,2021-09-15,1.8,19.0,0,,,,,,7.5,86,3, ,Calm,,,,,,,
,2021-09-16,2.5,20.8,0,,,,,,11.0,66,0,NNE,4,,,,,,,
,2021-09-17,8.8,,0,,,,,,15.2,56,0,NNE,4,,,,,,,
,2021-09-18,,25.2,0,,,,,,,,,,,,,,,,,
,2021-09-19,4.0,22.5,0,,,,,,15.5,45,0,NNE,4,,,,,,,
,2021-09-20,7.5,18.2,0,,,,,,12.0,54,0,NNW,4,,,,,,,
,2021-09-21,3.2,17.0,0,,,,,,4.8,84,0,SW,4,,,,,,,
,2021-09-22,3.0,19.0,0,,,,,,8.5,80,0,W,7,,,,,,,
,2021-09-23,6.0,23.5,0,,,,,,8.5,80,,NNE,4,,,,,,,
,2021-09-24,8.0,,0,,,,,,17.5,53,0,NNE,4,,,,,,,
,2021-09-25,,27.0,0,,,,,,,,,,,,,,,,,
,2021-09-26,1.0,20.2,0,,,,,,11.5,59,0,SE,7,,,,,,,
,2021-09-27,7.6,20.2,0,,,,,,13.2,64,3,E,19,,,,,,,
,2021-09-28,7.6,26.2,0,,,,,,13.2,64,4,E,7,,,,,,,
,2021-09-29,13.0,17.5,41.2,,,,,,15.0,94,8,E,4,,,,,,,
,2021-09-30,9.5,23.0,21.6,,,,,,14.2,89,5,N,11,,,,,,,
