"Daily Weather Observations for Sydney Olympic Park, New South Wales for March 2021"
"Prepared at 16:00 UTC on Thursday  7 October 2021   IDCJDW2061.202103"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Sydney Olympic Park, about 10 km west of the CBD."
"Observations were drawn from Sydney Olympic Park AWS (Archery Centre) {station 066212}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-03-1,19.2,33.3,0,,,,,,23.0,87,,WNW,6,,32.8,48,,ENE,9,
,2021-03-2,,,,,,,,,,,,,,,21.3,57,,SE,20,
,2021-03-3,17.8,22.8,,,,ESE,33,14:16,18.6,69,,S,11,,22.3,56,,SSE,13,
,2021-03-4,14.9,29.5,0,,,NNW,28,11:38,19.3,71,,WSW,9,,27.8,40,,W,6,
,2021-03-5,15.3,24.3,0,,,SSE,41,10:21,21.4,62,,SW,7,,22.1,56,,SSE,20,
,2021-03-6,17.5,23.6,0,,,SE,28,14:12,19.3,63,,WSW,6,,22.0,48,,ESE,15,
,2021-03-7,14.5,26.9,0,,,E,31,15:56,19.3,71,,NW,7,,25.7,54,,ENE,11,
,2021-03-8,17.9,32.0,0,,,WNW,43,15:59,20.7,84,,NW,6,,29.1,51,,NNW,9,
,2021-03-9,18.0,30.0,1.6,,,SE,35,12:26,22.9,74,,WNW,9,,26.1,65,,SE,22,
,2021-03-10,18.9,26.2,0,,,E,33,14:47,22.0,74,,SE,13,,24.2,66,,ESE,20,
,2021-03-11,18.1,27.4,0,,,E,31,15:30,21.9,84,,NE,6,,25.0,63,,ENE,13,
,2021-03-12,20.3,27.8,1.4,,,N,22,16:56,21.9,95,, ,Calm,,27.0,65,,N,9,
,2021-03-13,19.1,33.0,3.2,,,E,24,14:32,22.2,96,,N,6,,29.1,62,,E,13,
,2021-03-14,19.4,19.5,14.4,,,SW,39,12:36,19.4,99,,S,13,,16.8,85,,S,17,
,2021-03-15,11.7,23.0,15.0,,,ESE,28,11:45,15.6,66,,WSW,9,,22.1,53,,ESE,13,
,2021-03-16,13.8,21.7,0,,,SSE,26,12:41,17.6,74,,WNW,4,,20.0,80,,S,7,
,2021-03-17,16.1,22.8,7.2,,,ESE,37,13:13,19.3,78,,S,6,,22.0,65,,ESE,24,
,2021-03-18,17.7,22.1,6.4,,,ESE,30,06:51,21.9,74,,E,17,,19.1,99,,ESE,9,
,2021-03-19,17.5,24.1,46.8,,,ESE,39,13:31,19.8,96,,SE,6,,20.3,92,,SSE,15,
,2021-03-20,18.5,22.3,37.2,,,E,50,01:39,19.5,100,,SE,17,,19.9,100,,E,20,
,2021-03-21,19.2,20.4,114.4,,,E,46,07:08,19.7,91,,E,20,,19.5,81,,E,11,
,2021-03-22,17.6,20.2,44.2,,,E,26,13:04,18.3,99,,ENE,6,,19.1,100,,ENE,2,
,2021-03-23,17.9,21.9,46.6,,,ENE,30,07:38,19.1,99,,NE,13,,20.0,100,,ENE,2,
,2021-03-24,15.7,29.8,16.4,,,NW,41,10:17,21.5,85,,NW,15,,29.3,41,,WNW,17,
,2021-03-25,15.5,29.2,0.2,,,WSW,31,11:33,20.9,75,,WNW,2,,25.1,54,,SW,11,
,2021-03-26,13.2,24.7,0.2,,,SE,24,14:13,17.4,77,,W,6,,23.6,61,,SE,15,
,2021-03-27,15.7,28.3,0,,,NW,22,12:38,19.0,93,,NW,7,,26.8,38,,WNW,7,
,2021-03-28,14.2,27.0,0,,,ESE,24,15:45,18.4,85,,WNW,6,,23.8,52,,SSE,13,
,2021-03-29,14.2,27.5,0,,,SSE,28,15:44,17.7,83,,W,6,,23.9,60,,E,11,
,2021-03-30,15.0,22.9,0,,,SE,31,16:56,17.2,70,,SSW,7,,22.9,49,,SSE,15,
,2021-03-31,14.5,24.0,0.2,,,SSE,33,12:12,16.3,74,,WNW,7,,23.2,42,,S,11,
