"Daily Weather Observations for Horsley Park, New South Wales for December 2020"
"Prepared at 13:00 UTC on Sunday 10 October 2021   IDCJDW2062.202012"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Horsley Park Equestrian Centre AWS {station 067119}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-12-1,16.2,35.0,0,,,SW,63,17:48,20.5,72,,N,9,,33.0,40,,NNE,11,
,2020-12-2,17.7,23.4,,,,ESE,30,11:59,20.8,72,,SE,11,,22.5,61,,ESE,13,
,2020-12-3,16.1,23.4,1.4,,,NE,20,15:58,18.5,82,,N,4,,19.6,82,,NNE,7,
,2020-12-4,16.9,34.6,0.2,,,SE,31,20:52,23.2,69,,NW,2,,33.2,17,,SW,13,
,2020-12-5,16.7,25.0,0,,,NE,33,20:24,20.0,74,,NW,2,,23.1,69,,NNE,6,
,2020-12-6,20.0,29.7,8.4,,,WNW,44,11:37,23.8,43,,NW,11,,28.4,21,,WNW,22,
,2020-12-7,13.1,29.5,0.2,,,SW,44,22:58,23.2,32,,NNW,15,,28.4,20,,NW,20,
,2020-12-8,14.0,25.3,0,,,SW,48,23:01,18.0,40,,SW,20,,22.4,35,,SE,24,
,2020-12-9,11.0,27.7,0,,,ESE,35,15:06,18.6,56,,NNW,7,,26.4,33,,N,7,
,2020-12-10,13.7,28.9,,,,SE,54,13:06,22.4,59,, ,Calm,,21.4,60,,SSE,30,
,2020-12-11,15.0,22.4,0,,,ESE,35,15:14,18.3,46,,SE,13,,20.7,49,,SE,19,
,2020-12-12,13.9,24.4,0,,,ESE,39,14:58,18.2,66,,SSW,9,,22.5,46,,ESE,19,
,2020-12-13,13.8,24.9,0.4,,,E,35,16:32,20.8,67,,ESE,6,,23.9,49,,E,15,
,2020-12-14,16.4,25.1,1.8,,,E,46,10:21,19.9,94,,SSE,7,,23.6,57,,E,13,
,2020-12-15,18.2,25.4,5.4,,,ENE,31,14:03,20.0,100,,SSE,6,,23.9,80,,E,15,
,2020-12-16,20.0,30.1,5.4,,,ENE,33,14:36,23.3,97,,ENE,9,,26.6,77,,ESE,17,
,2020-12-17,20.0,33.1,4.4,,,SE,63,18:23,24.4,80,,NNW,9,,32.0,47,,S,4,
,2020-12-18,20.4,32.3,14.8,,,SSE,41,17:12,27.2,73,,NW,4,,31.2,47,,NW,2,
,2020-12-19,17.3,19.6,1.2,,,SSE,30,23:41,18.0,79,,S,9,,18.7,74,,SE,9,
,2020-12-20,16.7,24.1,1.8,,,ESE,20,16:15,18.1,100,,SW,9,,23.6,70,,N,6,
,2020-12-21,16.8,24.2,0.2,,,NE,20,14:32,20.0,95,,SSE,2,,20.7,94,,NNE,7,
,2020-12-22,16.9,27.2,27.6,,,WNW,37,17:27,18.7,100,,NW,4,,25.6,44,,WNW,13,
,2020-12-23,12.7,26.2,0.2,,,SE,33,14:21,20.7,48,,WSW,15,,24.1,52,,ESE,15,
,2020-12-24,15.2,29.1,0,,,SSE,28,22:15,20.5,73,,N,9,,27.9,43,,N,6,
,2020-12-25,17.3,21.5,0,,,S,35,02:51,18.5,74,,S,7,,20.1,66,,SE,15,
,2020-12-26,15.2,24.5,0.8,,,E,33,15:33,18.6,90,,E,2,,24.0,62,,NE,19,
,2020-12-27,15.2,32.6,10.0,,,ENE,26,17:07,18.5,94,,W,4,,31.0,31,,NE,4,
,2020-12-28,18.1,30.5,0,,,SE,46,12:08,26.2,55,,NNW,7,,21.8,69,,SE,20,
,2020-12-29,15.6,19.7,20.6,,,S,24,22:47,16.1,96,, ,Calm,,17.7,91,,S,11,
,2020-12-30,16.1,21.9,7.4,,,S,26,00:11,18.0,100,,SSE,7,,21.4,61,,ESE,11,
,2020-12-31,17.1,23.1,1.4,,,SE,28,16:05,20.8,73,,SSE,9,,22.7,67,,SE,15,
