"Daily Weather Observations for Horsley Park, New South Wales for August 2021"
"Prepared at 16:00 UTC on Saturday 16 October 2021   IDCJDW2062.202108"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Horsley Park Equestrian Centre AWS {station 067119}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-08-1,10.0,25.0,0,,,WSW,43,14:02,17.3,62,,N,7,,19.4,48,,W,20,
,2021-08-2,4.1,18.3,,,,NE,26,16:13,9.8,75,,W,7,,16.6,48,,NE,11,
,2021-08-3,9.8,19.1,1.8,,,NW,44,13:32,11.8,97,, ,Calm,,18.0,33,,WNW,19,
,2021-08-4,4.1,15.6,0,,,W,46,11:18,12.0,48,,W,9,,14.8,34,,W,20,
,2021-08-5,4.0,19.1,0,,,SW,31,15:18,13.9,61,, ,Calm,,17.8,37,,WSW,15,
,2021-08-6,2.5,20.7,0,,,SW,22,12:37,10.7,72,,WNW,4,,20.2,34,,NW,6,
,2021-08-7,2.7,18.8,0,,,SSW,30,18:41,10.8,66,,W,6,,18.2,38,,NNW,4,
,2021-08-8,8.7,15.6,0,,,ESE,28,13:24,12.1,70,,SW,7,,15.3,52,,ESE,9,
,2021-08-9,6.2,19.4,0.2,,,N,22,11:59,11.5,84,,W,4,,18.3,48,,N,7,
,2021-08-10,5.0,21.9,0,,,N,22,12:20,10.6,88,,NNW,7,,20.7,39,,NW,9,
,2021-08-11,8.8,24.8,0,,,NNW,37,14:06,16.1,60,,N,15,,23.1,32,,NW,17,
,2021-08-12,12.7,20.0,0,,,SW,35,02:41,15.4,49,,W,11,,19.4,24,,SW,11,
,2021-08-13,3.4,19.7,0,,,WSW,24,10:50,11.3,56,,W,9,,18.7,32,,NW,7,
,2021-08-14,2.9,19.5,0,,,NE,20,12:35,10.8,68,,W,7,,18.7,33,,NE,9,
,2021-08-15,6.0,20.9,0,,,NW,22,13:05,12.3,64,,SW,9,,20.0,23,,NW,7,
,2021-08-16,4.0,22.5,0,,,WSW,43,18:51,12.8,51,,N,6,,22.2,20,,WSW,13,
,2021-08-17,5.2,19.0,0,,,SW,28,01:51,13.2,51,,SW,7,,18.1,27,,E,7,
,2021-08-18,4.8,18.8,0,,,SW,20,01:48,10.8,61,,W,6,,18.3,36,,NNE,2,
,2021-08-19,4.7,21.6,0,,,NNE,17,13:17,10.6,76,,W,4,,20.9,34,,NNE,4,
,2021-08-20,5.4,23.3,0,,,WNW,28,16:03,13.6,75,,NW,2,,22.7,28,,NW,17,
,2021-08-21,10.6,23.7,0,,,N,20,12:32,13.8,60,,NW,2,,22.4,35,,N,6,
,2021-08-22,7.8,26.8,0,,,NNE,28,13:51,16.0,58,, ,Calm,,26.3,23,,N,11,
,2021-08-23,14.6,26.0,,,,NW,52,13:45,19.7,49,,N,17,,20.5,48,,NW,17,
,2021-08-24,8.4,10.8,29.2,,,SW,54,21:39,8.4,94,,W,13,,8.8,92,,W,19,
,2021-08-25,7.9,16.7,28.8,,,WSW,52,00:48,10.7,54,,SW,20,,15.3,45,,WSW,20,
,2021-08-26,4.0,18.8,0,,,SSW,26,14:04,12.9,57,,WSW,7,,18.1,41,,S,7,
,2021-08-27,5.0,19.4,0,,,SW,37,17:21,13.2,72,,WNW,4,,17.4,33,,SSW,19,
,2021-08-28,5.4,18.6,0,,,SW,31,09:43,13.4,51,,SW,13,,17.0,49,,SW,7,
,2021-08-29,4.7,16.3,0,,,SW,24,05:05,9.8,77,,NNW,4,,16.0,46,,SSW,2,
,2021-08-30,4.7,19.8,0,,,SW,17,11:25,12.7,66,,NNW,2,,18.4,39,,N,4,
,2021-08-31,4.3,22.3,0,,,N,20,14:06,12.8,72,,NW,4,,21.6,29,,N,11,
