"Daily Weather Observations for Inverell, New South Wales for September 2020"
"Prepared at 13:00 UTC on Wednesday 13 October 2021   IDCJDW2064.202009"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Inverell Research Centre {station 056018}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-09-1,3.6,21.5,0,,10.6,NNE,26,09:44,14.6,54,0,NE,7,1021.8,20.9,22,,NNE,13,1018.8
,2020-09-2,7.7,22.2,0,3.6,9.9,N,31,10:04,13.5,73,5,NNE,13,1024.5,21.5,37,,NW,9,1021.5
,2020-09-3,7.9,22.3,0,3.4,7.6,NNW,31,09:39,15.8,75,2,N,17,1025.2,21.1,46,,N,13,1021.2
,2020-09-4,7.8,23.1,0,,7.9,NW,30,14:55,15.2,86,8,N,13,1023.2,22.5,46,,NW,15,1018.4
,2020-09-5,10.8,21.7,0,3.4,8.4,NNW,35,09:18,17.2,64,2,N,20,1019.5,21.3,54,,WNW,9,1016.9
,2020-09-6,10.6,22.2,0,3.0,10.2,E,39,16:15,17.6,59,2,E,20,1024.3,21.1,48,,E,24,1023.2
,2020-09-7,9.3,23.1,0,3.6,6.2,E,28,02:18,16.8,58,1,ENE,15,1030.1,22.9,40,,ENE,7,1026.9
,2020-09-8,8.2,23.6,0,,10.5,SE,26,12:35,15.9,60,0,ESE,9,1031.1,22.9,34,,SSE,11,1026.1
,2020-09-9,6.8,25.3,0,3.4,8.6,S,30,12:15,16.7,58,1,SW,7,1025.7,23.9,28,,SE,15,1020.8
,2020-09-10,11.3,14.8,3.8,5.2,0.3,ESE,24,08:51,11.9,92,8,ESE,15,1022.9,12.4,93,,ESE,9,1021.7
,2020-09-11,8.0,19.4,12.0,1.8,10.6,ENE,37,16:17,14.7,61,1,E,20,1027.2,18.3,47,,ENE,20,1024.5
,2020-09-12,5.4,19.9,0,3.4,10.2,NE,31,10:01,14.5,68,2,ESE,9,1028.8,19.5,43,,E,13,1024.4
,2020-09-13,6.2,21.3,0,3.2,9.5,ENE,19,11:53,14.5,60,1,NE,9,1027.1,20.9,32,,NNE,9,1022.3
,2020-09-14,6.9,23.8,0,3.6,10.5,S,31,15:18,16.2,70,1,N,7,1026.7,23.3,32,,SSW,13,1022.8
,2020-09-15,9.9,24.0,0,,8.2,E,22,09:25,18.3,51,1,ENE,11,1028.1,23.4,37,,SSE,7,1024.4
,2020-09-16,9.9,23.5,0,3.8,9.8,W,35,13:50,17.0,64,0,NNE,11,1027.6,22.3,34,,WNW,6,1022.9
,2020-09-17,7.4,24.8,0,3.6,9.0,NNE,20,09:40,17.7,64,0,NNE,9,1027.3,24.7,37,,SSW,7,1022.3
,2020-09-18,9.0,24.5,0,,10.4,ENE,46,10:14,20.5,42,1,ENE,19,1028.6,23.0,37,,E,24,1024.0
,2020-09-19,11.0,23.3,0,6.0,6.4,NE,37,12:23,18.8,58,2,ENE,17,1025.1,21.1,42,,NE,19,1020.9
,2020-09-20,12.1,20.7,3.2,5.0,2.0,N,31,13:17,13.4,93,8,NNE,9,1020.3,20.0,65,,N,11,1015.1
,2020-09-21,13.2,25.7,3.2,0.6,5.3,WNW,48,22:17,20.3,81,4,N,19,1017.4,19.6,89,,WSW,9,1014.3
,2020-09-22,15.7,20.4,8.0,3.4,1.4,NW,31,11:36,18.7,91,8,NNW,13,1015.7,19.2,95,,WNW,11,1014.3
,2020-09-23,7.0,21.3,2.0,4.0,10.6,NNW,35,13:19,16.6,63,0,E,7,1017.5,20.7,34,,W,13,1014.1
,2020-09-24,4.8,19.4,0,3.8,10.6,WSW,35,13:35,14.4,48,0,SSW,9,1017.6,18.4,24,,WNW,13,1013.9
,2020-09-25,4.1,23.0,0,,10.6,NW,57,13:51,14.7,42,1,N,17,1013.8,22.4,21,,NW,35,1006.6
,2020-09-26,2.1,15.3,0,6.0,10.7,WNW,37,10:33,9.3,52,1,W,13,1016.5,14.4,31,,WNW,17,1014.9
,2020-09-27,1.1,17.1,0,6.0,10.7,WSW,31,10:49,10.9,48,0,S,15,1023.1,16.3,31,,SSE,13,1019.8
,2020-09-28,5.3,20.2,0,3.8,10.4,E,28,08:39,14.4,54,1,NE,11,1025.5,18.6,32,,ENE,11,1021.2
,2020-09-29,6.7,20.8,0,,8.9,NNW,24,13:30,14.8,58,1,NNE,9,1025.9,18.6,35,,N,9,1020.4
,2020-09-30,9.6,17.2,0,5.4,0.5,NE,37,12:17,13.7,66,8,N,15,1022.0,16.1,53,,N,17,1018.3
