"Daily Weather Observations for Inverell, New South Wales for February 2021"
"Prepared at 13:00 UTC on Friday  8 October 2021   IDCJDW2064.202102"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Inverell Research Centre {station 056018}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-02-1,15.6,29.4,6.2,7.0,9.7,E,30,14:24,21.5,72,4,ENE,9,1013.5,28.7,46,,ENE,17,1009.6
,2021-02-2,16.0,26.9,6.8,,7.7,S,28,14:21,16.5,99,8,SSW,2,1010.4,23.7,58,,SSW,13,1006.8
,2021-02-3,14.9,29.2,1.2,6.2,9.9,E,30,07:50,20.6,64,1,E,20,1010.1,27.3,37,,NNE,11,1008.0
,2021-02-4,15.2,31.1,0,7.4,10.0,ESE,33,17:52,20.0,64,1,NNE,7,1011.6,29.9,37,,NE,7,1008.1
,2021-02-5,16.5,31.4,0,,10.8,NE,35,18:58,20.7,66,0,N,9,1011.3,30.9,34,,NE,9,1007.4
,2021-02-6,17.3,26.0,0,7.8,2.5,N,31,09:34,22.0,70,3,N,13,1007.4,19.8,90,,WSW,11,1005.7
,2021-02-7,18.4,29.7,14.4,0.6,9.5,NW,28,11:25,22.0,86,6,SW,9,1006.0,29.0,46,,NW,11,1003.5
,2021-02-8,17.0,30.9,0,6.8,8.9,E,35,18:06,22.1,69,3,ESE,7,1008.8,29.0,38,,S,9,1006.4
,2021-02-9,15.1,29.2,0,,10.5,E,35,19:15,20.9,61,2,ESE,9,1012.9,27.4,39,,SSE,13,1009.3
,2021-02-10,13.8,28.4,0,7.6,10.0,ESE,33,20:02,19.2,58,6,SE,7,1013.2,27.4,34,,SSE,11,1009.5
,2021-02-11,13.3,29.1,0,7.0,11.2,W,24,13:32,18.4,68,0,NE,7,1013.6,27.5,38,,WNW,15,1010.0
,2021-02-12,14.2,28.7,0,,4.5,NNE,30,09:15,17.8,88,8,NNE,9,1012.9,25.9,54,,NW,11,1009.9
,2021-02-13,17.8,26.6,0,5.0,0.0,NNW,31,14:19,21.2,73,8,N,15,1008.8,25.5,58,,NW,17,1006.2
,2021-02-14,18.3,28.6,14.4,0.2,6.8,SE,33,08:14,22.1,68,1,SE,19,1009.0,26.5,47,,ESE,11,1008.1
,2021-02-15,13.2,28.9,0,7.0,11.2,SSW,33,14:20,19.6,54,0,SE,15,1012.9,27.7,31,,SSE,13,1010.5
,2021-02-16,15.8,28.6,0,,11.1,SE,46,15:59,21.8,60,2,ESE,19,1014.8,26.3,40,,ESE,17,1013.5
,2021-02-17,15.8,29.5,0,7.0,11.0,ESE,39,09:19,21.4,57,1,E,22,1016.9,27.4,32,,SE,13,1015.0
,2021-02-18,15.5,30.1,0,9.8,5.5,ENE,44,16:00,20.5,62,5,SE,13,1017.3,28.6,40,,E,22,1014.4
,2021-02-19,15.6,30.0,0,,6.4,ESE,31,09:44,22.0,60,1,E,9,1015.9,23.2,65,,WNW,9,1012.5
,2021-02-20,16.3,29.6,0,6.0,8.9,ESE,37,13:25,22.2,60,1,WSW,7,1012.6,24.3,59,,E,15,1009.0
,2021-02-21,17.2,30.8,0,6.0,10.9,S,35,14:06,22.1,70,1,S,9,1007.3,29.8,39,,S,17,1003.6
,2021-02-22,14.2,33.4,0,7.6,9.1,SSW,37,12:50,22.1,66,0,S,7,1006.2,32.1,32,,S,15,1003.9
,2021-02-23,15.9,33.7,0,,10.2,NW,39,14:52,22.9,57,1,NE,9,1008.6,30.8,32,,WNW,19,1005.9
,2021-02-24,17.9,29.1,0,10.8,4.6,N,52,14:37,22.1,66,6,ENE,15,1012.3,24.5,58,,ESE,20,1009.4
,2021-02-25,16.5,26.7,38.4,4.4,2.0,WNW,50,15:21,19.4,87,7,ENE,7,1012.0,25.4,67,,NNW,17,1008.7
,2021-02-26,16.7,27.7,28.0,4.2,4.1,N,24,11:06,20.8,92,7,N,11,1010.8,26.4,63,,SE,9,1008.7
,2021-02-27,19.5,24.5,14.0,4.0,1.0,SW,39,10:13,20.3,100,8,S,7,1011.6,22.4,90,,ESE,13,1010.8
,2021-02-28,17.2,30.1,16.8,2.0,8.4,S,22,16:07,21.7,82,3,NE,2,1011.8,29.0,54,,SW,9,1009.4
