"Daily Weather Observations for Inverell, New South Wales for October 2021"
"Prepared at 05:36 UTC on Tuesday 26 October 2021   IDCJDW2064.202110"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Inverell Research Centre {station 056018}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-10-1,11.5,22.4,7.8,,,NW,37,13:51,14.5,99,,NNW,13,1010.0,20.2,56,,NW,17,1003.6
,2021-10-2,7.6,18.1,5.4,,,WNW,39,12:43,14.5,90,,N,6,1007.5,17.1,61,,W,13,1004.7
,2021-10-3,7.3,22.6,0.2,,,W,31,10:13,14.2,80,,NE,4,1007.4,21.6,42,,WNW,13,1005.5
,2021-10-4,12.1,23.9,0,,,NW,41,13:38,18.1,56,,NNE,13,1004.9,22.2,39,,WSW,17,1005.4
,2021-10-5,6.5,20.7,0,,,WNW,37,14:01,14.3,50,,SW,11,1012.5,19.4,35,,WNW,20,1011.2
,2021-10-6,4.2,22.8,0,,,W,24,12:03,13.1,54,,SSW,7,1016.0,21.5,29,,WSW,13,1013.8
,2021-10-7,4.9,22.8,0,,,WNW,41,18:43,14.3,51,,SE,7,1015.6,22.7,33,,NNW,9,1013.3
,2021-10-8,8.1,24.9,0,,,NNW,26,13:25,16.3,71,,NE,7,1017.7,23.4,40,,NNW,11,1015.4
,2021-10-9,11.3,27.2,0,,,ESE,28,14:21,18.0,75,,NE,9,1019.6,24.4,48,,N,9,1015.6
,2021-10-10,13.4,27.3,0,,,NNW,39,14:09,20.1,67,,N,19,1016.2,26.0,44,,NNW,22,1011.0
,2021-10-11,14.6,18.5,9.0,,,E,30,22:50,15.5,100,,NNW,6,1011.9,18.3,85,,SSW,6,1010.6
,2021-10-12,12.3,19.2,14.6,,,E,35,13:31,13.5,100,,SSW,9,1011.6,18.6,70,,ENE,20,1008.5
,2021-10-13,11.3,23.7,9.0,,,E,33,09:04,16.3,81,,E,17,1012.3,22.6,48,,N,13,1009.4
,2021-10-14,13.7,24.2,1.0,,,N,43,12:10,17.5,84,,NNE,11,1010.5,22.5,64,,NNW,20,1007.4
,2021-10-15,14.4,19.7,0,,,NW,54,10:58,14.9,54,,WNW,15,1007.4,18.9,38,,NW,20,1005.1
,2021-10-16,5.2,18.0,0,,,W,43,11:36,12.6,66,,WSW,11,1011.1,16.6,47,,W,17,1009.3
,2021-10-17,4.5,22.0,0,,,SSE,26,08:37,13.6,68,,E,9,1016.1,21.1,36,,NNW,9,1012.7
,2021-10-18,10.6,22.5,0,,,SSE,26,17:26,13.9,73,, ,Calm,1017.5,20.5,60,,E,7,1013.6
,2021-10-19,8.2,24.4,1.4,,,S,35,14:40,16.5,68,,E,7,1017.2,24.1,29,,S,11,1013.7
,2021-10-20,7.9,24.8,0.2,,,NW,46,14:14,17.1,64,,NNE,9,1014.9,23.7,32,,NW,20,1010.2
,2021-10-21,11.2,24.0,0,,,NE,31,12:16,17.2,70,,ENE,17,1013.7,22.8,48,,N,11,1010.7
,2021-10-22,12.6,26.5,0,,,NNE,24,08:55,18.5,76,,NNE,13,1016.0,25.6,45,,NNW,9,1013.3
,2021-10-23,14.2,30.1,0,,,N,33,13:29,19.9,82,,NNE,11,1016.5,28.1,55,,NNW,20,1012.1
,2021-10-24,14.4,25.7,0,,,WNW,31,14:25,20.9,54,,S,11,1016.1,25.4,31,,W,19,1013.6
,2021-10-25,11.4,23.8,0,,,NNW,33,12:36,18.0,42,,ENE,2,1016.8,22.8,30,,W,11,1014.0
,2021-10-26,5.9,,0,,,,,,17.4,43,,ESE,7,1018.5,24.8,26,,WNW,11,1015.3
