"Daily Weather Observations for Ivanhoe, New South Wales for June 2021"
"Prepared at 13:00 UTC on Monday 18 October 2021   IDCJDW2065.202106"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Ivanhoe Aerodrome AWS {station 049000}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-06-1,8.7,18.0,0,,,ENE,19,15:59,11.1,59,,NE,11,1020.9,17.0,47,, ,Calm,1018.7
,2021-06-2,10.0,17.1,0.4,,,NNE,65,07:12,17.1,55,,N,22,1017.7,15.6,85,,NNE,19,1014.4
,2021-06-3,12.0,17.1,14.8,,,SW,30,14:35,13.1,99,,S,2,1014.5,15.5,80,,SW,19,1013.3
,2021-06-4,9.5,14.9,0.2,,,WSW,31,13:23,11.3,99,,WSW,15,1019.8,14.6,74,,WSW,15,1018.8
,2021-06-5,3.0,16.5,0.2,,,WSW,22,14:48,7.4,89,, ,Calm,1025.3,15.9,47,,WSW,13,1023.4
,2021-06-6,4.5,18.1,0,,,N,20,12:00,10.1,71,,N,11,1026.8,17.5,52,,NNW,13,1023.8
,2021-06-7,4.6,18.1,0,,,N,41,14:38,10.3,73,,N,15,1022.1,17.2,41,,N,24,1015.9
,2021-06-8,8.5,15.3,0,,,W,57,14:40,11.0,70,,N,4,1009.3,8.0,92,,W,19,1007.3
,2021-06-9,5.2,12.6,2.6,,,SW,57,13:28,6.9,89,,W,22,1012.0,12.0,66,,WSW,30,1009.9
,2021-06-10,6.9,12.5,15.8,,,WSW,61,01:26,11.1,90,,SW,28,1005.3,12.1,99,,SW,13,1005.5
,2021-06-11,2.0,11.0,2.8,,,NW,20,11:15,4.6,99,,NNW,9,1016.7,10.6,81,,NNW,9,1014.7
,2021-06-12,4.5,16.3,0.2,,,W,26,14:19,8.1,99,,NNW,7,1019.0,15.3,63,,W,13,1017.4
,2021-06-13,8.1,16.7,0,,,NNW,20,14:23,10.9,99,,NNE,7,1019.7,15.7,62,,NW,13,1016.8
,2021-06-14,8.0,18.4,0,,,NNE,20,11:23,10.8,83,,ENE,9,1017.3,18.0,54,,NNE,6,1014.0
,2021-06-15,10.8,19.6,2.2,,,NNE,39,11:36,13.1,90,,ENE,17,1016.0,19.2,56,,NNE,19,1012.1
,2021-06-16,8.3,17.7,0,,,WNW,41,15:57,11.3,79,,N,13,1013.2,17.2,53,,NNW,17,1009.4
,2021-06-17,5.8,16.3,0,,,WSW,35,23:42,9.6,81,,NW,17,1013.9,15.1,69,,WNW,17,1012.4
,2021-06-18,9.5,13.0,3.6,,,W,31,04:51,9.9,99,,W,15,1013.7,12.0,93,,SW,15,1015.0
,2021-06-19,7.9,16.5,0.4,,,S,43,11:18,9.9,94,,SW,19,1022.6,16.5,56,,SSW,19,1021.6
,2021-06-20,3.3,16.5,0,,,S,39,08:50,5.9,99,,S,9,1025.4,16.3,48,,SE,7,1023.0
,2021-06-21,2.6,18.3,0.2,,,ENE,19,13:51,7.3,89,,E,9,1026.5,17.6,54,,E,9,1023.9
,2021-06-22,5.2,17.1,0,,,NE,28,10:21,8.2,91,,ENE,13,1027.2,17.1,60,,NE,15,1024.3
,2021-06-23,8.2,13.7,0.6,,,NNE,43,23:02,11.7,86,,ENE,15,1019.2,13.6,92,,N,19,1015.5
,2021-06-24,11.7,16.7,25.4,,,NNW,44,14:43,13.5,86,,NW,15,1012.2,16.4,59,,NW,28,1009.5
,2021-06-25,7.3,15.5,0.2,,,NW,31,12:55,9.9,89,,NNW,13,1015.9,14.3,67,,NW,17,1015.5
,2021-06-26,5.1,15.5,0,,,NW,26,13:39,8.4,86,,WNW,13,1022.9,15.3,61,,WNW,13,1022.9
,2021-06-27,4.8,15.8,0,,,WNW,17,12:43,8.2,99,,W,9,1029.8,15.3,53,,WNW,9,1028.5
,2021-06-28,4.0,15.9,0.2,,,E,24,11:20,7.7,98,,SE,6,1031.4,15.5,63,,SE,15,1028.7
,2021-06-29,5.0,18.6,0,,,NNE,30,10:54,8.6,97,,ENE,15,1030.2,18.3,52,,NE,11,1027.1
,2021-06-30,7.3,17.4,0.2,,,NNE,31,11:32,11.2,89,,ENE,17,1025.3,16.9,71,,NE,17,1022.1
