"Daily Weather Observations for Ivanhoe, New South Wales for August 2021"
"Prepared at 16:00 UTC on Saturday 16 October 2021   IDCJDW2065.202108"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Ivanhoe Aerodrome AWS {station 049000}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-08-1,10.0,16.7,1.0,,,SSW,48,01:31,10.5,99,,SW,9,1012.6,15.3,58,,SSW,9,1013.7
,2021-08-2,4.0,17.3,0,,,W,43,21:49,9.5,92,,NE,13,1017.6,17.1,47,,NNW,17,1011.9
,2021-08-3,6.4,15.6,3.0,,,W,41,15:57,9.1,84,,WNW,20,1015.4,14.0,63,,WSW,17,1015.1
,2021-08-4,5.2,16.2,0,,,WSW,44,12:37,9.0,82,,W,22,1022.4,15.6,54,,WSW,26,1021.6
,2021-08-5,8.6,14.8,0,,,WSW,33,06:42,9.6,93,,WSW,19,1025.9,13.8,71,,W,15,1024.8
,2021-08-6,8.8,14.0,0,,,SW,26,10:50,10.6,86,,SW,11,1028.7,13.3,74,,SW,11,1026.8
,2021-08-7,9.1,16.7,0,,,SSW,52,23:42,11.4,74,,W,7,1029.7,15.3,55,,WSW,13,1027.8
,2021-08-8,7.7,15.0,0,,,ESE,17,09:48,10.9,81,,ESE,11,1031.6,14.4,51,,ESE,7,1028.2
,2021-08-9,3.3,17.8,0,,,NW,20,11:25,11.2,79,,NE,6,1027.3,17.4,44,,N,9,1023.5
,2021-08-10,4.6,21.6,0,,,N,31,13:28,11.5,63,,NE,11,1025.2,21.1,26,,N,17,1020.4
,2021-08-11,9.4,26.6,0,,,NNW,67,14:42,17.2,48,,N,28,1018.6,26.2,25,,NNW,39,1014.7
,2021-08-12,5.4,17.7,0,,,SSE,28,13:22,10.4,78,,SW,11,1029.4,17.5,40,,SSW,11,1027.5
,2021-08-13,8.0,19.7,0,,,SSW,31,12:37,14.1,59,,NNW,4,1030.0,18.0,39,,S,13,1027.4
,2021-08-14,5.4,18.9,0,,,SE,24,13:23,12.8,69,,E,7,1029.9,18.5,38,,E,9,1026.3
,2021-08-15,5.1,20.2,0,,,WSW,28,12:25,12.8,60,,NNE,13,1027.6,19.5,31,,SW,17,1024.7
,2021-08-16,6.0,18.9,0,,,SW,35,11:34,11.3,68,,SW,17,1028.4,18.3,47,,SW,19,1025.9
,2021-08-17,6.2,16.2,0,,,SW,30,12:41,8.6,90,,SW,15,1028.0,15.7,56,,WSW,17,1024.9
,2021-08-18,2.9,18.0,0,,,SE,24,15:13,10.1,79,, ,Calm,1026.3,17.3,48,,SW,9,1022.3
,2021-08-19,2.7,19.8,0,,,ESE,19,15:15,10.2,73,,WSW,4,1023.2,19.1,41,,ESE,7,1019.4
,2021-08-20,6.1,23.4,0,,,NNW,33,23:46,14.8,50,,N,15,1020.0,22.1,24,,W,15,1017.2
,2021-08-21,12.8,25.3,0,,,WNW,24,15:45,16.7,45,,NE,4,1018.3,23.7,29,,SW,7,1015.6
,2021-08-22,10.1,28.9,0,,,NW,59,15:10,17.4,48,,NNE,17,1016.8,27.8,15,,NNW,33,1011.1
,2021-08-23,13.8,14.3,0,,,SW,48,09:49,14.3,65,,SW,19,1012.4,9.4,98,,WSW,9,1012.9
,2021-08-24,4.3,14.3,8.8,,,SW,54,12:20,7.3,78,,SW,24,1020.9,13.3,39,,SSW,31,1019.6
,2021-08-25,4.5,16.2,0,,,SSW,37,11:11,7.8,83,,SW,17,1023.0,15.5,41,,SW,20,1019.8
,2021-08-26,2.8,15.6,0,,,WSW,22,14:09,7.7,79,,S,9,1021.0,14.8,42,,SW,9,1017.9
,2021-08-27,2.6,17.5,0,,,W,39,15:26,10.1,62,,W,4,1020.1,16.2,29,,WSW,13,1017.6
,2021-08-28,3.2,21.4,0,,,NNE,33,15:27,12.0,48,,NNE,15,1019.3,20.7,24,,NNE,19,1014.4
,2021-08-29,10.0,19.0,0,,,SW,41,09:31,14.0,54,,WSW,22,1013.0,17.4,38,,W,22,1012.3
,2021-08-30,6.3,21.8,0,,,NNW,31,13:45,11.3,61,,NNE,13,1018.2,20.5,28,,N,19,1015.3
,2021-08-31,5.6,25.7,0,,,N,31,13:03,15.7,36,,N,15,1020.5,25.1,21,,N,19,1017.8
