"Daily Weather Observations for Ivanhoe, New South Wales for September 2021"
"Prepared at 13:00 UTC on Thursday 21 October 2021   IDCJDW2065.202109"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Ivanhoe Aerodrome AWS {station 049000}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-09-1,10.3,29.1,0,,,NE,30,15:29,18.1,36,,NNE,9,1024.8,28.5,16,,ENE,19,1021.9
,2021-09-2,11.9,32.3,0,,,N,46,13:22,20.3,34,,NE,24,1021.4,31.8,19,,N,26,1015.4
,2021-09-3,18.5,29.9,0,,,NNE,57,08:30,24.1,45,,NNE,31,1017.5,28.2,29,,N,24,1012.5
,2021-09-4,10.1,16.0,19.6,,,WSW,44,01:38,10.9,99,,SSW,13,1019.1,14.8,60,,SSW,17,1017.8
,2021-09-5,6.2,16.2,0,,,SW,46,11:57,10.0,72,,SW,24,1025.3,15.9,45,,WSW,22,1024.2
,2021-09-6,6.5,18.3,0.2,,,SSW,33,13:51,10.5,84,,SSW,19,1032.3,17.6,46,,S,17,1029.9
,2021-09-7,4.3,19.4,0,,,WSW,28,11:59,11.8,77,,SSW,11,1033.7,18.6,50,,SW,11,1031.2
,2021-09-8,5.0,20.8,0,,,SSW,19,11:23,12.6,76,,ENE,7,1033.7,19.7,44,,N,4,1029.6
,2021-09-9,6.3,25.9,0,,,NNW,30,14:07,16.1,62,,N,11,1029.3,25.2,25,,NNW,13,1024.6
,2021-09-10,9.5,28.7,0,,,W,28,13:15,16.9,40,,SW,9,1024.0,28.1,14,,W,13,1020.1
,2021-09-11,12.8,30.6,0,,,NW,50,14:26,20.9,24,,NNW,20,1015.2,30.0,8,,NW,31,1009.2
,2021-09-12,9.1,20.4,0,,,SW,39,09:01,15.9,58,,SW,22,1010.9,19.6,44,,WSW,20,1008.8
,2021-09-13,6.9,16.1,0,,,WSW,39,00:24,9.0,68,,SW,19,1019.0,14.6,42,,SW,20,1019.0
,2021-09-14,2.1,18.9,0,,,S,28,13:45,10.4,65,,SSE,9,1026.8,18.3,28,,SSE,13,1023.4
,2021-09-15,4.4,20.5,0,,,SW,28,11:31,12.6,52,,S,6,1026.1,19.7,25,,SW,17,1021.6
,2021-09-16,7.1,23.0,0,,,E,28,13:24,16.4,45,,NNE,13,1022.4,22.7,26,,ENE,13,1018.0
,2021-09-17,9.5,26.2,0,,,N,50,12:30,19.7,35,,N,24,1016.3,24.7,23,,N,28,1011.9
,2021-09-18,12.2,21.2,1.8,,,SW,35,09:50,14.2,64,,SW,19,1018.8,20.9,32,,WNW,19,1018.7
,2021-09-19,4.6,24.9,0,,,NW,43,12:35,16.0,38,,NNE,7,1023.9,23.9,16,,WNW,24,1019.0
,2021-09-20,8.6,19.6,0,,,SW,57,20:08,17.4,41,,WSW,20,1017.9,17.6,39,,W,28,1016.6
,2021-09-21,3.8,17.4,0,,,SW,48,01:21,9.8,55,,SSW,30,1027.2,16.3,28,,SW,22,1026.4
,2021-09-22,4.5,21.6,0,,,SSW,28,08:38,12.6,64,,SSW,17,1029.1,20.7,36,,SSW,19,1024.9
,2021-09-23,6.9,24.9,0,,,NW,31,14:51,16.1,58,,WNW,4,1024.0,24.5,29,,NW,13,1019.0
,2021-09-24,10.0,28.4,0,,,WNW,46,12:24,21.9,30,,NW,28,1015.7,27.6,15,,WNW,26,1011.0
,2021-09-25,5.7,19.7,0,,,SSW,37,13:58,13.2,53,,S,17,1021.5,19.4,29,,WSW,15,1019.5
,2021-09-26,3.3,20.6,0,,,SSE,33,15:13,12.6,43,,SE,15,1024.7,20.1,21,,SSE,19,1020.1
,2021-09-27,6.2,24.1,0,,,NE,35,08:47,16.3,51,,NNE,22,1019.9,23.0,25,,NNE,9,1014.9
,2021-09-28,9.5,28.8,0,,,NNW,46,13:48,20.7,53,,NNE,24,1014.1,25.0,44,,NNE,7,1010.6
,2021-09-29,14.8,20.4,5.6,,,SSW,69,13:46,15.6,88,,SSE,24,1010.9,15.2,81,,S,15,1006.6
,2021-09-30,9.8,24.1,6.6,,,WNW,63,17:46,16.7,76,,NNW,13,1008.9,23.5,43,,NW,11,1004.8
