"Daily Weather Observations for Jervis Bay, New South Wales for May 2021"
"Prepared at 13:00 UTC on Tuesday 19 October 2021   IDCJDW2067.202105"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Jervis Bay (Point Perpendicular AWS) {station 068151}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-05-1,15.0,21.2,0,,,NNE,33,20:34,16.9,81,,WNW,6,1030.4,20.5,79,,NE,17,1027.8
,2021-05-2,16.4,22.3,0.2,,,NNE,35,14:58,20.3,71,,N,19,1028.2,20.8,72,,NNE,24,1024.2
,2021-05-3,15.1,23.8,0,,,SSW,44,22:10,19.1,73,,NNW,9,1021.7,21.5,71,,NNE,22,1017.2
,2021-05-4,15.9,18.4,0,,,SSW,33,19:04,17.3,76,,WSW,9,1017.3,15.2,93,,SW,11,1015.9
,2021-05-5,14.8,19.2,31.0,,,S,44,15:55,18.1,89,,SE,19,1016.0,17.9,96,,S,26,1013.8
,2021-05-6,15.3,19.7,77.0,,,SE,57,12:03,19.0,96,,SSE,31,1015.0,18.4,100,,SE,20,1013.8
,2021-05-7,17.2,19.8,61.6,,,SE,43,05:15,19.2,98,,SE,17,1012.7,18.8,99,,SW,17,1010.1
,2021-05-8,15.3,22.3,0.2,,,NW,20,05:47,18.1,86,,WNW,9,1012.1,20.7,82,,ESE,9,1011.8
,2021-05-9,16.5,20.2,0,,,WSW,20,03:40,17.3,77,,W,4,1019.4,19.9,84,,NNE,6,1016.5
,2021-05-10,14.7,22.2,0,,,NW,31,10:16,17.5,77,,NW,15,1014.5,21.2,58,,WNW,9,1011.0
,2021-05-11,13.6,19.1,3.0,,,SW,39,17:59,16.8,84,,NW,13,1015.0,17.9,80,,S,9,1015.2
,2021-05-12,13.9,18.3,17.8,,,SSW,26,12:00,14.9,92,,W,2,1021.3,17.9,88,,SSW,17,1018.5
,2021-05-13,13.6,21.7,0,,,NW,28,15:03,15.4,91,,WNW,6,1014.1,20.9,62,,WNW,11,1008.9
,2021-05-14,14.1,17.6,0,,,W,35,05:31,14.4,58,,W,9,1011.6,17.0,48,,W,11,1010.4
,2021-05-15,11.7,16.1,0,,,SW,70,17:01,13.9,59,,NW,17,1010.7,15.3,43,,WSW,30,1009.9
,2021-05-16,9.5,16.3,0,,,SW,39,00:26,11.3,66,,WNW,11,1020.9,16.2,41,,NW,11,1017.1
,2021-05-17,10.6,16.3,0,,,SSW,43,11:33,13.2,62,,WSW,13,1021.4,16.1,52,,S,13,1022.4
,2021-05-18,10.6,18.1,0,,,NW,20,11:57,13.1,75,,WNW,6,1029.0,17.9,56,,NW,7,1026.3
,2021-05-19,9.5,18.7,0,,,NW,31,09:31,13.0,66,,NW,17,1028.3,18.5,51,,NNE,13,1025.4
,2021-05-20,11.1,18.9,0,,,NW,37,03:48,13.8,55,,WNW,6,1026.0,18.1,44,,SSW,6,1025.2
,2021-05-21,10.9,16.2,9.8,,,SSW,41,10:50,15.9,68,,S,24,1030.7,16.2,65,,SSW,17,1028.9
,2021-05-22,9.9,18.1,0,,,NW,17,09:37,12.7,79,,WNW,7,1028.2,17.6,70,,SE,7,1025.2
,2021-05-23,11.1,17.8,0.2,,,SSW,28,12:50,13.7,85,,WNW,6,1027.7,15.1,91,,SW,13,1027.1
,2021-05-24,13.7,18.9,3.8,,,NNE,28,21:43,17.1,86,,W,2,1031.2,17.7,82,,NE,11,1028.7
,2021-05-25,14.3,20.1,2.8,,,NNE,50,17:11,17.0,80,,NNW,15,1025.6,19.4,66,,NNE,30,1019.8
,2021-05-26,14.7,18.6,0,,,NNE,48,01:10,15.5,63,,NW,20,1015.9,17.7,47,,WNW,15,1014.8
,2021-05-27,10.1,18.0,0,,,NW,30,10:05,12.2,64,,WNW,11,1023.3,17.7,41,,WSW,6,1020.6
,2021-05-28,11.8,14.1,0,,,SSW,70,19:45,13.3,51,,WSW,24,1023.9,13.3,58,,SSW,33,1023.8
,2021-05-29,11.2,14.6,0,,,SW,65,01:23,12.2,62,,SW,33,1027.9,13.9,64,,SSW,35,1025.9
,2021-05-30,11.2,14.4,0.4,,,SSW,59,00:11,13.1,72,,SW,20,1028.1,13.5,68,,SW,24,1026.4
,2021-05-31,8.7,16.8,0,,,SW,22,00:08,11.8,76,,WNW,7,1025.8,16.3,59,,ESE,4,1023.3
