"Daily Weather Observations for Katoomba, New South Wales for January 2021"
"Prepared at 13:00 UTC on Saturday  9 October 2021   IDCJDW2068.202101"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Katoomba (Farnells Rd) {station 063039}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-01-1,9.2,,8.8,,,,,,11.0,100,8, ,Calm,,,,,,,
,2021-01-2,,15.5,,,,,,,,,,,,,,,,,,
,2021-01-3,8.4,22.3,16.6,,,,,,15.0,100,8,NE,6,,,,,,,
,2021-01-4,14.3,22.8,3.0,,,,,,19.4,88,8, ,Calm,,,,,,,
,2021-01-5,12.6,25.7,11.2,,,,,,15.0,90,6,W,15,,,,,,,
,2021-01-6,12.6,20.1,0,,,,,,14.0,96,8, ,Calm,,,,,,,
,2021-01-7,9.1,16.8,12.2,,,,,,11.2,99,8, ,Calm,,,,,,,
,2021-01-8,7.9,15.2,13.8,,,,,,9.8,100,8, ,Calm,,,,,,,
,2021-01-9,8.8,19.4,0.4,,,,,,11.9,99,8, ,Calm,,,,,,,
,2021-01-10,9.2,24.8,0.2,,,,,,12.2,,0, ,Calm,,,,,,,
,2021-01-11,9.9,25.3,0,,,,,,17.3,54,0, ,Calm,,,,,,,
,2021-01-12,12.2,28.8,0,,,,,,21.2,58,7, ,Calm,,,,,,,
,2021-01-13,13.4,26.7,0,,,,,,18.6,69,2,E,15,,,,,,,
,2021-01-14,15.4,31.3,0,,,,,,22.8,53,0, ,Calm,,,,,,,
,2021-01-15,13.4,26.8,0,,,,,,18.2,55,, ,Calm,,,,,,,
,2021-01-16,6.3,22.5,0,,,,,,12.2,51,0,,11,,,,,,,
,2021-01-17,8.0,25.7,0,,,,,,15.5,56,0, ,Calm,,,,,,,
,2021-01-18,9.6,,0,,,,,,15.8,66,0, ,Calm,,,,,,,
,2021-01-19,,28.7,,,,,,,,,,,,,,,,,,
,2021-01-20,8.6,14.3,9.6,,,,,,10.0,100,8, ,Calm,,,,,,,
,2021-01-21,8.1,24.0,0.2,,,,,,14.1,78,0,W,11,,,,,,,
,2021-01-22,13.0,30.1,0,,,,,,18.5,68,0,W,7,,,,,,,
,2021-01-23,17.7,31.5,0,,,,,,22.8,62,1,W,19,,,,,,,
,2021-01-24,15.0,33.0,0,,,,,,23.8,56,0,W,4,,,,,,,
,2021-01-25,,32.0,5.0,,,,,,23.9,55,5, ,Calm,,,,,,,
,2021-01-26,19.0,30.2,0,,,,,,22.5,53,0,NW,7,,,,,,,
,2021-01-27,15.4,17.0,0.8,,,,,,16.3,100,8, ,Calm,,,,,,,
,2021-01-28,10.8,14.7,22.6,,,,,,12.4,100,8,W,15,,,,,,,
,2021-01-29,10.6,16.8,25.2,,,,,,14.3,100,8, ,Calm,,,,,,,
,2021-01-30,13.3,25.1,12.6,,,,,,16.7,98,8, ,Calm,,,,,,,
,2021-01-31,15.0,17.7,6.2,,,,,,16.0,100,8, ,Calm,,,,,,,
