"Daily Weather Observations for Katoomba, New South Wales for July 2021"
"Prepared at 13:00 UTC on Sunday 17 October 2021   IDCJDW2068.202107"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Katoomba (Farnells Rd) {station 063039}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-07-1,5.6,,0,,,,,,10.2,86,8, ,Calm,,,,,,,
,2021-07-2,,13.0,,,,,,,,,,,,,,,,,,
,2021-07-3,4.0,10.2,5.8,,,,,,6.8,89,0,W,7,,,,,,,
,2021-07-4,0.5,8.2,0,,,,,,3.0,76,7,W,4,,,,,,,
,2021-07-5,1.0,10.1,0.2,,,,,,6.1,73,1, ,Calm,,,,,,,
,2021-07-6,-0.9,11.7,0,,,,,,7.3,64,6, ,Calm,,,,,,,
,2021-07-7,0.6,10.2,0,,,,,,4.2,93,7,N,19,,,,,,,
,2021-07-8,2.4,11.1,0.2,,,,,,5.8,90,6, ,Calm,,,,,,,
,2021-07-9,5.0,9.0,0,,,,,,6.3,97,8, ,Calm,,,,,,,
,2021-07-10,3.5,8.2,4.6,,,,,,5.5,85,8,E,9,,,,,,,
,2021-07-11,4.5,8.0,1.8,,,,,,5.5,100,8, ,Calm,,,,,,,
,2021-07-12,2.7,12.0,0.8,,,,,,6.8,90,6,NE,15,,,,,,,
,2021-07-13,5.0,10.0,0,,,,,,5.7,94,6,W,11,,,,,,,
,2021-07-14,5.4,10.0,0,,,,,,7.4,72,7,W,11,,,,,,,
,2021-07-15,6.7,14.7,0,,,,,,9.6,84,7, ,Calm,,,,,,,
,2021-07-16,5.1,8.0,5.8,,,,,,6.1,100,7, ,Calm,,,,,,,
,2021-07-17,2.0,6.0,5.4,,,,,,2.5,92,8,W,19,,,,,,,
,2021-07-18,1.2,,2.0,,,,,,5.5,85,3,WSW,9,,,,,,,
,2021-07-19,,,,,,,,,,,,,,,,,,,,
,2021-07-20,,6.7,,,,,,,,,,,,,,,,,,
,2021-07-21,1.0,8.8,0.6,,,,,,3.8,69,0,W,11,,,,,,,
,2021-07-22,-1.0,,0,,,,,,5.0,61,0, ,Calm,,,,,,,
,2021-07-23,,8.5,,,,,,,,,,,,,,,,,,
,2021-07-24,4.0,7.2,5.0,,,,,,5.5,93,8,W,7,,,,,,,
,2021-07-25,0.5,6.8,2.8,,,,,,1.5,91,8,WSW,11,,,,,,,
,2021-07-26,1.5,10.3,0.2,,,,,,6.3,86,7,W,28,,,,,,,
,2021-07-27,6.1,13.8,0,,,,,,7.2,80,2,W,11,,,,,,,
,2021-07-28,6.7,15.8,0,,,,,,12.2,53,1,W,33,,,,,,,
,2021-07-29,2.4,11.9,2.4,,,,,,5.0,71,0,W,28,,,,,,,
,2021-07-30,1.1,14.5,0,,,,,,8.1,35,0,W,15,,,,,,,
,2021-07-31,6.0,17.5,0,,,,,,10.0,42,4,W,9,,,,,,,
