"Daily Weather Observations for Katoomba, New South Wales for August 2021"
"Prepared at 16:00 UTC on Saturday 16 October 2021   IDCJDW2068.202108"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Katoomba (Farnells Rd) {station 063039}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-08-1,10.0,17.0,0,,,,,,14.0,68,2,W,7,,,,,,,
,2021-08-2,1.4,10.3,1.6,,,,,,6.7,86,6,SW,11,,,,,,,
,2021-08-3,6.4,10.1,3.2,,,,,,7.8,85,3,W,9,,,,,,,
,2021-08-4,1.6,7.7,0.6,,,,,,3.2,81,3,W,37,,,,,,,
,2021-08-5,3.2,11.7,0,,,,,,7.2,73,1,W,15,,,,,,,
,2021-08-6,2.7,13.0,0,,,,,,7.1,88,0, ,Calm,,,,,,,
,2021-08-7,-0.5,13.0,0,,,,,,4.0,84,0, ,Calm,,,,,,,
,2021-08-8,1.5,,0,,,,,,6.0,86,8,ESE,2,,,,,,,
,2021-08-9,,,0,,,,,,,,,,,,,,,,,
,2021-08-10,,14.4,0,,,,,,,,,,,,,,,,,
,2021-08-11,6.0,,0,,,,,,10.7,73,1,W,15,,,,,,,
,2021-08-12,,15.8,,,,,,,,,,,,,,,,,,
,2021-08-13,0.1,14.2,9.2,,,,,,5.0,59,0, ,Calm,,,,,,,
,2021-08-14,3.0,15.0,0,,,,,,9.5,69,0,NE,4,,,,,,,
,2021-08-15,4.0,14.2,0,,,,,,7.5,67,0, ,Calm,,,,,,,
,2021-08-16,4.8,14.3,0,,,,,,8.3,58,0, ,Calm,,,,,,,
,2021-08-17,2.2,13.8,0,,,,,,6.0,74,0, ,Calm,,,,,,,
,2021-08-18,1.7,14.8,0,,,,,,8.3,70,0,E,11,,,,,,,
,2021-08-19,4.6,14.4,,,,,,,10.8,67,6, ,Calm,,,,,,,
,2021-08-20,5.6,15.5,0,,,,,,10.2,71,0, ,Calm,,,,,,,
,2021-08-21,7.5,16.5,0,,,,,,9.0,81,7,NW,9,,,,,,,
,2021-08-22,9.0,,0,,,,,,16.0,53,0,W,7,,,,,,,
,2021-08-23,,18.3,,,,,,,,,,,,,,,,,,
,2021-08-24,1.4,3.7,32.4,,,,,,1.9,100,8,,,,,,,,,
,2021-08-25,0.0,9.7,23.0,,,,,,3.4,91,, ,Calm,,,,,,,
,2021-08-26,1.4,,0.4,,,,,,6.7,77,0, ,Calm,,,,,,,
,2021-08-27,,11.5,0,,,,,,,,,,,,,,,,,
,2021-08-28,2.2,11.5,0,,,,,,6.5,66,8,W,6,,,,,,,
,2021-08-29,2.5,11.7,0,,,,,,6.5,66,8, ,Calm,,,,,,,
,2021-08-30,3.3,15.0,0.2,,,,,,8.2,84,7, ,Calm,,,,,,,
,2021-08-31,4.4,17.2,0,,,,,,10.0,64,0, ,Calm,,,,,,,
