"Daily Weather Observations for Kempsey, New South Wales for July 2021"
"Prepared at 13:00 UTC on Sunday 17 October 2021   IDCJDW2069.202107"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Kempsey Airport AWS {station 059007}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-07-1,9.0,17.5,1.4,,,ENE,20,13:09,13.0,100,,W,9,1026.1,17.4,91,, ,Calm,1021.9
,2021-07-2,11.4,21.1,9.0,,,NNE,19,13:31,14.3,100,, ,Calm,1020.0,19.3,83,,NNE,7,1016.9
,2021-07-3,12.1,16.0,0.8,,,WNW,20,08:47,13.8,100,,WNW,17,1018.9,15.8,94,, ,Calm,1015.7
,2021-07-4,6.6,18.6,2.0,,,SE,19,13:16,12.0,95,,WNW,7,1022.2,17.8,52,,SSE,4,1018.5
,2021-07-5,4.4,17.1,0,,,SW,24,12:11,9.7,85,,NW,11,1021.3,16.9,36,,WNW,11,1017.7
,2021-07-6,3.0,19.0,0,,,NW,30,05:34,6.9,88,,W,9,1021.4,18.7,42,,WNW,4,1018.6
,2021-07-7,3.8,19.2,0,,,WNW,22,08:13,10.0,80,,WNW,11,1024.7,18.7,49,,ESE,13,1022.2
,2021-07-8,5.4,19.0,0,,,WNW,19,09:02,10.2,93,,WNW,11,1024.8,17.6,59,,E,2,1020.2
,2021-07-9,,17.0,2.6,,,W,22,14:11,11.7,99,, ,Calm,1014.9,15.1,96,,SSW,6,1008.5
,2021-07-10,3.9,18.7,2.6,,,SW,67,11:31,17.0,51,,SW,24,1012.3,17.3,55,,SW,28,1014.1
,2021-07-11,,19.3,0,,,SSW,35,11:21,15.5,68,,SSW,17,1023.9,18.0,57,,S,17,1022.3
,2021-07-12,6.2,19.4,0.2,,,ENE,24,14:56,10.7,91,,W,9,1024.3,17.7,65,,ENE,19,1020.7
,2021-07-13,5.3,20.9,0,,,NNW,20,10:01,12.4,82,,NW,9,1020.8,20.3,44,,NE,13,1016.6
,2021-07-14,4.3,14.9,0,,,SW,11,00:39,9.1,99,,W,2,1018.1,14.2,78,, ,Calm,1013.2
,2021-07-15,6.6,24.5,0,,,N,30,14:38,11.2,100,,NW,4,1009.9,22.6,61,,NNE,20,1004.1
,2021-07-16,9.1,21.2,10.2,,,W,70,16:39,14.7,100,,SW,9,1001.7,20.8,40,,NW,22,997.3
,2021-07-17,13.6,19.5,0,,,NW,72,12:22,16.5,42,,NW,35,1002.1,17.3,36,,WNW,33,1001.4
,2021-07-18,,20.6,0,,,WSW,50,00:41,15.6,45,,NW,13,1012.1,20.1,33,,WSW,7,1012.0
,2021-07-19,2.4,19.2,0,,,NNW,28,12:23,11.0,75,,WNW,15,1019.0,18.7,37,,N,11,1013.8
,2021-07-20,0.2,18.7,0,,,NW,31,12:40,9.1,84,,WSW,2,1012.9,16.0,40,,W,15,1008.6
,2021-07-21,3.2,17.2,0,,,SSW,57,12:23,13.7,51,,SW,28,1010.5,15.8,45,,SW,31,1011.8
,2021-07-22,2.7,19.0,0,,,WNW,28,08:19,10.6,62,,WNW,11,1019.0,18.2,50,,ENE,15,1015.0
,2021-07-23,5.7,17.1,0,,,NW,28,18:07,12.2,85,,NW,13,1012.5,15.5,73,,N,13,1007.4
,2021-07-24,3.3,21.6,0.6,,,NW,43,13:17,12.5,87,,WNW,15,1005.8,20.4,40,,NW,20,1003.2
,2021-07-25,4.4,18.8,0,,,W,57,10:40,16.2,35,,W,26,1007.9,17.4,29,,W,31,1009.4
,2021-07-26,5.1,21.9,0,,,NW,35,05:32,14.1,49,,NW,17,1019.0,21.4,35,,NW,20,1015.8
,2021-07-27,2.6,21.4,0,,,NE,24,15:26,12.7,73,,WNW,7,1021.4,20.9,39,,NE,11,1017.2
,2021-07-28,0.8,26.8,0,,,NNW,52,11:50,15.4,74,,ESE,7,1013.1,26.4,28,,NNW,17,1006.6
,2021-07-29,,20.9,2.4,,,SSW,41,13:27,13.0,91,,SW,4,1013.0,19.7,23,,SSW,20,1013.2
,2021-07-30,1.8,20.5,0,,,NE,26,16:18,10.1,69,,WNW,13,1022.3,19.8,34,,NNE,13,1018.7
,2021-07-31,1.2,23.4,0,,,NNE,26,14:40,10.9,83,, ,Calm,1018.8,22.4,41,,NNE,19,1012.5
