"Daily Weather Observations for Khancoban, New South Wales for January 2021"
"Prepared at 13:00 UTC on Saturday  9 October 2021   IDCJDW2070.202101"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Khancoban AWS {station 072162}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-01-1,15.0,22.7,1.4,,,SSW,19,22:34,17.7,83,, ,Calm,1020.0,19.6,88,,S,6,1016.7
,2021-01-2,11.8,30.1,1.4,,,WNW,28,14:17,19.4,58,,W,4,1014.3,28.1,37,, ,Calm,1008.6
,2021-01-3,16.3,28.4,6.6,,,SSW,56,16:57,18.3,92,, ,Calm,1007.7,25.2,60,,WNW,7,1005.1
,2021-01-4,14.2,25.2,2.4,,,SW,28,15:51,16.8,100,, ,Calm,1006.1,23.6,64,,NW,13,1005.3
,2021-01-5,15.0,28.8,0.4,,,SW,44,12:57,19.2,74,,NW,2,1008.8,23.6,60,, ,Calm,1006.9
,2021-01-6,14.2,26.7,5.0,,,ENE,33,13:17,17.5,77,,NNE,2,1013.7,23.8,47,,ESE,11,1012.9
,2021-01-7,9.3,28.2,0,,,SSW,39,15:00,18.7,50,,NE,2,1020.9,26.7,32,,SSW,13,1018.2
,2021-01-8,8.7,30.1,0,,,SE,26,16:51,17.9,50,,E,4,1023.3,27.9,28,,WNW,9,1019.1
,2021-01-9,10.3,32.6,0,,,NW,24,12:33,19.4,55,,WNW,4,1021.7,30.5,26,, ,Calm,1017.3
,2021-01-10,13.6,34.8,0,,,NE,48,16:30,22.7,54,,NW,2,1020.1,32.4,26,,WSW,7,1015.4
,2021-01-11,15.4,35.6,0,,,WNW,26,11:55,24.3,49,,N,6,1017.2,34.3,20,, ,Calm,1012.0
,2021-01-12,15.6,36.4,0,,,ENE,37,18:46,20.4,61,, ,Calm,1014.5,35.5,21,, ,Calm,1010.5
,2021-01-13,14.7,38.2,0,,,NW,41,13:41,24.4,50,, ,Calm,1015.1,34.8,20,, ,Calm,1010.0
,2021-01-14,15.6,33.7,0,,,N,48,11:34,25.7,41,,S,2,1009.8,32.3,13,,NW,30,1006.8
,2021-01-15,9.8,27.3,0,,,W,48,15:25,18.9,49,, ,Calm,1007.1,25.6,26,,NW,22,1003.2
,2021-01-16,7.5,24.6,0,,,NW,43,15:53,13.5,46,,NNW,9,1011.2,21.4,30,,WSW,24,1009.2
,2021-01-17,7.2,28.1,0,,,WSW,31,13:07,15.9,53,,NNE,2,1014.4,25.3,23,,NNW,9,1011.9
,2021-01-18,9.8,31.7,0,,,WNW,37,15:03,18.3,52,,S,6,1014.3,28.8,22,,NNW,15,1010.1
,2021-01-19,10.3,31.0,0,,,SSW,37,16:23,19.2,36,,NNE,4,1016.4,29.4,14,,WNW,15,1014.0
,2021-01-20,8.7,30.9,0,,,N,20,10:47,16.4,48,,SE,6,1021.6,28.0,16,,SW,7,1017.1
,2021-01-21,11.4,32.5,0,,,NNW,33,12:27,19.7,46,,WSW,2,1016.9,30.5,23,,E,7,1011.4
,2021-01-22,12.5,36.0,0,,,NNW,35,14:32,22.2,45,,NW,2,1010.2,32.6,22,,NNW,6,1006.6
,2021-01-23,12.0,37.3,0,,,W,35,15:06,22.3,36,, ,Calm,1011.9,35.0,12,,W,9,1009.0
,2021-01-24,13.6,38.7,0,,,,,,23.0,45,, ,Calm,1012.3,37.0,14,,NW,13,1008.0
,2021-01-25,15.0,39.7,0,,,,,14:52,,,,,,,37.1,19,,WNW,26,1001.7
,2021-01-26,19.3,29.4,0,,,NNW,37,06:13,29.1,30,,N,19,1000.2,21.4,97,,WNW,15,1001.3
,2021-01-27,16.8,32.9,7.0,,,ENE,48,18:15,21.5,64,,E,6,1010.3,31.7,36,,SSW,2,1009.1
,2021-01-28,16.2,26.8,0,,,ENE,33,11:33,22.7,49,,SSW,9,1016.5,23.3,50,,NE,20,1016.9
,2021-01-29,15.7,20.7,0.4,,,N,15,11:14,17.2,85,, ,Calm,1014.9,19.0,88,,WNW,2,1012.1
,2021-01-30,17.2,29.1,38.0,,,SW,31,11:37,20.6,96,,N,7,1010.0,27.2,57,,NNW,7,1009.5
,2021-01-31,15.4,32.0,9.0,,,N,28,12:41,21.0,69,, ,Calm,1014.2,30.6,36,, ,Calm,1012.2
