"Daily Weather Observations for Khancoban, New South Wales for April 2021"
"Prepared at 13:00 UTC on Wednesday 20 October 2021   IDCJDW2070.202104"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Khancoban AWS {station 072162}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-04-1,7.3,25.8,0,,,WNW,17,12:11,11.4,95,, ,Calm,1026.1,24.0,41,, ,Calm,1023.1
,2021-04-2,9.5,28.8,0,,,NW,11,12:01,14.1,88,, ,Calm,1028.4,27.2,39,,NW,6,1024.3
,2021-04-3,11.0,28.8,0,,,NW,15,13:55,14.1,96,,S,4,1026.4,27.7,42,,NW,4,1021.7
,2021-04-4,9.5,28.0,0,,,NNW,19,13:27,17.0,71,, ,Calm,1022.4,27.5,38,, ,Calm,1017.6
,2021-04-5,10.5,29.3,0,,,SW,11,03:09,16.9,80,, ,Calm,1020.8,28.6,32,, ,Calm,1017.4
,2021-04-6,11.5,27.9,0,,,NW,20,13:41,17.9,81,, ,Calm,1022.0,27.2,40,,NNW,11,1018.2
,2021-04-7,11.9,27.5,0,,,NW,19,12:39,17.4,79,, ,Calm,1020.4,26.1,39,, ,Calm,1015.3
,2021-04-8,9.5,26.2,0,,,NNW,20,12:29,16.3,87,,NNE,2,1014.9,26.0,42,,W,7,1008.9
,2021-04-9,12.6,24.5,0.2,,,NW,39,13:03,14.9,100,,W,7,1006.1,23.3,38,,NW,9,1003.5
,2021-04-10,8.4,13.8,0,,,N,24,11:17,13.0,58,,NNW,11,1008.4,13.5,62,,NNW,9,1008.1
,2021-04-11,6.2,14.1,4.6,,,NNW,33,14:15,8.1,68,,NW,11,1012.6,12.5,53,,NW,20,1012.8
,2021-04-12,4.1,16.9,1.0,,,W,17,15:11,5.7,100,,WNW,9,1021.7,16.3,50,,WNW,9,1019.4
,2021-04-13,1.9,18.6,0,,,W,20,23:46,7.7,89,,N,4,1022.3,17.8,45,,SSW,6,1017.1
,2021-04-14,7.7,20.5,0,,,N,35,11:06,13.8,88,, ,Calm,1014.5,19.4,40,,NNW,19,1012.3
,2021-04-15,6.0,19.9,0,,,NW,30,11:11,12.1,80,, ,Calm,1017.3,19.6,43,,NW,11,1014.5
,2021-04-16,4.1,20.0,0,,,WNW,17,13:13,10.7,75,,SE,2,1021.9,19.2,40,,NNW,9,1019.8
,2021-04-17,2.7,20.0,0,,,WNW,20,16:03,8.4,91,,W,4,1024.7,19.0,36,,SSW,7,1020.2
,2021-04-18,2.7,19.9,0,,,WNW,19,12:16,8.9,82,, ,Calm,1023.4,18.7,39,,WNW,7,1019.1
,2021-04-19,1.9,18.9,0,,,NW,20,12:19,8.2,90,, ,Calm,1020.3,18.3,45,,WNW,11,1016.3
,2021-04-20,7.4,20.2,0,,,N,44,17:23,10.2,94,, ,Calm,1015.7,18.4,40,,NW,20,1010.1
,2021-04-21,1.9,16.4,2.0,,,WSW,19,13:19,9.0,76,,E,2,1016.3,15.5,47,,W,13,1013.3
,2021-04-22,2.3,11.6,0,,,NNW,22,12:53,5.8,100,,NW,6,1015.5,10.8,64,,ENE,9,1014.6
,2021-04-23,5.7,17.8,0,,,NNW,22,11:57,9.0,96,,NW,4,1019.4,17.3,48,,WNW,6,1017.5
,2021-04-24,1.3,17.8,0,,,NW,24,11:46,6.2,100,, ,Calm,1024.4,17.0,45,,NNW,11,1021.7
,2021-04-25,1.6,19.0,0,,,NW,17,13:11,7.4,99,, ,Calm,1026.5,18.3,36,, ,Calm,1023.0
,2021-04-26,1.7,20.7,0,,,WNW,19,12:50,7.5,97,, ,Calm,1027.0,19.9,36,,W,2,1023.8
,2021-04-27,2.2,21.6,0,,,SW,13,12:44,8.9,91,,NNE,6,1028.5,21.0,39,, ,Calm,1024.4
,2021-04-28,3.3,21.9,0,,,WNW,19,13:12,9.0,92,, ,Calm,1026.5,21.5,41,, ,Calm,1022.4
,2021-04-29,2.9,21.8,0,,,NW,17,13:58,8.8,93,, ,Calm,1025.7,21.1,31,,NNW,6,1022.6
,2021-04-30,3.3,22.7,0,,,SSW,11,13:14,9.3,87,,NW,4,1029.5,22.2,32,, ,Calm,1026.0
