"Daily Weather Observations for Lake Cargelligo, New South Wales for February 2021"
"Prepared at 13:00 UTC on Friday  8 October 2021   IDCJDW2071.202102"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Lake Cargelligo Airport {station 075039}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-02-1,22.0,31.6,0,,,,,,25.4,66,4,NE,22,,,,,,,
,2021-02-2,15.6,,2.8,,,,,,18.0,87,1,SSW,22,,,,,,,
,2021-02-3,14.2,30.0,0,,,,,,19.0,75,0,E,9,,,,,,,
,2021-02-4,18.1,32.4,0,,,,,,23.4,64,4,NE,19,,,,,,,
,2021-02-5,18.9,33.2,15.0,,,,,,24.0,75,5,NE,22,,,,,,,
,2021-02-6,16.2,28.2,25.6,,,,,,21.6,65,1,W,19,,,,,,,
,2021-02-7,17.8,27.9,0,,,,,,21.1,71,3,SW,9,,,,,,,
,2021-02-8,14.0,29.4,0,,,,,,17.5,68,1,SE,4,,,,,,,
,2021-02-9,17.4,31.3,0,,,,,,22.1,67,1,NE,13,,,,,,,
,2021-02-10,19.2,31.0,0,,,,,,21.4,58,1,NE,22,,,,,,,
,2021-02-11,16.4,33.0,0,,,,,,23.5,53,0,NNE,22,,,,,,,
,2021-02-12,23.4,31.2,0,,,,,,27.2,54,8, ,Calm,,,,,,,
,2021-02-13,16.6,28.6,6.8,,,,,,21.1,73,1,SW,19,,,,,,,
,2021-02-14,15.1,29.8,0,,,,,,20.3,65,2,SE,19,,,,,,,
,2021-02-15,15.4,29.4,0,,,,,,21.0,58,0,E,13,,,,,,,
,2021-02-16,17.0,31.0,0,,,,,,19.8,70,2,E,9,,,,,,,
,2021-02-17,18.6,30.5,0,,,,,,23.0,53,2,E,19,,,,,,,
,2021-02-18,16.5,30.0,0,,,,,,20.9,59,0,E,22,,,,,,,
,2021-02-19,17.9,32.2,0,,,,,,22.3,63,0,ENE,19,,,,,,,
,2021-02-20,18.9,33.4,0,,,,,,25.1,74,1,E,9,,,,,,,
,2021-02-21,18.3,38.0,0,,,,,,25.1,73,0,N,9,,,,,,,
,2021-02-22,19.9,30.3,0.4,,,,,,24.0,63,1,S,4,,,,,,,
,2021-02-23,13.4,26.0,0,,,,,,16.0,47,0,S,22,,,,,,,
,2021-02-24,12.7,29.7,0,,,,,,19.5,56,3,E,9,,,,,,,
,2021-02-25,19.5,31.2,0,,,,,,22.5,65,1,N,6,,,,,,,
,2021-02-26,13.1,31.1,0,,,,,,20.0,38,1,S,4,,,,,,,
,2021-02-27,18.4,,0,,,,,,21.9,63,4, ,Calm,,,,,,,
,2021-02-28,,34.4,0,,,,,,,,,,,,,,,,,
