"Daily Weather Observations for Lake Victoria, New South Wales for October 2020"
"Prepared at 13:00 UTC on Tuesday 12 October 2021   IDCJDW2072.202010"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Lake Victoria Storage {station 047016}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-10-1,8.5,24.5,0,4.0,,,,,14.0,78,1,W,2,,,,,,,
,2020-10-2,,30.0,0,5.4,,,,,18.5,81,0,N,2,,,,,,,
,2020-10-3,15.7,31.5,0,5.0,,,,,19.0,85,1,NE,4,,,,,,,
,2020-10-4,18.7,31.5,0.6,6.4,,,,,20.0,89,3, ,Calm,,,,,,,
,2020-10-5,9.0,19.1,4.0,8.0,,,,,9.5,93,8,SW,11,,,,,,,
,2020-10-6,8.5,17.0,0,5.3,,,,,10.0,87,6,S,6,,,,,,,
,2020-10-7,8.0,14.0,0,2.8,,,,,11.5,76,8,SE,6,,,,,,,
,2020-10-8,9.5,18.0,26.0,2.0,,,,,11.0,87,8,NW,9,,,,,,,
,2020-10-9,7.5,21.0,3.4,3.4,,,,,11.5,76,0,SW,6,,,,,,,
,2020-10-10,8.5,27.5,0,4.9,,,,,12.5,82,0, ,Calm,,,,,,,
,2020-10-11,7.5,21.0,0,8.0,,,,,7.0,100,2, ,Calm,,,,,,,
,2020-10-12,6.2,26.5,0,4.0,,,,,15.5,64,1,NE,2,,,,,,,
,2020-10-13,12.0,31.2,0,5.5,,,,,18.5,76,0,SW,2,,,,,,,
,2020-10-14,11.5,31.2,0,6.7,,,,,17.0,85,1, ,Calm,,,,,,,
,2020-10-15,14.5,33.5,0,4.8,,,,,21.0,95,4,N,2,,,,,,,
,2020-10-16,15.0,22.0,0,9.8,,,,,17.5,90,8,SW,4,,,,,,,
,2020-10-17,15.0,22.0,5.4,2.4,,,,,16.5,94,8,W,4,,,,,,,
,2020-10-18,6.5,20.5,0,1.8,,,,,9.5,93,7,SW,2,,,,,,,
,2020-10-19,6.5,22.5,0,5.2,,,,,10.5,81,0,S,6,,,,,,,
,2020-10-20,8.5,23.5,0,5.2,,,,,13.5,72,3,E,7,,,,,,,
,2020-10-21,10.0,28.0,0,4.5,,,,,15.0,73,6, ,Calm,,,,,,,
,2020-10-22,13.0,30.5,0,5.8,,,,,17.0,70,2, ,Calm,,,,,,,
,2020-10-23,16.0,25.0,0,6.4,,,,,20.5,65,8, ,Calm,,,,,,,
,2020-10-24,12.0,19.0,14.9,2.9,,,,,12.0,88,8,SSW,15,,,,,,,
,2020-10-25,7.5,16.5,0,6.8,,,,,9.5,80,2,S,13,,,,,,,
,2020-10-26,8.0,15.0,0,6.2,,,,,10.0,75,6,S,4,,,,,,,
,2020-10-27,10.0,19.0,1.6,0.4,,,,,13.0,88,8,E,4,,,,,,,
,2020-10-28,10.0,25.0,0.1,3.3,,,,,14.0,78,2,S,2,,,,,,,
,2020-10-29,11.5,24.0,0,4.8,,,,,16.0,79,3,ENE,2,,,,,,,
,2020-10-30,10.0,19.5,6.2,3.4,,,,,12.5,94,8,SSW,6,,,,,,,
,2020-10-31,12.0,24.0,0.3,2.7,,,,,14.0,89,8,SSW,6,,,,,,,
