"Daily Weather Observations for Lake Victoria, New South Wales for April 2021"
"Prepared at 13:00 UTC on Wednesday 20 October 2021   IDCJDW2072.202104"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Lake Victoria Storage {station 047016}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-04-1,,31.0,0,6.4,,,,,12.0,88,0, ,Calm,,,,,,,
,2021-04-2,,33.0,0,5.2,,,,,16.0,90,0, ,Calm,,,,,,,
,2021-04-3,,33.0,0,6.5,,,,,15.0,84,0, ,Calm,,,,,,,
,2021-04-4,,34.0,0,6.0,,,,,21.0,82,0, ,Calm,,,,,,,
,2021-04-5,,24.0,0,6.3,,,,,16.5,94,0,SW,4,,,,,,,
,2021-04-6,,28.0,0,9.4,,,,,14.5,100,0,S,7,,,,,,,
,2021-04-7,,29.0,0,5.2,,,,,14.5,100,0,SW,2,,,,,,,
,2021-04-8,,33.0,0,4.6,,,,,16.0,100,1, ,Calm,,,,,,,
,2021-04-9,,23.0,0,6.4,,,,,18.0,66,7,SSW,26,,,,,,,
,2021-04-10,10.0,23.5,0,4.2,,,,,13.5,94,6,W,4,,,,,,,
,2021-04-11,11.0,20.5,0,5.4,,,,,13.5,61,7,SW,19,,,,,,,
,2021-04-12,5.5,20.0,0,4.8,,,,,11.0,69,1,SSE,4,,,,,,,
,2021-04-13,7.5,24.0,0,2.2,,,,,15.0,49,8,NE,2,,,,,,,
,2021-04-14,14.5,24.5,0,11.0,,,,,18.0,71,7,WSW,2,,,,,,,
,2021-04-15,9.5,24.0,0,4.4,,,,,13.5,72,5, ,Calm,,,,,,,
,2021-04-16,8.0,22.0,0,3.8,,,,,12.5,82,0,S,6,,,,,,,
,2021-04-17,6.0,21.0,0,4.8,,,,,7.0,78,0,SW,4,,,,,,,
,2021-04-18,7.0,21.5,0,4.0,,,,,14.5,78,7,SW,4,,,,,,,
,2021-04-19,10.0,23.5,0,2.8,,,,,13.5,77,8, ,Calm,,,,,,,
,2021-04-20,8.0,23.5,0,1.8,,,,,13.5,61,1,N,2,,,,,,,
,2021-04-21,2.5,17.5,0,5.2,,,,,8.0,79,0, ,Calm,,,,,,,
,2021-04-22,8.0,20.5,0,3.6,,,,,14.0,57,5,W,9,,,,,,,
,2021-04-23,10.0,21.5,0,2.4,,,,,14.5,73,7,WSW,4,,,,,,,
,2021-04-24,10.5,22.0,0,2.2,,,,,12.0,88,1,SSW,7,,,,,,,
,2021-04-25,7.5,21.5,0,3.0,,,,,12.0,88,0, ,Calm,,,,,,,
,2021-04-26,7.5,23.0,0,4.0,,,,,12.0,82,0, ,Calm,,,,,,,
,2021-04-27,6.5,22.5,0,2.2,,,,,10.5,81,1, ,Calm,,,,,,,
,2021-04-28,5.5,23.0,0,2.8,,,,,10.0,80,3, ,Calm,,,,,,,
,2021-04-29,6.0,23.5,0,2.4,,,,,10.0,87,0, ,Calm,,,,,,,
,2021-04-30,6.0,27.0,0,2.8,,,,,13.0,66,0, ,Calm,,,,,,,
