"Daily Weather Observations for Lightning Ridge, New South Wales for June 2021"
"Prepared at 13:00 UTC on Monday 18 October 2021   IDCJDW2073.202106"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Lightning Ridge Visitor Information Cent {station 048243}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-06-1,7.5,23.0,0,,,,,,12.1,64,7,NE,6,,,,,,,
,2021-06-2,12.0,24.5,0,,,,,,17.8,56,7, ,,,,,,,,
,2021-06-3,14.4,20.5,20.8,,,,,,15.2,97,7, ,,,,,,,,
,2021-06-4,8.7,17.5,2.0,,,,,,12.0,93,2,SW,9,,,,,,,
,2021-06-5,7.0,16.8,0,,,,,,11.0,89,0,SSE,6,,,,,,,
,2021-06-6,1.8,17.6,0,,,,,,8.9,77,0,SW,4,,,,,,,
,2021-06-7,1.7,20.5,0,,,,,,8.7,88,0,SE,4,,,,,,,
,2021-06-8,7.8,19.9,0,,,,,,11.2,72,8,ENE,9,,,,,,,
,2021-06-9,5.4,14.6,0,,,,,,8.5,77,7, ,,,,,,,,
,2021-06-10,7.7,10.2,1.0,,,,,,8.9,69,8,WNW,11,,,,,,,
,2021-06-11,8.0,16.1,4.4,,,,,,10.0,100,4,WNW,2,,,,,,,
,2021-06-12,10.0,15.9,0,,,,,,12.2,95,8,WNW,2,,,,,,,
,2021-06-13,3.6,18.0,0,,,,,,9.8,100,3,WNW,2,,,,,,,
,2021-06-14,4.8,19.5,0,,,,,,11.5,80,0,NNE,7,,,,,,,
,2021-06-15,8.4,22.0,0,,,,,,12.8,71,0,ESE,4,,,,,,,
,2021-06-16,9.4,25.6,0,,,,,,13.7,76,2,NE,9,,,,,,,
,2021-06-17,5.7,18.0,0,,,,,,10.6,65,0,W,13,,,,,,,
,2021-06-18,5.5,17.1,0,,,,,,10.4,81,2,W,11,,,,,,,
,2021-06-19,7.1,16.7,0,,,,,,9.9,87,8,WSW,6,,,,,,,
,2021-06-20,6.0,19.3,0,,,,,,9.0,85,0,SW,9,,,,,,,
,2021-06-21,6.7,19.7,0,,,,,,10.2,84,0,SSE,11,,,,,,,
,2021-06-22,5.2,20.7,0,,,,,,11.2,83,0,E,13,,,,,,,
,2021-06-23,9.3,22.0,0,,,,,,14.1,76,5,NE,9,,,,,,,
,2021-06-24,13.3,18.9,2.6,,,,,,16.0,74,8,NE,13,,,,,,,
,2021-06-25,10.0,17.7,9.2,,,,,,11.5,92,2,W,4,,,,,,,
,2021-06-26,5.6,17.0,0,,,,,,10.5,84,0,WNW,4,,,,,,,
,2021-06-27,3.6,16.8,0,,,,,,9.8,79,0,WSW,2,,,,,,,
,2021-06-28,3.2,18.1,0,,,,,,7.3,84,0,S,4,,,,,,,
,2021-06-29,5.7,20.9,0,,,,,,10.0,78,0,SE,11,,,,,,,
,2021-06-30,10.8,21.6,0,,,,,,12.6,79,7, ,,,,,,,,
