"Daily Weather Observations for Lismore, New South Wales for June 2021"
"Prepared at 13:00 UTC on Monday 18 October 2021   IDCJDW2074.202106"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Lismore Airport."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Lismore Airport AWS {station 058214}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-06-1,8.5,22.8,0,,,N,43,01:52,15.1,80,7,NE,2,1025.3,22.5,48,8,NNW,4,1021.6
,2021-06-2,8.8,23.2,0,,,ENE,19,15:52,12.5,98,7,N,7,1023.2,21.7,49,8,ENE,7,1018.8
,2021-06-3,10.7,20.5,0,,,NE,48,17:04,16.0,87,2,N,13,1017.4,18.4,85,8,N,7,1012.1
,2021-06-4,9.2,22.1,0.8,,,NW,35,01:50,18.0,63,,NW,19,1013.4,21.6,42,,W,13,1010.5
,2021-06-5,6.5,20.0,0,,,SW,33,10:42,14.1,71,,NNE,4,1020.5,19.3,50,,S,15,1019.2
,2021-06-6,3.6,21.7,0.2,,,NNW,20,00:03,11.0,91,,N,13,1024.1,20.7,41,,SSE,9,1021.2
,2021-06-7,3.2,21.7,0,,,N,19,06:45,10.4,91,,N,11,1025.5,20.3,45,,SSE,7,1021.6
,2021-06-8,5.2,22.2,0.2,,,NNW,33,13:20,8.9,100,6,N,11,1019.4,20.1,61,7,NNE,13,1013.5
,2021-06-9,8.8,17.3,3.2,,,W,63,13:28,14.0,86,8,NW,20,1009.7,16.5,35,,W,30,1007.6
,2021-06-10,4.2,18.2,0.4,,,NNW,41,13:56,13.1,49,,N,17,1012.6,16.3,39,1,NNW,26,1008.7
,2021-06-11,3.0,19.4,0,,,NW,43,11:39,10.5,78,,N,13,1016.4,18.6,48,,NNW,19,1014.0
,2021-06-12,4.5,20.5,0,,,W,39,10:44,11.9,81,3,N,9,1020.5,19.8,42,,NW,19,1016.5
,2021-06-13,3.1,20.4,0,,,W,30,12:40,12.6,75,,N,9,1018.8,20.1,40,,W,13,1015.1
,2021-06-14,1.9,22.5,0,,,NE,22,16:23,10.2,89,,N,11,1017.2,21.8,33,,NNW,7,1013.8
,2021-06-15,4.4,20.2,0,,,NNW,20,09:54,11.5,91,8,N,9,1018.6,20.1,62,,W,4,1015.0
,2021-06-16,7.4,24.5,0.8,,,WSW,50,21:58,10.1,100,8,N,7,1019.2,24.0,43,,N,9,1014.7
,2021-06-17,10.0,23.2,2.8,,,NW,48,12:45,18.5,78,,NNW,11,1014.0,22.5,22,,WNW,28,1010.0
,2021-06-18,5.5,21.9,0,,,W,50,16:53,14.5,56,,NNW,15,1013.4,20.4,31,5,W,26,1008.3
,2021-06-19,10.0,20.5,0,,,W,54,15:06,16.0,51,,WNW,13,1012.8,18.9,40,,W,31,1010.0
,2021-06-20,6.2,20.8,0,,,S,37,13:41,15.6,64,,NNE,6,1017.9,19.1,52,8,S,24,1017.2
,2021-06-21,4.9,20.3,0,,,SSE,31,15:47,15.0,71,,NW,6,1023.4,19.4,56,5,S,15,1021.3
,2021-06-22,7.4,21.2,0,,,S,39,12:30,14.7,75,,SW,13,1029.4,18.6,55,2,S,19,1026.6
,2021-06-23,10.2,20.2,0.6,,,N,17,23:08,15.3,89,8,NW,7,1029.4,19.6,67,1,NE,7,1024.6
,2021-06-24,11.7,19.3,0,,,NNE,24,18:37,15.2,92,8,NW,11,1023.0,19.0,74,7,NNE,11,1017.7
,2021-06-25,12.8,22.3,0.4,,,NNW,30,10:51,18.6,82,7,NNE,9,1018.6,20.3,71,8,NNW,11,1017.1
,2021-06-26,13.6,17.9,4.8,,,WNW,22,10:39,15.2,92,8,NNE,2,1021.8,16.2,80,8,N,7,1020.3
,2021-06-27,2.9,19.1,0.4,,,SSW,20,14:03,10.2,85,,N,11,1026.6,18.8,48,,SSE,7,1024.3
,2021-06-28,1.6,20.3,0.2,,,SSE,31,16:00,12.2,81,1,NNE,7,1029.1,18.1,55,,SSE,22,1026.2
,2021-06-29,9.1,18.1,6.6,,,S,31,13:33,14.1,87,8,SSW,9,1030.2,17.3,76,4,S,19,1027.6
,2021-06-30,8.7,20.2,2.6,,,NNW,15,10:15,14.1,93,8,W,6,1029.6,19.1,73,8,NNW,6,1025.7
