"Daily Weather Observations for Lismore, New South Wales for September 2021"
"Prepared at 13:00 UTC on Thursday 21 October 2021   IDCJDW2074.202109"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Lismore Airport."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Lismore Airport AWS {station 058214}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-09-1,14.2,28.4,0,,,ENE,33,16:42,20.3,83,,NNW,7,1026.9,25.5,56,2,E,13,1023.4
,2021-09-2,13.0,24.0,0.4,,,ESE,30,12:00,21.3,59,2,E,15,1030.4,21.9,45,1,E,19,1027.5
,2021-09-3,8.3,23.5,1.2,,,NE,41,14:10,17.7,78,,NE,2,1028.2,18.4,75,8,NE,20,1024.3
,2021-09-4,11.2,22.5,1.6,,,ENE,39,14:30,15.3,97,7,W,6,1024.8,21.3,61,,NE,22,1019.0
,2021-09-5,11.0,24.2,0.4,,,W,52,14:28,17.9,76,8,ENE,6,1018.3,16.7,83,8,WNW,24,1016.4
,2021-09-6,3.9,22.7,1.0,,,SE,31,16:19,15.8,45,,WNW,9,1024.0,22.1,24,,SSW,13,1020.1
,2021-09-7,1.6,22.6,0,,,WSW,35,09:14,16.9,44,,SW,24,1028.5,22.2,31,,ESE,7,1024.7
,2021-09-8,1.9,23.5,0,,,SSE,31,11:35,15.5,65,,S,4,1031.5,22.5,39,1,SE,17,1027.7
,2021-09-9,6.8,26.4,0,,,NE,33,15:58,16.4,81,,NNW,13,1030.5,25.2,45,,ENE,20,1024.6
,2021-09-10,5.2,28.7,0,,,W,35,09:28,23.5,33,,WNW,19,1023.5,26.2,15,,SE,22,1020.6
,2021-09-11,2.8,28.4,0,,,NE,37,15:48,17.6,45,,N,6,1021.2,27.0,39,,ENE,15,1015.3
,2021-09-12,6.0,29.0,0,,,NW,44,12:53,22.3,49,,NNW,17,1015.5,28.5,29,1,NNW,26,1010.2
,2021-09-13,9.1,29.9,0,,,WNW,41,09:36,25.8,45,,NW,17,1011.5,23.6,66,7,SSE,19,1008.8
,2021-09-14,7.2,22.3,0,,,SSW,63,15:28,17.3,37,,W,24,1016.3,16.1,48,8,SSW,30,1015.6
,2021-09-15,10.0,22.3,0,,,SSW,41,10:02,17.3,49,,SW,22,1020.9,20.8,48,2,SSE,22,1017.6
,2021-09-16,5.1,22.3,0,,,SSE,35,14:31,16.8,55,4,SSW,17,1022.6,19.7,51,4,SE,22,1019.2
,2021-09-17,7.7,24.2,0,,,ENE,35,16:00,18.3,63,3,NE,6,1024.3,21.6,45,4,NE,20,1020.1
,2021-09-18,6.8,27.8,0,,,NW,39,13:53,20.3,59,8,NNE,13,1022.4,25.5,41,7,NNW,24,1017.5
,2021-09-19,14.2,26.1,0,,,S,35,10:41,23.0,46,,SSE,17,1023.4,22.7,54,5,E,20,1019.6
,2021-09-20,11.0,31.1,0,,,NW,41,14:00,20.5,73,,NNW,9,1018.8,30.0,37,1,NNW,26,1010.5
,2021-09-21,16.4,22.6,0,,,WSW,59,14:36,18.3,62,8,S,22,1012.5,20.1,21,2,W,37,1011.1
,2021-09-22,5.6,22.0,0.2,,,S,46,10:08,17.7,38,,SSW,26,1021.3,20.5,37,,SE,24,1019.5
,2021-09-23,7.0,25.6,0,,,ENE,39,15:52,18.8,59,,NNW,9,1023.5,23.7,40,,NE,20,1018.3
,2021-09-24,6.4,29.0,0,,,NW,48,12:33,22.4,47,,NW,15,1018.9,28.8,24,,NNW,20,1012.5
,2021-09-25,8.0,30.7,0,,,S,31,21:49,24.8,34,7,NW,17,1015.4,29.1,22,7,SSW,11,1012.1
,2021-09-26,13.1,23.2,0,,,SSE,50,14:05,19.0,72,8,SSW,13,1020.4,19.7,64,8,SE,30,1019.5
,2021-09-27,12.6,20.7,5.8,,,S,39,01:36,16.0,80,8,SSE,11,1025.3,18.9,53,7,ESE,20,1021.2
,2021-09-28,7.0,23.5,1.8,,,NE,33,14:55,18.1,60,,W,7,1024.1,20.7,44,,NE,24,1019.7
,2021-09-29,7.7,22.4,0,,,NE,39,11:54,19.7,59,8,N,7,1022.7,21.0,52,8,N,15,1018.6
,2021-09-30,14.7,26.7,8.8,,,NNW,39,12:14,18.2,85,8,NNW,13,1016.9,25.3,52,6,NNE,15,1011.6
