"Daily Weather Observations for Lithgow, New South Wales for September 2020"
"Prepared at 13:00 UTC on Wednesday 13 October 2021   IDCJDW2075.202009"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Lithgow (Cooerwull) {station 063226}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-09-1,3.9,15.0,0,,,,,,6.9,77,5,SE,6,,,,,,,
,2020-09-2,-0.5,17.9,0.1,,,,,,11.2,67,7,NNW,7,,,,,,,
,2020-09-3,5.2,21.9,0,,,,,,16.7,62,2,NW,15,,,,,,,
,2020-09-4,12.8,15.1,0,,,,,,14.4,71,7,W,15,,,,,,,
,2020-09-5,5.5,14.1,3.4,,,,,,8.6,74,1,SW,13,,,,,,,
,2020-09-6,-0.5,15.1,0,,,,,,9.9,77,7,ENE,6,,,,,,,
,2020-09-7,6.4,20.0,0,,,,,,11.8,78,0,NNE,2,,,,,,,
,2020-09-8,1.8,19.8,0.1,,,,,,15.2,66,3,NNW,7,,,,,,,
,2020-09-9,7.8,12.7,4.0,,,,,,12.0,97,8, ,Calm,,,,,,,
,2020-09-10,6.0,11.4,13.6,,,,,,7.0,83,7,SSE,13,,,,,,,
,2020-09-11,5.6,14.4,0.4,,,,,,8.3,84,8,ESE,7,,,,,,,
,2020-09-12,1.6,16.5,0.1,,,,,,10.8,78,0,NNW,9,,,,,,,
,2020-09-13,2.3,16.7,0,,,,,,14.0,76,7,NNW,6,,,,,,,
,2020-09-14,2.5,18.7,0.2,,,,,,13.4,80,0,WSW,11,,,,,,,
,2020-09-15,3.3,19.6,0,,,,,,14.2,75,5,NNW,9,,,,,,,
,2020-09-16,4.0,20.0,0,,,,,,14.9,69,1,NNE,13,,,,,,,
,2020-09-17,11.1,22.5,0,,,,,,17.4,50,5,NW,15,,,,,,,
,2020-09-18,8.8,15.1,0,,,,,,10.7,87,8,ESE,4,,,,,,,
,2020-09-19,10.8,19.2,0,,,,,,14.6,70,5,ENE,7,,,,,,,
,2020-09-20,11.4,17.8,15.2,,,,,,11.9,93,8,NNW,4,,,,,,,
,2020-09-21,12.0,22.6,1.0,,,,,,17.4,72,1,NNW,13,,,,,,,
,2020-09-22,11.3,17.5,7.6,,,,,,13.4,60,0,WSW,15,,,,,,,
,2020-09-23,8.7,13.4,0,,,,,,10.4,75,1,WSW,15,,,,,,,
,2020-09-24,6.1,12.7,0,,,,,,7.6,78,6,NW,13,,,,,,,
,2020-09-25,5.2,13.7,0,,,,,,10.9,73,5,NNW,28,,,,,,,
,2020-09-26,1.1,7.5,8.8,,,,,,3.5,82,7,WNW,11,,,,,,,
,2020-09-27,3.2,11.4,0,,,,,,7.0,79,2,WSW,9,,,,,,,
,2020-09-28,-1.7,15.0,0,,,,,,8.8,72,2,NW,4,,,,,,,
,2020-09-29,2.6,16.1,0,,,,,,10.2,78,5,NNW,9,,,,,,,
,2020-09-30,3.9,13.8,0,,,,,,11.6,77,8,NW,6,,,,,,,
