"Daily Weather Observations for Lithgow, New South Wales for August 2021"
"Prepared at 16:00 UTC on Saturday 16 October 2021   IDCJDW2075.202108"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Lithgow (Cooerwull) {station 063226}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-08-1,10.8,17.7,0,,,,,,14.0,64,8,NNW,11,,,,,,,
,2021-08-2,-2.6,11.7,1.6,,,,,,6.9,85,8,NE,6,,,,,,,
,2021-08-3,6.8,10.7,9.2,,,,,,8.4,76,6,NNW,15,,,,,,,
,2021-08-4,2.6,7.4,1.8,,,,,,2.6,80,7,W,9,,,,,,,
,2021-08-5,2.2,10.0,0.6,,,,,,7.0,75,4,SW,11,,,,,,,
,2021-08-6,5.4,10.5,0,,,,,,6.6,72,3,SW,7,,,,,,,
,2021-08-7,-0.5,9.6,0,,,,,,4.4,81,3,WSW,7,,,,,,,
,2021-08-8,-1.7,9.4,0.1,,,,,,6.9,79,7,SE,6,,,,,,,
,2021-08-9,5.6,13.7,1.0,,,,,,8.1,79,6,NNW,11,,,,,,,
,2021-08-10,0.3,14.2,0.1,,,,,,9.4,78,5,NNW,15,,,,,,,
,2021-08-11,2.9,15.7,0,,,,,,11.3,69,1,NNW,15,,,,,,,
,2021-08-12,6.6,12.4,5.2,,,,,,7.2,78,2,SW,13,,,,,,,
,2021-08-13,-3.7,11.9,0.1,,,,,,4.9,80,0,NW,4,,,,,,,
,2021-08-14,-4.1,15.3,0.1,,,,,,6.2,83,0, ,Calm,,,,,,,
,2021-08-15,-3.4,13.6,0.1,,,,,,5.4,72,0, ,Calm,,,,,,,
,2021-08-16,4.4,12.2,0,,,,,,7.6,58,0,SW,11,,,,,,,
,2021-08-17,4.0,11.8,0,,,,,,6.8,67,1,SW,4,,,,,,,
,2021-08-18,-4.3,14.1,0.1,,,,,,5.2,76,0, ,Calm,,,,,,,
,2021-08-19,-2.5,15.0,0.1,,,,,,8.4,73,6, ,Calm,,,,,,,
,2021-08-20,-1.2,15.2,0.1,,,,,,10.6,60,0,NNW,7,,,,,,,
,2021-08-21,2.9,16.2,0,,,,,,10.6,69,6,NW,15,,,,,,,
,2021-08-22,2.0,20.5,0.1,,,,,,12.7,56,1,WNW,7,,,,,,,
,2021-08-23,8.6,18.5,0,,,,,,15.2,63,1,N,17,,,,,,,
,2021-08-24,2.6,4.7,39.4,,,,,,3.1,92,8, ,Calm,,,,,,,
,2021-08-25,1.0,7.9,25.2,,,,,,4.2,75,6,SW,9,,,,,,,
,2021-08-26,-1.3,12.1,0.2,,,,,,6.2,74,1,W,4,,,,,,,
,2021-08-27,0.6,10.5,0,,,,,,6.5,83,6,NW,2,,,,,,,
,2021-08-28,1.9,11.9,0,,,,,,6.0,61,5,SW,11,,,,,,,
,2021-08-29,-2.5,13.2,0.1,,,,,,3.5,82,8,SE,4,,,,,,,
,2021-08-30,1.5,17.3,1.2,,,,,,7.3,76,7,SSW,7,,,,,,,
,2021-08-31,-2.0,17.4,0.1,,,,,,9.5,63,0, ,Calm,,,,,,,
