"Daily Weather Observations for Lord Howe Island for November 2020"
"Prepared at 13:00 UTC on Monday 11 October 2021   IDCJDW2077.202011"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Lord Howe Island Aero {station 200839}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-11-1,17.9,24.1,22.8,,,NNE,63,14:31,22.2,86,1,NNE,26,1014.4,19.3,94,8,N,17,1012.9
,2020-11-2,18.9,21.8,22.6,,,WSW,59,15:04,21.4,82,1,SW,17,1015.8,20.1,90,8,WSW,37,1013.7
,2020-11-3,18.3,21.9,3.6,,,SSW,69,18:45,19.7,86,8,SSW,26,1017.5,21.3,72,8,SSW,28,1016.9
,2020-11-4,17.7,22.5,3.8,,,S,44,02:56,20.2,76,7,S,11,1015.5,21.8,63,7,SSW,11,1013.5
,2020-11-5,11.3,23.3,0,,,NNE,37,22:51,20.3,69,,WSW,9,1011.6,22.6,70,8,WNW,13,1009.2
,2020-11-6,19.5,23.5,5.0,,,WSW,70,19:33,20.6,88,8,W,31,1005.0,21.0,84,8,WSW,52,1000.9
,2020-11-7,17.2,20.9,1.0,,,SSW,63,00:37,19.6,73,8,SW,24,1013.7,19.9,72,4,SW,24,1015.0
,2020-11-8,16.5,19.5,0,,,SSW,59,13:57,17.3,60,8,SSW,28,1022.3,18.4,54,8,SSW,28,1022.2
,2020-11-9,15.0,20.9,1.4,,,S,54,01:07,19.1,63,8,SSW,17,1024.0,19.3,64,8,SSW,22,1021.9
,2020-11-10,16.2,20.9,1.2,,,SSW,35,11:11,17.5,88,8,SSW,13,1022.5,18.0,92,8,ESE,9,1020.2
,2020-11-11,15.7,22.1,0.6,,,E,30,11:11,19.7,79,8,SW,7,1021.2,20.7,66,7,E,15,1019.5
,2020-11-12,18.5,22.7,0,,,NE,37,17:47,20.6,58,8,NE,13,1020.6,21.7,61,,NE,22,1017.9
,2020-11-13,19.2,23.8,0,,,NE,44,22:41,21.8,75,8,NE,28,1016.7,22.4,82,,NE,22,1014.2
,2020-11-14,20.4,23.6,1.6,,,NE,54,01:25,21.5,86,7,W,20,1015.0,18.0,99,8,E,15,1012.4
,2020-11-15,16.8,23.9,33.8,,,NW,31,02:07,22.9,100,8,WSW,15,1016.1,23.0,91,6,SW,17,1016.3
,2020-11-16,16.7,24.7,0,,,NNE,35,22:00,22.1,86,2,NE,13,1020.0,23.2,85,,NE,15,1018.0
,2020-11-17,20.8,26.1,0,,,ESE,52,22:40,24.6,90,4,NNE,15,1016.6,22.5,100,8,SW,11,1017.2
,2020-11-18,19.1,22.4,10.4,,,ESE,54,00:34,21.0,63,,ESE,20,1021.9,21.6,62,3,E,22,1021.2
,2020-11-19,16.8,22.0,0,,,E,41,10:53,20.8,58,1,E,22,1024.6,20.8,62,8,E,22,1023.7
,2020-11-20,17.9,22.9,0,,,ENE,30,19:45,21.1,66,3,ENE,17,1024.7,21.9,69,,ENE,19,1023.0
,2020-11-21,17.2,24.0,0,,,NE,26,23:36,21.8,65,2,NNW,4,1023.7,23.6,66,1,W,13,1021.7
,2020-11-22,15.8,25.3,0,,,W,22,10:52,23.0,76,8,W,11,1020.6,24.5,69,1,W,15,1018.0
,2020-11-23,17.3,25.3,0,,,WNW,46,14:03,23.3,77,5,NNW,15,1014.1,24.0,76,8,NW,19,1009.6
,2020-11-24,18.8,23.6,3.2,,,WSW,80,07:27,20.4,96,8,W,35,1006.0,22.9,78,7,SW,22,1005.6
,2020-11-25,18.8,23.4,0,,,E,37,11:51,21.8,66,8,SSW,9,1011.8,22.3,59,8,SSE,13,1011.3
,2020-11-26,17.4,23.5,0,,,SSE,35,14:33,21.0,56,,WNW,4,1015.2,22.6,58,2,E,22,1014.9
,2020-11-27,13.7,23.0,0,,,E,31,10:59,21.5,64,,E,19,1019.3,22.1,66,4,ENE,11,1018.5
,2020-11-28,15.5,24.1,0,,,NE,30,06:51,21.9,75,4,NNE,20,1018.4,23.4,72,2,NNW,15,1015.8
,2020-11-29,20.8,25.3,0,,,NW,48,12:14,23.3,82,7,WNW,20,1013.7,24.1,79,3,NNW,19,1010.0
,2020-11-30,21.4,23.0,1.4,,,E,48,12:13,21.5,99,8,SE,11,1012.6,22.3,80,7,SE,20,1012.5
