"Daily Weather Observations for Lord Howe Island for September 2021"
"Prepared at 13:00 UTC on Thursday 21 October 2021   IDCJDW2077.202109"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Lord Howe Island Aero {station 200839}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-09-1,8.8,20.0,0,,,E,33,23:09,18.9,84,6,S,7,1028.8,19.8,80,8,S,11,1027.8
,2021-09-2,15.5,19.7,0,,,E,54,21:55,18.9,82,,E,30,1032.0,19.0,77,3,E,31,1030.2
,2021-09-3,16.0,20.0,0.4,,,E,50,08:53,18.8,84,,E,35,1030.4,19.1,76,3,ENE,30,1027.7
,2021-09-4,16.7,20.2,0,,,ENE,46,00:04,18.7,74,2,ENE,30,1026.7,19.3,87,2,ENE,22,1023.8
,2021-09-5,17.2,20.7,0.2,,,WSW,63,22:59,19.7,100,8,NE,31,1020.6,17.5,100,8,N,17,1017.0
,2021-09-6,14.4,19.1,27.0,,,WSW,69,17:01,17.5,80,1,WSW,28,1018.4,17.0,85,1,SW,33,1015.9
,2021-09-7,12.5,18.0,10.4,,,SSW,56,07:14,17.1,67,1,SSW,28,1020.4,17.3,64,5,SW,22,1020.3
,2021-09-8,14.6,18.6,0,,,SSW,56,05:53,16.7,81,8,SW,19,1027.2,18.4,71,8,SW,17,1026.5
,2021-09-9,13.4,20.2,0.2,,,WNW,33,22:50,17.2,69,8,WSW,19,1030.3,18.5,73,6,W,20,1026.8
,2021-09-10,17.0,22.0,0,,,W,48,10:42,20.1,89,8,WNW,28,1022.3,21.0,100,,W,33,1019.2
,2021-09-11,10.0,21.4,0,,,NE,33,22:44,18.8,90,1,WSW,9,1022.1,19.7,80,2,WSW,9,1019.4
,2021-09-12,17.1,22.0,0,,,N,54,13:56,20.9,86,4,WNW,15,1018.2,20.5,79,6,NW,20,1014.6
,2021-09-13,19.2,22.3,0,,,N,59,08:12,20.3,99,8,NNW,24,1013.1,20.6,100,8,NW,19,1010.9
,2021-09-14,16.8,19.6,1.6,,,E,61,22:59,18.8,94,1,E,33,1012.7,18.7,90,3,E,39,1009.1
,2021-09-15,14.2,17.2,39.8,,,SSW,94,04:57,15.6,91,6,SSW,43,1008.7,16.7,78,8,SSW,41,1008.9
,2021-09-16,13.1,18.2,5.4,,,SSW,67,06:33,16.0,78,4,SSW,22,1015.7,16.4,76,8,SSW,20,1015.1
,2021-09-17,14.1,19.1,1.6,,,SW,44,02:24,16.4,69,8,SSE,7,1022.7,18.0,61,,WSW,13,1021.6
,2021-09-18,9.5,19.8,0,,,NE,43,15:09,18.8,66,3,NE,19,1025.4,18.7,65,1,NE,19,1022.2
,2021-09-19,17.2,20.5,1.8,,,W,52,08:46,17.8,100,6,W,33,1021.8,19.7,80,,SW,13,1020.6
,2021-09-20,9.2,22.5,0.2,,,NW,43,17:59,19.7,94,6,NNW,9,1021.2,21.7,98,5,NW,15,1016.0
,2021-09-21,17.2,19.0,13.6,,,SSW,74,19:16,17.9,100,8,NW,17,1008.2,17.6,100,8,ENE,9,1004.3
,2021-09-22,12.5,18.6,32.6,,,SSW,83,05:05,15.9,66,8,SSW,41,1013.0,16.8,69,2,SW,26,1013.5
,2021-09-23,13.0,19.5,2.0,,,SSW,46,02:15,17.2,76,5,SW,13,1019.6,18.1,88,3,WSW,20,1018.3
,2021-09-24,16.0,21.3,0.2,,,WNW,37,14:25,19.3,75,8,NW,11,1020.6,20.4,70,5,NW,13,1016.9
,2021-09-25,18.1,22.9,0,,,ESE,52,23:23,20.1,95,6,NW,17,1015.9,20.9,100,7,WNW,20,1013.3
,2021-09-26,16.1,18.6,0,,,SSW,54,21:57,18.0,60,1,SSW,13,1020.2,17.2,61,1,SSW,22,1020.0
,2021-09-27,12.1,17.8,1.6,,,SSW,46,01:38,14.6,67,8,SSW,17,1024.0,16.9,55,8,SE,9,1021.7
,2021-09-28,12.7,18.8,0.2,,,ENE,30,23:38,17.2,63,8,E,15,1026.0,16.9,66,8,E,9,1023.9
,2021-09-29,15.3,20.0,0,,,NE,44,23:57,17.7,59,8,NE,24,1027.2,18.4,67,8,NE,28,1023.5
,2021-09-30,16.9,20.5,0,,,NE,54,08:44,19.0,81,8,NE,41,1023.6,19.4,81,8,NE,37,1020.4
