"Daily Weather Observations for Lostock, New South Wales for November 2020"
"Prepared at 13:00 UTC on Monday 11 October 2021   IDCJDW2078.202011"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Lostock Dam {station 061288}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-11-1,,26.4,0,,,,,,,,,,,,,,,,,
,2020-11-2,12.3,22.0,7.0,17.2,,,,,17.6,73,8,SSW,2,,,,,,,
,2020-11-3,10.5,23.0,0.4,3.8,,,,,18.5,70,6,SE,4,,,,,,,
,2020-11-4,9.6,29.1,0.2,4.2,,,,,22.5,63,3,E,2,,,,,,,
,2020-11-5,17.2,22.1,0,5.2,,,,,20.0,66,7,W,2,,,,,,,
,2020-11-6,12.1,,15.6,2.6,,,,,14.8,75,8,WSW,4,,,,,,,
,2020-11-7,,,0,,,,,,,,,,,,,,,,,
,2020-11-8,,,0,,,,,,,,,,,,,,,,,
,2020-11-9,,22.0,1.6,,,,,,,,,,,,,,,,,
,2020-11-10,15.0,,0,7.0,,,,,16.5,74,0, ,Calm,,,,,,,
,2020-11-11,,28.9,0,,,,,,,,,,,,,,,,,
,2020-11-12,15.0,31.5,0,6.2,,,,,19.4,83,4,W,2,,,,,,,
,2020-11-13,17.5,,1.2,4.8,,,,,27.0,56,8, ,Calm,,,,,,,
,2020-11-14,,,0,,,,,,,,,,,,,,,,,
,2020-11-15,,32.1,0,,,,,,,,,,,,,,,,,
,2020-11-16,13.2,36.5,7.2,21.8,,,,,25.7,64,1,NW,2,,,,,,,
,2020-11-17,16.9,25.1,2.8,10.0,,,,,19.6,84,7,E,4,,,,,,,
,2020-11-18,15.5,26.0,0,6.4,,,,,21.6,57,3,NE,9,,,,,,,
,2020-11-19,17.0,30.5,0,6.2,,,,,20.0,72,0, ,Calm,,,,,,,
,2020-11-20,15.9,,0,6.4,,,,,30.2,57,2,E,2,,,,,,,
,2020-11-21,,,0,,,,,,,,,,,,,,,,,
,2020-11-22,,34.8,0,,,,,,,,,,,,,,,,,
,2020-11-23,17.8,32.0,1.0,14.4,,,,,24.4,65,7,W,2,,,,,,,
,2020-11-24,17.5,25.1,0.8,7.0,,,,,22.0,66,8,SE,4,,,,,,,
,2020-11-25,15.3,27.8,0,6.6,,,,,21.5,58,2,NE,6,,,,,,,
,2020-11-26,14.1,34.0,0,7.0,,,,,27.5,53,0,E,2,,,,,,,
,2020-11-27,19.0,,0,6.2,,,,,24.0,67,6,NE,2,,,,,,,
,2020-11-28,,,0,,,,,,,,,,,,,,,,,
,2020-11-29,,39.4,0,,,,,,,,,,,,,,,,,
,2020-11-30,15.9,22.1,0.8,34.6,,,,,17.6,95,8,SE,4,,,,,,,
