"Daily Weather Observations for Lostock, New South Wales for March 2021"
"Prepared at 16:00 UTC on Thursday  7 October 2021   IDCJDW2078.202103"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Lostock Dam {station 061288}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-03-1,16.6,32.6,2.4,12.2,,,,,22.0,91,4, ,Calm,,,,,,,
,2021-03-2,17.0,27.5,0,4.8,,,,,18.2,96,2,SE,2,,,,,,,
,2021-03-3,16.8,22.3,0,6.2,,,,,17.6,92,8,SE,2,,,,,,,
,2021-03-4,13.0,27.5,0.4,1.8,,,,,13.4,96,0,S,4,,,,,,,
,2021-03-5,13.0,,0,6.6,,,,,24.5,50,0,W,2,,,,,,,
,2021-03-6,,,,,,,,,,,,,,,,,,,,
,2021-03-7,,,,,,,,,,,,,,,,,,,,
,2021-03-8,,,0.4,,,,,,,,,,,,,,,,,
,2021-03-9,,,5.0,,,,,,,,,,,,,,,,,
,2021-03-10,19.5,26.0,1.0,6.8,,,,,23.0,74,8,SSE,4,,,,,,,
,2021-03-11,17.0,,0,2.6,,,,,20.0,91,0, ,Calm,,,,,,,
,2021-03-12,,,1.0,,,,,,,,,,,,,,,,,
,2021-03-13,,,0,,,,,,,,,,,,,,,,,
,2021-03-14,,31.3,0,,,,,,,,,,,,,,,,,
,2021-03-15,13.7,21.5,73.4,10.2,,,,,16.0,84,8,W,2,,,,,,,
,2021-03-16,12.0,20.6,0.2,2.8,,,,,12.5,97,4,SE,2,,,,,,,
,2021-03-17,12.2,21.0,4.6,1.8,,,,,16.4,98,8,SE,4,,,,,,,
,2021-03-18,16.0,19.0,6.6,0.6,,,,,17.4,98,8,SE,2,,,,,,,
,2021-03-19,17.0,20.0,37.2,3.2,,,,,19.0,90,8,SW,4,,,,,,,
,2021-03-20,17.5,23.5,87.0,1.0,,,,,19.0,95,,SE,4,,,,,,,
,2021-03-21,18.2,20.5,4.2,1.4,,,,,20.0,91,,E,4,,,,,,,
,2021-03-22,17.0,20.3,18.8,2.2,,,,,17.5,93,8,E,4,,,,,,,
,2021-03-23,15.7,22.7,27.2,2.2,,,,,20.1,88,8,E,2,,,,,,,
,2021-03-24,18.5,26.5,2.2,1.2,,,,,21.8,66,2,WNW,9,,,,,,,
,2021-03-25,18.8,25.5,0,7.8,,,,,19.6,67,4,NW,19,,,,,,,
,2021-03-26,13.5,,0,6.4,,,,,14.0,93,0,WSW,4,,,,,,,
,2021-03-27,,,0,,,,,,,,,,,,,,,,,
,2021-03-28,,26.4,0,,,,,,,,,,,,,,,,,
,2021-03-29,13.0,25.5,0,11.8,,,,,16.0,94,2, ,Calm,,,,,,,
,2021-03-30,14.5,23.0,1.2,4.2,,,,,15.5,98,8, ,Calm,,,,,,,
,2021-03-31,14.2,22.0,3.2,4.2,,,,,14.6,93,4,S,2,,,,,,,
