"Daily Weather Observations for Lostock, New South Wales for October 2021"
"Prepared at 05:36 UTC on Tuesday 26 October 2021   IDCJDW2078.202110"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Lostock Dam {station 061288}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-10-1,12.5,,4.4,2.0,,,,,14.5,89,8, ,Calm,,,,,,,
,2021-10-2,,,,,,,,,,,,,,,,,,,,
,2021-10-3,,26.2,,,,,,,,,,,,,,,,,,
,2021-10-4,11.0,26.7,0.6,14.4,,,,,14.8,81,0,W,4,,,,,,,
,2021-10-5,13.8,21.2,0,11.4,,,,,15.6,46,0,W,19,,,,,,,
,2021-10-6,10.6,25.5,0,9.6,,,,,13.0,59,0,W,9,,,,,,,
,2021-10-7,8.8,27.6,0,17.0,,,,,11.0,81,2,WSW,2,,,,,,,
,2021-10-8,10.5,,0,8.8,,,,,15.4,83,8,ESE,2,,,,,,,
,2021-10-9,,,,,,,,,,,,,,,,,,,,
,2021-10-10,,32.0,,,,,,,,,,,,,,,,,,
,2021-10-11,9.5,,15.6,18.4,,,,,14.6,89,8,SE,4,,,,,,,
,2021-10-12,11.2,15.0,10.2,1.0,,,,,12.2,86,8,E,4,,,,,,,
,2021-10-13,11.8,21.0,20.4,1.2,,,,,14.5,92,6,ESE,2,,,,,,,
,2021-10-14,12.4,28.0,1.8,3.0,,,,,13.8,97,2, ,Calm,,,,,,,
,2021-10-15,12.5,,4.2,6.6,,,,,18.0,53,0,W,6,,,,,,,
,2021-10-16,,,,,,,,,,,,,,,,,,,,
,2021-10-17,,24.0,,,,,,,,,,,,,,,,,,
,2021-10-18,9.5,26.5,4.0,23.4,,,,,12.0,86,2,WSW,2,,,,,,,
,2021-10-19,11.0,27.8,0,5.4,,,,,12.8,79,2,WSW,2,,,,,,,
,2021-10-20,9.8,19.5,0.2,6.2,,,,,13.0,88,4,NNW,2,,,,,,,
,2021-10-21,11.5,22.2,0.4,2.6,,,,,13.5,92,2,E,2,,,,,,,
,2021-10-22,13.0,,0,2.8,,,,,16.2,91,4,SE,2,,,,,,,
,2021-10-23,,,,,,,,,,,,,,,,,,,,
,2021-10-24,,32.0,,,,,,,,,,,,,,,,,,
,2021-10-25,12.0,24.5,19.0,19.8,,,,,15.5,84,0, ,Calm,,,,,,,
,2021-10-26,12.5,,0,7.2,,,,,19.0,63,4,SE,2,,,,,,,
