"Daily Weather Observations for Maitland, New South Wales for December 2020"
"Prepared at 13:00 UTC on Sunday 10 October 2021   IDCJDW2079.202012"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Maitland Airport."
"Observations from the Maitland Visitors Centre (station number 061388) ceased in July 2016, when this current site began."
"Observations were drawn from Maitland Airport AWS {station 061428}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-12-1,17.5,36.1,0,,,S,100,19:21,21.8,71,,N,7,1013.1,33.0,48,,NNE,6,1007.6
,2020-12-2,20.4,23.6,18.8,,,SSE,35,05:09,21.3,83,8,S,13,1017.5,21.2,76,8,SE,20,1019.0
,2020-12-3,17.6,26.1,1.0,,,ENE,33,10:29,19.2,94,8,ESE,17,1021.7,24.4,76,8,ESE,15,1018.4
,2020-12-4,17.6,32.6,0,,,ESE,37,16:38,25.9,68,0,W,15,1014.7,30.2,54,1,ESE,22,1009.9
,2020-12-5,14.4,28.7,0,,,SW,57,21:11,22.7,75,6,ESE,11,1012.5,26.4,68,6,W,15,1008.0
,2020-12-6,19.8,31.4,7.2,,,WNW,59,10:40,24.6,68,8,NW,20,1002.5,30.6,30,,WNW,35,1001.6
,2020-12-7,13.7,30.3,0,,,WNW,56,13:04,21.2,51,,WNW,13,1007.2,29.5,25,,NW,28,1003.3
,2020-12-8,12.8,25.2,0,,,SE,43,15:05,20.1,38,,W,24,1012.3,23.4,40,3,SE,19,1012.5
,2020-12-9,9.8,27.2,0,,,ESE,43,16:22,19.4,61,,W,6,1020.1,25.8,33,,NNE,9,1016.4
,2020-12-10,12.3,31.1,0,,,SSE,57,15:31,20.5,66,,WNW,9,1017.5,27.5,48,2,SSE,30,1016.1
,2020-12-11,16.7,21.9,1.4,,,SSE,39,04:35,18.7,64,8,SSE,20,1026.8,20.0,56,8,SE,24,1026.3
,2020-12-12,12.2,24.1,0,,,SE,44,12:21,21.9,50,7,SE,24,1028.5,22.3,45,8,ESE,28,1026.7
,2020-12-13,14.3,25.4,0,,,ESE,39,12:57,21.7,56,8,ESE,20,1024.7,23.9,60,8,SSE,20,1021.5
,2020-12-14,17.9,24.6,1.2,,,E,46,14:10,22.3,72,8,E,19,1019.5,22.3,72,8,E,33,1017.7
,2020-12-15,18.3,24.5,3.4,,,E,37,10:43,22.1,94,8,ESE,20,1014.7,22.6,98,8,ESE,15,1012.7
,2020-12-16,20.5,32.1,23.8,,,ENE,50,14:49,24.3,81,7, ,Calm,1011.8,30.7,62,3,ESE,19,1007.2
,2020-12-17,21.8,32.2,0,,,ESE,31,15:47,24.5,81,6,ENE,6,1007.9,31.6,53,5,WNW,15,1004.6
,2020-12-18,20.9,32.2,0,,,WNW,48,09:14,29.2,66,,NW,19,1006.3,23.1,84,7,NW,17,1007.8
,2020-12-19,19.4,22.1,11.2,,,SSE,31,01:15,20.2,88,8,SSE,13,1015.8,20.8,83,8,SE,19,1015.6
,2020-12-20,18.6,22.8,2.6,,,SSW,19,02:42,19.2,99,8,SSW,13,1012.8,22.2,85,8,SW,9,1011.5
,2020-12-21,19.0,22.9,1.2,,,E,22,18:01,20.6,96,7,NNE,4,1012.3,21.4,89,8,NW,7,1009.2
,2020-12-22,18.7,28.5,34.6,,,NW,56,13:40,21.0,86,4,WNW,20,1003.1,27.8,47,8,NW,31,1002.9
,2020-12-23,14.4,26.2,0,,,SE,39,17:05,20.4,50,,WNW,20,1013.5,25.1,47,2,SSE,20,1014.6
,2020-12-24,14.4,27.7,0,,,NNE,26,09:48,19.4,79,7,SE,4,1017.0,26.6,49,4,NNE,9,1013.6
,2020-12-25,16.2,25.4,0,,,S,41,06:50,20.1,85,7,SSE,24,1017.9,22.7,68,8,SE,24,1018.1
,2020-12-26,18.9,27.7,0,,,ENE,52,20:40,23.3,67,1,E,20,1019.4,26.7,55,8,ENE,20,1015.5
,2020-12-27,15.8,32.1,26.0,,,W,39,11:54,22.1,83,,NW,11,1013.6,31.1,45,,WNW,20,1009.4
,2020-12-28,19.1,31.6,0,,,NW,54,11:28,26.4,55,8,W,24,1009.4,29.5,44,8,W,17,1007.1
,2020-12-29,17.7,23.6,13.0,,,SE,33,16:53,19.3,89,8,S,2,1014.6,21.2,84,8,SSE,9,1012.8
,2020-12-30,17.9,26.4,5.0,,,SE,35,13:43,22.3,78,6,SW,9,1017.1,22.3,82,8,SE,22,1016.9
,2020-12-31,19.1,24.3,5.2,,,SE,35,11:45,21.1,89,8,SSE,13,1018.7,22.6,80,8,SE,13,1018.3
