"Daily Weather Observations for Maitland, New South Wales for February 2021"
"Prepared at 13:00 UTC on Friday  8 October 2021   IDCJDW2079.202102"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Maitland Airport."
"Observations from the Maitland Visitors Centre (station number 061388) ceased in July 2016, when this current site began."
"Observations were drawn from Maitland Airport AWS {station 061428}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-02-1,19.6,29.9,0,,,SE,33,15:49,22.8,85,8,ENE,6,1015.5,28.6,60,2,ESE,20,1011.5
,2021-02-2,18.0,25.5,13.4,,,ESE,35,13:37,18.6,96,8,NE,4,1010.0,24.7,65,7,SSE,20,1009.8
,2021-02-3,15.0,25.7,0.2,,,ESE,33,13:35,20.0,78,7,W,9,1013.9,23.5,60,6,ESE,15,1011.9
,2021-02-4,15.2,31.3,0,,,ESE,35,16:38,21.5,75,, ,Calm,1012.6,30.6,45,,NNE,13,1009.0
,2021-02-5,18.3,32.3,0,,,ENE,41,16:57,24.3,70,,E,9,1011.5,31.6,46,,NE,20,1007.5
,2021-02-6,19.3,25.9,0,,,ENE,26,00:03,21.9,87,8, ,Calm,1005.4,24.3,76,8,N,15,1004.3
,2021-02-7,20.4,29.8,7.0,,,SE,37,16:11,22.7,82,,WNW,19,1006.7,27.9,47,7,SE,15,1005.0
,2021-02-8,17.1,27.0,0.2,,,ESE,35,15:23,22.3,69,,S,15,1013.3,24.9,55,8,SSE,19,1011.9
,2021-02-9,15.5,26.6,0,,,SSE,41,14:52,22.7,64,6,S,19,1016.6,25.3,47,5,SE,24,1014.9
,2021-02-10,13.2,24.4,1.2,,,ESE,30,15:38,17.6,95,7, ,Calm,1017.4,23.0,63,8,SE,13,1014.8
,2021-02-11,11.4,28.1,0.8,,,NE,30,12:34,17.8,83,,ENE,7,1015.4,27.3,49,,ENE,11,1011.9
,2021-02-12,13.6,33.2,0,,,NNW,33,14:09,19.1,78,,WNW,9,1009.9,31.1,47,2,NNE,13,1006.4
,2021-02-13,19.0,24.8,4.8,,,SSW,35,12:09,22.4,97,7, ,Calm,1007.0,21.3,93,8,S,20,1007.8
,2021-02-14,15.1,26.4,18.6,,,SSE,41,13:41,20.7,80,8,SW,11,1015.3,25.3,52,1,SSE,24,1013.7
,2021-02-15,14.2,24.4,0,,,S,44,08:27,20.3,72,5,SSW,20,1017.5,22.3,64,8,SSW,13,1017.1
,2021-02-16,17.5,26.8,8.2,,,ESE,50,12:13,21.6,88,8,ESE,7,1019.7,25.3,55,6,ESE,24,1019.9
,2021-02-17,18.0,25.7,11.4,,,ESE,39,15:54,22.3,81,6,E,11,1022.6,24.2,49,8,SE,26,1022.2
,2021-02-18,16.8,26.0,0.6,,,ESE,41,14:57,21.6,73,8,SSE,9,1023.4,24.5,70,8,ESE,20,1021.5
,2021-02-19,19.6,26.9,35.2,,,ESE,35,16:52,20.9,97,8,ESE,13,1020.0,24.1,79,8,ESE,15,1017.2
,2021-02-20,17.9,27.6,2.8,,,ENE,30,16:03,21.5,99,8,WSW,6,1015.9,27.0,68,8,E,11,1012.8
,2021-02-21,18.9,29.3,0.4,,,SSE,39,13:55,22.1,93,8,S,13,1010.3,28.3,60,1,SSE,22,1007.3
,2021-02-22,18.8,31.3,2.4,,,ENE,35,15:35,23.2,87,,WNW,9,1006.4,30.7,50,,SE,9,1003.7
,2021-02-23,20.1,22.1,3.6,,,S,37,00:23,20.5,76,8,S,13,1011.7,20.9,75,8,SE,20,1013.0
,2021-02-24,16.1,22.7,1.0,,,SE,30,15:19,18.4,85,7,SW,4,1017.2,21.2,86,8,SSE,17,1015.1
,2021-02-25,14.9,24.9,4.2,,,ENE,22,15:43,18.4,98,7,WNW,13,1012.0,23.1,79,7, ,Calm,1010.1
,2021-02-26,16.1,31.4,0.2,,,ESE,35,15:41,22.2,76,,W,13,1010.0,31.2,43,1,N,9,1007.9
,2021-02-27,20.3,25.6,0.4,,,ENE,28,09:57,21.0,93,8,SSE,11,1013.7,24.2,80,8,ESE,11,1011.7
,2021-02-28,19.8,29.7,0,,,ESE,28,16:33,22.1,92,8,WNW,11,1012.1,29.5,58,1,SSE,13,1009.3
