"Daily Weather Observations for Mangrove Mountain, New South Wales for October 2021"
"Prepared at 05:36 UTC on Tuesday 26 October 2021   IDCJDW2080.202110"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Mangrove Mountain AWS {station 061375}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-10-1,13.2,25.7,0,,,SW,26,14:18,15.8,70,,WNW,7,,16.2,80,,E,7,
,2021-10-2,9.7,23.6,3.8,,,NNW,28,13:49,18.0,67,,WNW,7,,15.7,68,,W,17,
,2021-10-3,10.1,24.9,3.6,,,WNW,30,11:26,16.9,70,,WNW,9,,23.4,29,,WNW,11,
,2021-10-4,14.7,27.6,0,,,W,37,13:56,21.7,38,,NE,6,,25.2,23,,W,22,
,2021-10-5,11.2,20.6,0,,,W,48,13:38,16.4,37,,W,11,,19.0,20,,W,24,
,2021-10-6,4.4,24.8,0,,,ENE,26,15:32,14.2,42,,WNW,9,,24.1,9,,NW,7,
,2021-10-7,7.9,28.5,0,,,SSE,39,17:56,15.8,29,,NW,13,,27.5,15,,NW,15,
,2021-10-8,12.1,20.7,0,,,ENE,33,17:07,16.5,60,,ENE,9,,20.2,45,,ENE,13,
,2021-10-9,9.0,30.6,0,,,WNW,31,14:13,17.4,71,,NW,6,,29.4,13,,WNW,15,
,2021-10-10,16.6,31.6,0,,,NW,39,11:24,23.5,34,,NW,11,,29.8,26,,NW,9,
,2021-10-11,9.1,11.8,9.2,,,SSE,30,02:29,9.5,97,,SSW,6,,11.0,95,,S,9,
,2021-10-12,9.3,15.4,8.6,,,SSE,26,12:53,11.0,96,,SE,6,,14.1,66,,SE,13,
,2021-10-13,10.9,17.9,23.4,,,NE,33,19:25,13.5,100,,NE,6,,15.3,88,,ENE,11,
,2021-10-14,10.3,24.7,2.6,,,SSE,35,18:30,17.2,77,,WNW,4,,22.5,59,,ENE,11,
,2021-10-15,11.3,19.9,3.2,,,WNW,56,11:14,15.9,79,,W,9,,18.7,40,,WNW,17,
,2021-10-16,9.0,21.0,0.8,,,NW,46,10:52,15.8,48,,WNW,17,,19.1,35,,WNW,22,
,2021-10-17,6.9,23.1,0,,,E,26,14:41,15.5,51,,WNW,7,,22.8,24,,NW,9,
,2021-10-18,8.3,25.9,0,,,E,26,15:44,16.0,75,,WNW,9,,25.1,21,,WNW,4,
,2021-10-19,9.5,26.9,0,,,SSE,33,15:13,19.2,53,,NW,4,,18.4,86,,SE,15,
,2021-10-20,6.4,21.2,1.2,,,SE,26,14:06,13.3,67,,WSW,7,,20.5,34,,SSE,11,
,2021-10-21,9.0,21.5,0,,,E,24,16:31,17.0,76,,SSE,9,,19.6,51,,ENE,7,
,2021-10-22,11.9,23.0,0,,,ESE,22,15:17,16.9,93,,SSE,2,,21.2,61,,ESE,9,
,2021-10-23,11.2,32.1,0,,,ENE,33,16:20,20.0,84,,NW,6,,31.3,23,,WNW,7,
,2021-10-24,15.8,22.9,0,,,SE,26,13:45,18.8,65,,S,11,,19.9,50,,ESE,13,
,2021-10-25,7.8,23.7,0,,,NNW,30,11:03,16.7,70,,WNW,7,,21.9,12,,SE,6,
,2021-10-26,7.1,,0,,,,,,16.6,59,,ENE,4,,18.7,48,,E,13,
