"Daily Weather Observations for Menindee, New South Wales for July 2021"
"Prepared at 13:00 UTC on Sunday 17 October 2021   IDCJDW2081.202107"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Menindee Post Office {station 047019}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-07-1,8.0,18.6,0,,,,,,12.0,99,8,NW,4,,,,,,,
,2021-07-2,7.1,18.3,0,,,,,,8.2,95,0,NW,4,,,,,,,
,2021-07-3,4.1,15.0,0,,,,,,6.6,78,0,NW,9,,,,,,,
,2021-07-4,5.0,16.4,0,,,,,,6.0,85,0, ,Calm,,,,,,,
,2021-07-5,3.0,14.0,0,,,,,,4.2,99,8,SW,4,,,,,,,
,2021-07-6,1.0,13.5,0,,,,,,2.5,91,6, ,Calm,,,,,,,
,2021-07-7,-1.0,15.2,5.0,,,,,,1.5,94,0,S,4,,,,,,,
,2021-07-8,1.2,13.8,0,,,,,,4.8,84,6,E,9,,,,,,,
,2021-07-9,0.0,,0,,,,,,2.7,96,0,SE,4,,,,,,,
,2021-07-10,,17.9,0,,,,,,7.1,82,0,W,4,,,,,,,
,2021-07-11,,18.8,0,,,,,,6.8,85,1,E,9,,,,,,,
,2021-07-12,6.0,21.2,0,,,,,,8.7,65,4,NE,4,,,,,,,
,2021-07-13,3.4,19.4,0,,,,,,5.2,97,4,NW,4,,,,,,,
,2021-07-14,4.5,22.7,0.4,,,,,,16.1,51,8,N,4,,,,,,,
,2021-07-15,8.6,20.0,0,,,,,,9.5,84,2,SW,4,,,,,,,
,2021-07-16,8.5,17.2,1.0,,,,,,11.5,60,0,NW,33,,,,,,,
,2021-07-17,7.0,15.7,4.0,,,,,,9.4,72,2,W,24,,,,,,,
,2021-07-18,5.4,15.5,0,,,,,,8.0,85,0,W,9,,,,,,,
,2021-07-19,7.5,16.0,0,,,,,,10.2,84,6,NW,4,,,,,,,
,2021-07-20,7.4,15.8,0,,,,,,10.7,67,8,N,17,,,,,,,
,2021-07-21,1.6,13.3,1.5,,,,,,3.2,95,0,W,9,,,,,,,
,2021-07-22,2.2,9.8,0,,,,,,8.0,62,8,NE,9,,,,,,,
,2021-07-23,5.2,12.4,6.5,,,,,,7.0,91,6,E,4,,,,,,,
,2021-07-24,6.0,17.0,0,,,,,,9.0,92,8,NW,9,,,,,,,
,2021-07-25,7.5,16.4,2.0,,,,,,9.0,79,5,NW,17,,,,,,,
,2021-07-26,7.6,20.3,0,,,,,,10.0,76,0,N,9,,,,,,,
,2021-07-27,6.7,23.0,0,,,,,,10.8,60,0,N,9,,,,,,,
,2021-07-28,10.3,20.4,2.1,,,,,,12.6,94,8,NW,4,,,,,,,
,2021-07-29,4.5,17.0,0,,,,,,7.5,93,0,W,4,,,,,,,
,2021-07-30,5.6,21.5,0,,,,,,10.2,61,8,NE,9,,,,,,,
,2021-07-31,10.0,25.4,0,,,,,,13.5,67,3,N,4,,,,,,,
