"Daily Weather Observations for Merimbula, New South Wales for October 2020"
"Prepared at 13:00 UTC on Tuesday 12 October 2021   IDCJDW2082.202010"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Merimbula Airport AWS {station 069147}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-10-1,10.5,21.8,3.6,,,SW,46,08:54,15.3,59,,SW,28,1014.1,17.4,54,,SE,26,1013.3
,2020-10-2,5.8,25.0,0.2,,,NE,33,13:42,19.1,43,,N,6,1021.0,21.9,46,,NE,19,1018.9
,2020-10-3,7.1,28.2,0,,,NNE,41,14:53,24.7,36,,NNE,2,1021.3,26.4,34,,NE,22,1016.2
,2020-10-4,6.6,28.2,0,,,NE,41,13:29,16.8,70,, ,Calm,1017.2,25.4,51,,NE,20,1012.8
,2020-10-5,12.3,29.2,0,,,NNW,46,06:21,24.6,44,,NW,24,1011.5,21.7,57,8,SE,9,1014.0
,2020-10-6,12.1,15.1,2.0,,,ENE,30,22:36,12.5,99,8,W,7,1023.7,14.1,99,8,S,6,1023.0
,2020-10-7,12.5,17.9,33.6,,,ENE,30,00:59,15.1,99,8,ENE,11,1021.9,15.8,99,8,NE,13,1018.7
,2020-10-8,15.0,25.1,42.6,,,NW,54,16:34,17.5,96,8,NNE,13,1008.1,25.0,38,,NNW,24,1003.4
,2020-10-9,9.5,23.0,1.0,,,W,31,11:21,17.7,59,4,NW,17,1010.6,16.8,76,8,SE,15,1010.1
,2020-10-10,6.6,18.2,6.0,,,NNE,26,14:28,13.6,86,,SSW,2,1017.6,17.6,61,4,NE,15,1015.7
,2020-10-11,8.7,18.6,0.2,,,SE,31,14:07,14.5,87,8, ,Calm,1021.7,17.5,68,,SE,15,1021.2
,2020-10-12,12.7,19.8,0,,,NE,33,13:02,16.3,73,8,N,9,1024.7,18.8,75,,NE,20,1020.6
,2020-10-13,9.7,25.3,0,,,S,46,16:18,19.1,77,, ,Calm,1020.5,23.3,53,,S,24,1021.5
,2020-10-14,12.5,17.8,2.2,,,NE,26,18:06,13.3,98,8, ,Calm,1028.8,14.6,99,8,NE,13,1025.9
,2020-10-15,10.7,24.2,2.0,,,S,37,16:00,17.8,86,,E,7,1017.1,21.3,71,8,S,17,1010.3
,2020-10-16,12.3,17.3,4.4,,,S,30,02:23,13.6,72,,S,6,1021.0,16.1,74,8,S,9,1020.4
,2020-10-17,12.3,20.7,9.0,,,S,39,16:52,14.3,95,8,S,4,1011.7,19.8,76,8,S,13,1006.5
,2020-10-18,11.1,21.4,9.8,,,S,39,08:12,16.4,69,,S,17,1011.3,20.5,50,1,S,20,1011.4
,2020-10-19,8.3,17.7,0,,,S,26,12:19,13.5,61,8,S,11,1018.3,17.0,56,1,S,15,1017.5
,2020-10-20,12.9,19.2,0,,,,35,13:39,16.0,75,8,S,9,1019.8,18.8,70,,,,1017.3
,2020-10-21,10.9,21.4,0,,,,,,17.6,81,,,,1015.7,20.3,75,3,,,1012.8
,2020-10-22,13.9,19.7,0.2,,,SE,28,15:00,15.4,90,,,,1016.5,18.6,76,1,ESE,13,1014.3
,2020-10-23,15.3,22.4,0.2,,,NE,33,11:50,19.4,81,,N,9,1011.8,16.8,99,8,ENE,13,1009.2
,2020-10-24,16.3,19.3,59.8,,,SSW,39,15:44,17.9,99,8,SSW,4,1001.8,17.4,99,8,SE,13,1001.4
,2020-10-25,11.0,17.0,13.0,,,SSE,39,17:18,12.6,65,8,SW,15,1016.2,16.2,65,8,S,7,1017.6
,2020-10-26,10.7,15.7,20.0,,,SSE,43,11:53,13.0,74,8,SSW,13,1025.0,14.1,81,8,S,19,1023.7
,2020-10-27,10.4,17.5,16.2,,,ESE,33,13:58,13.1,98,8,SW,13,1024.0,15.6,85,8,ESE,19,1021.7
,2020-10-28,12.3,19.1,15.2,,,ESE,20,10:43,16.1,85,6,SW,9,1020.7,18.4,80,1,ESE,13,1017.8
,2020-10-29,11.5,19.8,0.6,,,ENE,28,12:33,16.5,80,3,SSW,4,1014.6,18.3,80,5,E,15,1011.7
,2020-10-30,12.9,20.5,0,,,ESE,26,14:38,17.4,81,8,NW,7,1011.6,19.1,78,6,E,15,1010.8
,2020-10-31,14.3,18.6,0.2,,,SSE,33,13:34,17.8,79,5,SE,13,1012.8,16.7,88,8,SSE,19,1012.6
