"Daily Weather Observations for Merimbula, New South Wales for December 2020"
"Prepared at 13:00 UTC on Sunday 10 October 2021   IDCJDW2082.202012"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Merimbula Airport AWS {station 069147}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-12-1,16.5,25.9,0,,,NNE,43,13:44,22.4,66,,N,11,1007.7,24.3,72,,NE,20,1002.6
,2020-12-2,14.5,22.7,0,,,SE,39,13:58,18.0,51,6,SSW,13,1018.5,20.7,59,,SE,20,1019.9
,2020-12-3,14.6,22.5,0,,,NNE,43,11:34,19.2,67,1,NNE,11,1022.1,21.8,70,,NE,17,1017.7
,2020-12-4,13.5,24.3,1.4,,,SE,43,14:42,20.6,81,,E,7,1013.3,22.7,69,,SE,20,1011.6
,2020-12-5,16.4,23.3,0,,,NNE,46,09:10,20.6,64,,N,17,1009.7,21.8,78,4,NNE,22,1000.4
,2020-12-6,13.9,26.0,0.8,,,WNW,46,09:23,21.5,40,,W,13,997.9,25.3,27,,SW,26,999.5
,2020-12-7,9.4,25.1,0.2,,,W,48,09:44,22.1,36,,WNW,15,1001.1,18.6,62,7,ESE,15,1002.9
,2020-12-8,8.2,21.7,6.0,,,SSW,43,10:58,16.3,49,4,WSW,24,1013.4,20.3,45,8,SW,13,1013.8
,2020-12-9,8.3,21.6,0,,,E,28,11:35,18.3,56,,ESE,6,1019.0,20.5,64,,E,15,1017.2
,2020-12-10,14.3,23.2,0,,,SE,48,17:22,18.5,68,8,SSW,17,1020.6,22.1,43,,S,28,1021.7
,2020-12-11,8.3,20.9,0,,,ESE,26,13:20,16.6,57,7,WNW,9,1031.3,19.7,49,2,ESE,15,1030.2
,2020-12-12,12.3,21.3,0,,,ENE,30,15:45,19.6,58,,ESE,7,1033.0,20.9,55,,ENE,15,1030.5
,2020-12-13,15.2,22.6,2.8,,,NE,37,13:45,16.5,97,8,N,9,1027.5,22.1,75,,NE,19,1024.0
,2020-12-14,13.8,24.6,2.2,,,NE,43,15:09,21.8,66,7,NW,17,1021.6,23.5,70,2,NE,22,1018.8
,2020-12-15,17.8,25.8,0,,,NE,43,15:52,23.4,62,5,N,11,1016.2,22.9,79,6,NE,22,1013.4
,2020-12-16,18.0,22.2,0,,,SSE,30,15:52,21.9,91,8,ESE,2,1014.1,19.9,99,8,SE,13,1011.4
,2020-12-17,19.1,24.8,22.0,,,E,22,11:43,20.5,97,8,ESE,6,1005.5,24.3,84,1,E,11,1003.9
,2020-12-18,19.7,25.3,16.2,,,SSW,44,12:32,23.4,82,,S,15,1004.7,23.0,59,,S,24,1007.3
,2020-12-19,10.7,21.4,0.2,,,ESE,28,12:40,17.3,56,6,SW,13,1018.8,19.3,65,8,ESE,13,1017.8
,2020-12-20,14.6,23.6,5.6,,,ESE,30,16:59,17.5,89,8,SSW,9,1015.1,22.5,71,,ESE,13,1012.7
,2020-12-21,15.5,22.7,29.6,,,NE,28,14:05,20.6,79,7, ,Calm,1012.6,21.9,78,5,NE,15,1008.7
,2020-12-22,15.0,27.1,24.8,,,SSE,46,14:49,18.4,82,1,SSE,13,1001.0,22.0,75,1,SE,26,999.1
,2020-12-23,16.3,23.8,0.6,,,ESE,39,12:52,19.3,67,3,SSW,15,1014.0,20.3,76,8,E,15,1015.0
,2020-12-24,14.2,21.5,1.8,,,S,31,19:26,15.3,96,8, ,Calm,1016.8,20.0,69,7,ESE,11,1015.3
,2020-12-25,11.3,22.0,0,,,SE,39,14:19,17.2,55,8,SW,17,1021.3,20.4,67,1,SE,20,1020.8
,2020-12-26,14.9,23.4,0.2,,,NE,43,12:52,17.3,90,8,NNW,9,1020.2,20.4,80,7,NE,22,1015.9
,2020-12-27,14.4,25.4,1.2,,,NE,41,12:37,22.5,72,,NNE,9,1011.9,24.7,79,8,NE,22,1007.7
,2020-12-28,15.3,18.7,0.2,,,SSW,46,06:00,15.8,69,8,SSW,22,1010.2,18.5,58,7,SSW,13,1011.2
,2020-12-29,14.5,19.7,0,,,SSE,26,13:31,16.3,68,8,SW,9,1016.4,19.1,66,8,SE,11,1017.3
,2020-12-30,14.7,22.5,0,,,ENE,33,13:15,18.7,77,8, ,Calm,1020.0,21.1,64,8,NE,19,1019.3
,2020-12-31,15.0,22.4,0,,,ENE,28,10:12,19.7,83,8,SW,6,1021.3,21.0,70,8,ENE,15,1021.4
