"Daily Weather Observations for Merimbula, New South Wales for February 2021"
"Prepared at 13:00 UTC on Friday  8 October 2021   IDCJDW2082.202102"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Merimbula Airport AWS {station 069147}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-02-1,14.8,24.2,0,,,NNE,39,12:02,20.9,82,2,NNE,11,1015.7,23.4,77,1,NNE,20,1010.2
,2021-02-2,14.8,23.5,26.8,,,SW,46,10:34,18.8,60,,WSW,17,1011.4,22.9,53,1,SW,24,1011.1
,2021-02-3,15.4,23.1,0,,,SW,41,09:10,18.6,68,2,SW,15,1014.1,22.1,55,8,SSW,13,1011.2
,2021-02-4,15.6,25.7,0,,,NE,46,13:32,20.4,74,7, ,Calm,1010.8,24.6,75,2,NNE,26,1008.2
,2021-02-5,20.1,27.2,0,,,NNE,52,11:38,23.4,81,7,N,6,1009.9,24.5,81,8,NNE,26,1006.3
,2021-02-6,20.3,26.5,10.4,,,NNE,43,23:21,21.5,98,8,NNW,7,1000.9,24.9,82,1,NE,19,997.1
,2021-02-7,13.8,27.2,1.6,,,S,39,17:05,19.8,77,,ESE,7,1007.0,23.4,67,7,NE,15,1006.9
,2021-02-8,11.0,21.3,0,,,SE,31,15:28,17.4,70,8,WNW,9,1015.2,19.5,69,8,SE,15,1014.7
,2021-02-9,11.2,22.8,0,,,SE,41,12:15,18.4,73,,NW,7,1018.6,19.5,80,8,ESE,17,1018.6
,2021-02-10,15.1,20.6,0,,,ENE,22,09:47,16.9,86,8,SSW,2,1018.9,18.7,69,8,NE,9,1016.5
,2021-02-11,16.5,24.2,0,,,NE,39,15:35,20.5,75,2, ,Calm,1013.8,23.3,71,7,NE,20,1010.4
,2021-02-12,18.3,24.9,0.6,,,S,28,21:56,19.1,98,8, ,Calm,1005.5,21.9,88,8, ,Calm,1003.6
,2021-02-13,18.0,25.9,0.4,,,SSW,41,16:41,18.9,67,8,SW,15,1009.6,25.3,48,,SSW,15,1010.8
,2021-02-14,11.8,23.3,0,,,SE,35,12:22,19.1,67,4,S,4,1018.2,22.0,66,5,SE,20,1017.6
,2021-02-15,14.9,23.4,0,,,SE,37,13:32,18.3,76,8,SSW,11,1022.9,22.3,61,7,SE,22,1023.2
,2021-02-16,16.0,22.4,5.8,,,E,24,13:39,17.9,98,8, ,Calm,1025.0,21.2,73,8,E,13,1024.3
,2021-02-17,17.6,23.7,0,,,ENE,35,10:04,22.2,71,8,ENE,17,1026.3,23.2,56,,ENE,17,1026.6
,2021-02-18,14.4,25.4,0,,,NE,31,12:11,18.5,88,, ,Calm,1027.2,24.6,63,,NE,15,1025.2
,2021-02-19,16.3,25.9,0,,,NE,39,10:53,22.6,78,1,N,9,1022.4,25.0,67,,NNE,19,1017.4
,2021-02-20,15.9,27.0,0,,,NE,41,12:52,21.5,87,, ,Calm,1015.1,25.2,74,,NNE,22,1012.4
,2021-02-21,16.2,26.6,0,,,NE,33,11:08,20.9,97,2,WSW,2,1011.4,25.9,79,6,ENE,13,1008.7
,2021-02-22,17.0,21.7,1.6,,,SSW,35,17:40,17.4,98,8,SSE,6,1009.0,20.2,70,7,S,17,1008.7
,2021-02-23,14.6,22.5,0,,,WSW,44,08:15,17.4,49,5,SW,24,1014.4,21.7,41,7,S,19,1015.8
,2021-02-24,10.7,21.6,0,,,NW,17,00:51,17.4,55,,SW,7,1020.8,20.4,61,8,E,7,1019.0
,2021-02-25,14.9,24.6,6.6,,,ENE,26,11:49,18.8,93,1, ,Calm,1010.7,23.6,75,6,NE,2,1007.0
,2021-02-26,12.6,24.4,1.0,,,SW,41,06:44,17.5,62,,SW,17,1011.3,23.7,41,,SSE,19,1010.2
,2021-02-27,14.5,21.2,0,,,ENE,20,14:13,16.8,72,8, ,Calm,1015.1,20.1,73,8,ENE,9,1012.8
,2021-02-28,14.3,23.0,0,,,ESE,24,12:11,18.2,85,8, ,Calm,1013.5,22.8,66,,ESE,13,1011.7
