"Daily Weather Observations for Merimbula, New South Wales for March 2021"
"Prepared at 16:00 UTC on Thursday  7 October 2021   IDCJDW2082.202103"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Merimbula Airport AWS {station 069147}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-03-1,12.5,26.3,0,,,SE,41,13:17,18.0,88,, ,Calm,1007.9,23.8,73,7,SE,17,1006.1
,2021-03-2,13.8,22.1,0,,,SW,46,10:13,16.0,45,,WSW,22,1013.4,21.4,33,,SSW,20,1012.9
,2021-03-3,9.3,22.8,0,,,E,33,16:29,15.4,56,,W,17,1017.2,22.4,42,1,E,15,1015.0
,2021-03-4,8.0,21.8,0,,,E,24,11:07,16.2,69,, ,Calm,1014.0,20.8,52,,E,11,1009.8
,2021-03-5,13.1,22.6,0,,,SSW,46,05:54,16.8,57,8,SW,15,1010.1,21.6,40,,SSW,19,1009.1
,2021-03-6,10.9,22.5,0,,,S,31,14:17,16.1,65,5, ,Calm,1013.9,21.5,51,1,SE,17,1013.1
,2021-03-7,10.3,23.1,0,,,NE,37,13:04,16.7,81,8, ,Calm,1014.7,22.7,65,,NE,20,1011.1
,2021-03-8,13.7,25.0,0,,,SSE,20,10:50,19.4,85,, ,Calm,1009.9,22.0,81,8,E,6,1008.2
,2021-03-9,12.9,26.3,0,,,S,35,16:24,19.2,69,8,SW,17,1012.9,24.4,50,4,SE,22,1012.3
,2021-03-10,12.6,21.1,0,,,,,,17.5,70,8, ,Calm,1021.7,20.6,58,8,E,11,1021.1
,2021-03-11,16.3,25.8,,,,NE,43,13:27,19.8,81,,NNW,9,1020.7,24.3,75,,NE,24,1017.6
,2021-03-12,18.9,24.6,4.4,,,NE,33,13:47,19.4,97,8,N,6,1019.7,20.3,94,5,NE,15,1017.1
,2021-03-13,15.2,29.0,2.0,,,S,39,19:33,19.2,98,,S,2,1011.7,28.5,65,,NE,19,1006.5
,2021-03-14,12.7,19.3,7.0,,,SW,37,16:10,13.2,87,8,SW,17,1017.2,18.2,57,6,S,19,1018.3
,2021-03-15,6.9,21.1,0.2,,,,,,14.5,69,,NW,11,1023.7,20.2,48,,E,15,1022.0
,2021-03-16,12.6,19.0,0,,,SSE,24,15:08,17.7,80,8, ,Calm,1027.2,18.6,79,8,ESE,9,1027.4
,2021-03-17,12.6,21.6,2.0,,,,,,17.1,84,8,NW,9,1029.0,20.0,62,7,ENE,15,1027.7
,2021-03-18,17.2,23.3,,,,ENE,35,00:47,20.1,68,,ENE,20,1028.5,21.8,74,8,E,20,1027.5
,2021-03-19,18.1,21.8,0.2,,,ENE,39,21:03,20.2,84,8,ESE,17,1029.7,21.3,83,8,E,17,1029.5
,2021-03-20,17.9,21.1,5.4,,,SE,43,14:38,19.7,78,8,ESE,19,1030.6,18.6,99,8,SE,24,1027.7
,2021-03-21,18.5,22.6,11.6,,,ENE,48,19:17,21.0,88,8,ENE,24,1027.8,20.9,86,6,ENE,26,1026.3
,2021-03-22,17.7,22.2,11.2,,,ENE,44,04:34,20.9,85,8,ENE,24,1024.8,19.6,96,8, ,Calm,1021.1
,2021-03-23,17.8,20.0,86.2,,,ENE,61,09:38,19.1,99,8,ENE,20,1011.1,19.0,99,8,ENE,22,1004.4
,2021-03-24,15.6,28.9,101.4,,,NW,46,14:09,17.8,99,8, ,Calm,993.8,28.3,43,3,W,20,992.7
,2021-03-25,14.4,23.0,0,,,W,44,14:05,17.9,95,7,NNW,2,1001.5,18.7,96,8,SSW,13,1002.6
,2021-03-26,10.4,21.1,63.2,,,E,22,14:34,14.6,96,,NW,6,1014.0,21.0,61,,E,11,1011.6
,2021-03-27,11.0,22.8,0,,,SSE,30,18:10,15.1,95,, ,Calm,1011.9,22.4,72,,E,13,1009.1
,2021-03-28,9.6,21.1,1.6,,,,,10:51,14.3,89,, ,Calm,1017.3,20.4,63,,E,11,1016.3
,2021-03-29,9.3,22.8,0,,,S,41,15:27,14.9,88,,NNW,6,1020.1,19.7,48,7,SSW,22,1020.3
,2021-03-30,12.0,21.4,0,,,SE,30,16:36,15.4,62,,W,15,1025.1,20.0,60,3,E,13,1023.4
,2021-03-31,9.4,23.4,0,,,W,26,07:12,16.4,71,7,WNW,13,1025.6,21.4,67,,ESE,11,1023.9
