"Daily Weather Observations for Montague Island, New South Wales for September 2021"
"Prepared at 13:00 UTC on Thursday 21 October 2021   IDCJDW2083.202109"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Temperature, humidity, wind, pressure and rainfall observations are from Montague Island Lighthouse {station 069017}"
"Cloud observations are from Narooma (Marine Rescue) {station 069022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-09-1,14.0,20.1,0,,,N,35,21:50,16.1,75,1,SSW,11,1026.0,18.1,73,1,NNE,17,1025.5
,2021-09-2,12.8,18.6,0,,,NNE,80,18:19,15.6,70,0,N,20,1028.4,17.8,89,2,NE,59,1022.5
,2021-09-3,15.6,18.0,0,,,NNE,70,16:38,16.9,85,0,NNE,52,1021.6,17.3,87,2,NNE,48,1016.3
,2021-09-4,14.5,16.1,1.0,,,SSW,59,19:40,14.7,97,8,S,6,1016.4,15.1,99,8,NNE,26,1013.9
,2021-09-5,11.7,13.6,30.0,,,WSW,85,11:38,12.5,98,8,W,15,1011.0,12.3,73,8,WSW,39,1012.3
,2021-09-6,10.3,16.1,2.6,,,WSW,80,07:49,13.5,56,1,SW,59,1022.5,15.7,48,1,SSW,46,1023.7
,2021-09-7,10.2,16.4,0,,,S,41,21:18,12.5,82,1,SSW,19,1024.4,15.4,60,0,ESE,19,1023.6
,2021-09-8,10.9,16.0,0,,,NNE,35,14:34,14.2,76,1,NNE,6,1030.4,15.6,78,1,NE,28,1025.3
,2021-09-9,12.8,23.3,0,,,NW,52,14:56,15.5,57,7,NNW,15,1022.5,23.0,29,7,NW,35,1016.4
,2021-09-10,13.6,18.5,0,,,SSE,52,03:33,15.3,66,8,S,28,1021.5,14.7,74,,ESE,15,1021.0
,2021-09-11,12.3,26.2,0,,,N,57,10:29,18.1,61,4,N,35,1012.1,23.3,40,0,N,15,1006.1
,2021-09-12,13.8,17.1,0,,,NNW,44,03:09,15.7,86,1,SSW,20,1003.1,14.3,82,6,SSE,30,1003.8
,2021-09-13,10.7,15.2,0,,,SSW,61,19:28,12.3,65,7,SSW,33,1015.3,13.4,65,3,S,46,1016.4
,2021-09-14,9.7,14.7,0,,,SW,59,08:14,12.0,71,7,SSW,35,1024.8,13.4,66,5,S,39,1024.0
,2021-09-15,9.5,15.3,0,,,SW,44,00:45,12.3,67,2,SSW,30,1025.9,13.1,75,3,SSE,35,1023.6
,2021-09-16,9.9,15.2,1.6,,,S,41,01:15,12.5,80,1,SSW,19,1025.1,13.5,72,2,ESE,17,1022.0
,2021-09-17,10.4,20.7,5.6,,,NNE,70,17:38,13.8,77,0,NNE,19,1020.6,16.5,81,,NNE,43,1014.2
,2021-09-18,13.7,23.9,0.6,,,W,76,16:30,20.4,60,3,NNW,28,1010.0,22.4,30,1,WNW,48,1008.4
,2021-09-19,12.1,20.9,0,,,WNW,50,18:25,15.0,58,5,NNW,22,1018.5,19.8,45,3,N,11,1013.5
,2021-09-20,13.9,22.7,0,,,WNW,85,15:02,16.4,56,3,NNW,17,1008.9,16.0,43,8,W,59,1007.3
,2021-09-21,8.9,15.2,0,,,SSW,74,10:27,12.4,57,3,SW,43,1016.4,14.3,56,3,S,46,1018.4
,2021-09-22,10.0,16.1,0,,,NNW,31,23:03,14.6,62,1,S,13,1023.6,15.2,64,1,E,15,1020.6
,2021-09-23,11.5,19.4,0,,,SW,37,19:12,15.4,81,0,N,9,1017.3,17.7,76,1,NNE,28,1012.1
,2021-09-24,14.0,,0,,,,,,19.2,58,0,N,24,1009.5,,,5,,,
,2021-09-25,,,,,,,,,,,7,,,,,,7,,,
,2021-09-26,,,,,,,,,,,1,,,,,,3,,,
,2021-09-27,,,,,,,,,,,2,,,,5.6,58,2,WNW,6,
,2021-09-28,,,,,,,,,,,6,,,,,,3,,,
,2021-09-29,,,,,,,,,,,3,,,,,,6,,,
,2021-09-30,,,,,,,,,,,8,,,,,,6,,,
