"Daily Weather Observations for Moree, New South Wales for March 2021"
"Prepared at 16:00 UTC on Thursday  7 October 2021   IDCJDW2084.202103"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Moree Aero {station 053115}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-03-1,20.9,34.9,3.4,,,SW,37,14:43,26.3,71,,E,9,1010.0,34.0,31,4,SW,15,1007.9
,2021-03-2,19.2,32.8,0,,,SSW,63,15:30,25.3,66,,NNE,6,1010.0,31.8,16,,SW,28,1008.5
,2021-03-3,15.3,32.7,0,,,SW,39,15:22,23.6,58,4,E,11,1011.0,32.6,25,5,W,20,1007.9
,2021-03-4,18.4,32.2,0,,,SW,37,17:34,23.4,54,,E,19,1012.0,30.4,31,7,SSE,9,1008.7
,2021-03-5,17.9,32.2,0,,,SW,43,14:17,22.9,64,,NNE,13,1008.7,31.8,22,,SW,28,1005.3
,2021-03-6,13.6,33.9,0,,,E,41,14:36,22.8,56,,ENE,22,1007.9,31.9,22,,NNE,9,1005.9
,2021-03-7,18.8,35.0,0,,,NE,50,08:29,23.0,62,7,NE,33,1012.7,34.0,25,1,NNW,20,1008.7
,2021-03-8,22.1,31.8,0,,,SW,63,13:24,25.1,63,1,NNE,31,1013.4,21.3,92,8,ENE,24,1009.9
,2021-03-9,17.4,32.3,52.0,,,E,39,23:02,20.7,84,1,NE,20,1014.4,31.5,44,1,WNW,7,1012.5
,2021-03-10,19.2,32.6,0,,,SSE,41,20:31,22.1,70,6,SSW,6,1017.0,31.9,40,5,ESE,7,1014.4
,2021-03-11,19.9,30.1,5.0,,,NE,39,11:38,21.7,84,,ENE,11,1019.4,29.4,46,1,NNE,20,1016.2
,2021-03-12,20.3,30.9,0,,,NE,46,09:02,23.7,71,,NE,28,1018.1,30.7,50,8,NNE,13,1014.8
,2021-03-13,21.1,32.6,0.2,,,NNE,44,08:34,23.8,75,2,NE,30,1015.8,31.4,48,2,NNE,24,1011.8
,2021-03-14,22.7,28.8,0,,,WSW,63,14:00,23.4,71,8,NNE,30,1011.6,22.1,88,8,WSW,52,1009.8
,2021-03-15,17.0,26.4,14.4,,,WSW,33,23:20,18.7,84,1,SSW,15,1015.7,25.7,66,8,E,9,1015.5
,2021-03-16,18.3,25.5,0,,,ENE,39,08:35,21.8,61,4,ESE,17,1019.9,25.1,43,8,E,19,1018.0
,2021-03-17,16.7,24.4,0,,,ENE,31,10:43,19.8,69,8,ESE,13,1017.9,22.0,74,8,WSW,4,1015.5
,2021-03-18,17.5,29.7,1.4,,,E,37,19:08,21.8,67,,E,15,1017.5,28.3,47,6,N,9,1014.7
,2021-03-19,15.9,30.5,0,,,SSE,52,17:33,22.3,62,,SE,13,1018.0,30.0,42,,SSW,13,1014.7
,2021-03-20,16.5,29.4,0,,,NE,30,17:34,21.8,68,8,E,17,1016.5,28.8,52,,ENE,6,1013.6
,2021-03-21,20.7,31.7,0,,,SE,46,21:51,23.3,70,7,E,19,1017.6,31.0,46,8,NE,13,1014.0
,2021-03-22,20.2,21.6,17.8,,,ENE,63,16:57,20.8,91,8,E,17,1015.5,21.3,92,8,ENE,33,1011.6
,2021-03-23,18.8,27.0,150.0,,,ENE,54,05:02,20.1,94,8,NE,24,1006.5,26.1,82,8,NNW,24,1001.5
,2021-03-24,18.0,27.1,19.2,,,WSW,37,15:25,20.7,79,,WSW,17,1006.3,25.7,52,1,SW,19,1004.6
,2021-03-25,13.8,25.7,0,,,WSW,41,14:24,19.3,74,,SW,13,1008.4,25.0,44,,WSW,30,1008.0
,2021-03-26,14.8,27.1,0,,,ENE,28,10:20,19.9,72,2,ESE,7,1014.1,26.4,32,,NW,13,1011.6
,2021-03-27,15.4,27.9,0,,,W,41,13:46,20.0,71,,NNE,13,1015.0,26.9,37,1,WNW,15,1013.0
,2021-03-28,14.1,28.4,0,,,W,30,13:45,19.1,75,,E,9,1017.0,27.8,34,6,SW,11,1014.8
,2021-03-29,13.2,27.5,0,,,SW,35,12:52,20.2,64,,ESE,7,1018.2,27.0,28,,SSW,22,1016.1
,2021-03-30,13.1,29.1,0,,,SSW,33,16:53,19.9,69,3,SE,15,1019.6,27.3,34,5,SE,7,1017.2
,2021-03-31,14.7,27.6,0,,,SSW,33,13:47,19.6,57,3,ESE,24,1021.0,27.0,30,,SW,17,1017.9
