"Daily Weather Observations for Moree, New South Wales for October 2021"
"Prepared at 05:36 UTC on Tuesday 26 October 2021   IDCJDW2084.202110"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Moree Aero {station 053115}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-10-1,14.7,26.2,1.8,,,NNE,39,08:30,19.6,77,7,NNE,24,1008.5,25.0,31,1,WNW,28,1003.2
,2021-10-2,13.0,23.5,0,,,W,33,12:36,18.6,57,1,WSW,15,1008.6,21.3,48,7,WSW,19,1005.3
,2021-10-3,9.4,26.3,0,,,W,30,13:49,16.0,79,,NNE,11,1008.0,25.3,31,,W,20,1005.2
,2021-10-4,14.3,24.7,0,,,WSW,44,13:08,19.2,56,,WSW,28,1005.6,24.1,26,,W,31,1006.2
,2021-10-5,8.3,22.4,0,,,W,48,13:05,14.7,66,,SSW,9,1013.9,21.6,34,,WSW,30,1013.0
,2021-10-6,5.1,25.0,0,,,SSW,28,13:54,14.4,60,,N,7,1017.9,23.7,23,,SSW,17,1013.9
,2021-10-7,8.1,25.5,0,,,WNW,54,16:50,16.0,62,,ENE,15,1014.4,25.4,37,6,NE,9,1012.2
,2021-10-8,10.3,27.9,0,,,N,20,09:13,17.2,83,,NE,13,1017.4,26.0,36,,WSW,9,1015.3
,2021-10-9,13.5,31.2,0,,,NE,41,08:22,20.6,67,,NE,30,1018.1,30.7,28,,NE,11,1013.6
,2021-10-10,18.1,31.2,0,,,NNE,52,06:56,22.7,59,,NNE,35,1013.5,30.4,32,7,N,20,1008.5
,2021-10-11,16.1,19.5,7.2,,,SSW,31,23:02,17.9,91,8,N,7,1012.2,18.8,78,8,SW,15,1011.1
,2021-10-12,14.8,20.1,0.2,,,E,35,10:09,16.3,90,8,E,19,1011.5,19.1,78,8,ENE,20,1008.5
,2021-10-13,14.8,26.4,2.4,,,NNE,35,09:11,19.0,73,2,ENE,15,1011.7,25.6,51,1,N,15,1008.2
,2021-10-14,16.5,30.3,0.4,,,NNE,48,08:10,21.2,74,3,NNE,31,1009.1,28.5,33,8,N,24,1004.8
,2021-10-15,12.4,23.5,0,,,SW,56,20:30,18.5,36,,NW,24,1009.1,22.9,24,,WNW,31,1005.8
,2021-10-16,7.3,22.9,0,,,WSW,50,12:10,14.9,69,,NW,17,1013.2,21.9,35,2,WSW,31,1010.2
,2021-10-17,7.2,25.4,0,,,WSW,30,13:04,17.2,55,,E,11,1016.6,25.1,24,,WSW,19,1012.8
,2021-10-18,12.1,27.9,0,,,SE,33,14:10,17.2,64,7,E,13,1016.4,26.7,36,2,ESE,13,1011.8
,2021-10-19,11.4,29.5,0,,,SSW,35,13:53,19.4,61,,NE,17,1016.8,28.5,23,1,SSW,22,1013.1
,2021-10-20,9.7,28.5,0,,,W,50,15:18,20.7,44,,S,4,1014.7,28.2,23,,W,30,1010.1
,2021-10-21,9.8,28.2,0,,,E,31,06:59,20.2,60,,ENE,19,1012.7,27.5,27,,NNE,9,1009.2
,2021-10-22,13.5,31.9,0,,,NE,31,08:03,22.2,64,,ENE,19,1014.5,30.6,26,,WNW,11,1011.5
,2021-10-23,17.0,38.0,0,,,WNW,54,15:35,25.3,63,1,NE,31,1013.6,36.0,28,,N,20,1008.3
,2021-10-24,14.8,28.7,0,,,SW,46,11:42,22.1,49,,SW,17,1016.6,28.3,20,,WSW,28,1014.0
,2021-10-25,14.2,27.8,0,,,WSW,37,15:04,21.0,31,7,ESE,15,1016.6,27.4,18,,SW,24,1013.9
,2021-10-26,7.8,,0,,,,,,20.7,28,,ESE,13,1018.2,28.3,12,,WSW,13,1014.5
