"Daily Weather Observations for Moruya, New South Wales for October 2020"
"Prepared at 13:00 UTC on Tuesday 12 October 2021   IDCJDW2085.202010"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Moruya Heads Pilot Station, but some from Moruya Airport."
"Temperature, humidity, pressure, cloud and rainfall observations are from Moruya Heads Pilot Station {station 069018}"
"Wind observations are from Moruya Airport AWS {station 069148}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-10-1,13.4,18.0,1.2,,,ESE,30,10:43,17.0,77,2,ESE,13,1013.7,17.9,66,3,E,17,1015.1
,2020-10-2,8.6,21.0,0,,,NE,35,14:30,15.8,69,0,NE,7,1022.1,18.6,60,0,NE,22,1019.8
,2020-10-3,13.0,30.0,0,,,N,44,12:11,20.2,63,0,ENE,7,1023.1,,,1,NNE,17,1018.1
,2020-10-4,15.1,26.1,0,,,NNE,41,16:05,18.9,64,3,NNW,7,1018.0,20.5,68,1,NE,26,1013.6
,2020-10-5,16.2,31.0,0,,,S,57,15:30,25.9,38,7,WNW,17,1013.5,29.4,28,7,NNW,22,1012.3
,2020-10-6,13.5,16.0,5.6,,,SSW,13,23:39,14.0,94,8,SSW,6,1023.0,15.2,90,8,SSE,11,1021.7
,2020-10-7,13.8,17.5,8.4,,,NE,13,15:43,16.0,96,8, ,Calm,1021.2,17.0,95,8,E,9,1018.4
,2020-10-8,15.7,23.8,19.6,,,NW,52,14:13,16.5,96,7,N,15,1008.4,23.5,45,1,WNW,24,1004.7
,2020-10-9,13.4,24.0,0,,,WNW,41,15:36,16.7,60,7,WNW,15,1010.9,23.9,33,5,WNW,15,1009.4
,2020-10-10,9.5,20.7,0,,,ENE,35,14:39,14.5,86,0,SE,2,1017.4,18.1,56,3,NE,19,1014.0
,2020-10-11,11.0,19.0,0,,,SSE,31,11:24,14.9,87,7,SW,9,1021.2,17.2,66,8,SE,15,1020.8
,2020-10-12,13.4,19.0,1.6,,,NE,30,11:41,15.0,93,7,WNW,6,1024.9,18.7,80,2,NE,20,1020.7
,2020-10-13,12.2,22.0,0.2,,,S,46,17:34,15.8,87,0,WNW,4,1020.7,19.7,71,6,SSE,19,1022.3
,2020-10-14,13.2,17.2,1.0,,,NE,24,17:34,14.0,94,8,WSW,9,1028.5,16.2,87,8,ENE,13,1025.3
,2020-10-15,13.7,22.3,1.2,,,NE,41,13:00,17.0,78,1,NNE,15,1018.0,19.8,76,6,NE,30,1010.2
,2020-10-16,13.5,16.8,4.6,,,SSE,41,05:15,13.8,91,8,SSW,11,1020.6,16.8,68,8,SE,17,1020.3
,2020-10-17,12.9,22.0,2.0,,,SSE,39,19:54,14.2,90,8,N,7,1013.4,19.7,77,7,NNE,26,1006.2
,2020-10-18,12.9,18.5,6.4,,,SSE,24,19:26,15.3,83,8,SE,15,1010.9,18.5,71,7,ESE,17,1011.2
,2020-10-19,12.5,17.2,0,,,SSE,24,00:11,14.9,65,8,SSW,7,1018.2,17.2,59,1,E,15,1017.3
,2020-10-20,12.5,18.9,0,,,NE,33,14:11,16.0,73,7,SSW,9,1019.9,18.2,68,1,NE,22,1016.8
,2020-10-21,13.0,20.5,0,,,NNE,44,15:36,17.6,76,1,NNE,13,1015.8,19.6,74,6,NNE,30,1011.7
,2020-10-22,15.8,20.0,0,,,SW,33,00:24,16.8,86,8,SSW,15,1016.2,18.5,81,7,SE,17,1013.9
,2020-10-23,14.7,21.0,0,,,NE,44,13:28,17.5,95,2,NNW,13,1012.7,20.2,74,6,NNE,31,1006.9
,2020-10-24,17.5,21.2,0.8,,,S,46,17:20,19.1,84,7,NE,11,1002.1,19.0,81,8,NE,19,999.5
,2020-10-25,10.2,14.2,10.8,,,SE,41,20:25,10.6,89,8,WSW,17,1015.5,14.0,84,8,SSW,19,1016.7
,2020-10-26,10.3,15.8,13.0,,,SSE,46,11:56,11.0,87,8,SSW,20,1023.3,15.8,62,7,SSE,28,1021.9
,2020-10-27,10.2,17.5,15.8,,,SW,33,01:41,12.2,94,8,SW,15,1023.5,17.1,78,5,S,19,1020.4
,2020-10-28,12.2,18.8,4.6,,,SE,26,09:25,14.6,90,7,SW,15,1020.5,18.8,75,1,ESE,17,1016.9
,2020-10-29,13.3,19.5,0,,,SE,28,09:28,15.5,82,7,SW,9,1014.4,19.5,81,7,SE,17,1010.8
,2020-10-30,13.6,20.1,2.0,,,E,30,22:57,16.3,94,7,W,7,1011.1,20.0,72,6,ESE,17,1010.1
,2020-10-31,16.3,17.5,2.2,,,ESE,52,12:12,17.4,93,8,ESE,28,1010.0,16.2,90,8,ENE,22,1009.8
