"Daily Weather Observations for Moruya, New South Wales for June 2021"
"Prepared at 13:00 UTC on Monday 18 October 2021   IDCJDW2085.202106"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Moruya Heads Pilot Station, but some from Moruya Airport."
"Temperature, humidity, pressure, cloud and rainfall observations are from Moruya Heads Pilot Station {station 069018}"
"Wind observations are from Moruya Airport AWS {station 069148}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-06-1,4.6,18.0,0,,,SW,15,09:39,7.6,93,6,WNW,2,1020.9,16.4,56,7,NNE,9,1019.2
,2021-06-2,7.6,18.4,0,,,W,17,04:22,10.8,83,2,W,7,1020.4,18.0,58,1,ENE,13,1017.2
,2021-06-3,10.5,13.5,4.0,,,WSW,17,10:23,11.4,95,8,W,6,1015.6,13.0,96,8,WSW,7,1011.4
,2021-06-4,10.3,17.2,0,,,S,30,14:08,12.0,89,3, ,Calm,1010.1,15.0,68,7,SSW,15,1010.6
,2021-06-5,4.2,15.2,0,,,NNE,28,12:17,6.8,88,0, ,Calm,1021.6,14.8,52,1,NNE,17,1018.2
,2021-06-6,6.6,18.2,0,,,NNE,22,15:38,9.8,82,0,NNW,2,1023.4,17.6,58,5,NE,15,1021.2
,2021-06-7,6.7,18.0,0,,,N,20,18:22,9.9,91,7,NNW,4,1021.3,17.5,61,7,NNE,11,1016.0
,2021-06-8,9.9,20.4,0,,,NNW,52,05:53,14.6,56,5,N,9,1009.6,19.7,41,2,NNW,15,1005.3
,2021-06-9,8.9,14.6,0,,,SSW,33,14:04,9.4,86,7,W,11,1004.2,12.5,71,7,SW,13,999.7
,2021-06-10,4.6,12.0,13.0,,,SSW,35,23:09,6.7,95,6,W,7,1006.0,10.7,95,7,W,7,1006.8
,2021-06-11,6.5,14.5,29.6,,,SW,46,00:54,12.0,96,7,WSW,15,1009.9,11.5,95,7,W,9,1009.4
,2021-06-12,9.9,14.2,6.8,,,WNW,37,02:30,14.0,64,7,NW,17,1010.8,13.5,66,7,NNW,15,1011.3
,2021-06-13,10.0,18.9,0,,,WNW,20,01:58,11.9,69,1,WNW,7,1014.9,17.5,66,2,ENE,13,1013.2
,2021-06-14,10.8,18.3,0,,,NW,28,21:31,12.0,91,4,WSW,6,1016.5,16.6,69,6,SE,9,1014.6
,2021-06-15,11.0,17.3,3.8,,,SE,19,13:34,11.9,89,7,W,9,1018.0,16.0,71,7,SSE,9,1015.7
,2021-06-16,7.6,17.2,0,,,NW,24,17:21,9.7,96,1, ,Calm,1015.9,16.5,74,7,NNE,9,1010.9
,2021-06-17,9.1,17.4,18.8,,,SW,24,14:49,9.9,87,1,WSW,7,1006.1,16.8,50,1,WSW,15,1003.9
,2021-06-18,6.2,13.5,0,,,SW,50,21:48,10.8,63,7,W,11,1005.5,11.5,90,8,W,11,1005.2
,2021-06-19,10.5,16.2,4.2,,,SW,59,02:27,13.2,69,3,SW,31,1015.3,15.0,60,3,SSW,28,1018.1
,2021-06-20,10.9,16.0,0,,,SW,43,09:38,12.5,73,6,SW,22,1025.3,14.0,78,8,SSW,17,1025.2
,2021-06-21,9.2,16.0,0,,,SE,24,14:25,12.7,77,7,WSW,11,1028.6,14.0,92,7,SE,11,1027.0
,2021-06-22,8.6,16.7,0,,,ENE,24,14:11,11.0,87,6,SW,11,1031.7,16.0,69,2,NE,17,1028.5
,2021-06-23,10.0,18.0,0,,,N,30,22:02,11.3,92,8,WNW,2,1025.7,14.5,80,8,NNE,6,1020.1
,2021-06-24,11.2,19.9,0,,,NNW,50,12:14,17.7,73,7,N,9,1010.7,15.3,88,7,NNW,7,1008.7
,2021-06-25,7.9,18.8,2.4,,,WNW,33,15:55,9.0,93,1, ,Calm,1013.1,17.6,52,1,NW,13,1011.5
,2021-06-26,9.0,18.8,0,,,WNW,28,09:50,11.9,77,1,WNW,13,1016.3,17.6,48,3,NW,6,1015.7
,2021-06-27,6.8,18.2,0,,,W,26,11:17,10.0,62,1,NW,7,1023.9,16.0,54,3,ENE,9,1024.5
,2021-06-28,7.5,15.8,0,,,S,22,10:43,8.9,96,1,WSW,7,1032.8,15.6,60,2,SE,13,1031.7
,2021-06-29,6.8,16.8,0,,,NNE,15,18:47,8.5,95,1,WSW,6,1035.1,16.2,70,6,NE,6,1032.6
,2021-06-30,8.3,17.1,2.0,,,E,20,13:40,11.0,97,1, ,Calm,1031.5,16.5,79,4,ENE,11,1027.5
