"Daily Weather Observations for Moss Vale, New South Wales for September 2020"
"Prepared at 13:00 UTC on Wednesday 13 October 2021   IDCJDW2086.202009"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Moss Vale AWS {station 068239}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-09-1,1.8,13.6,0.2,,,NNE,37,19:26,8.4,75,,NE,7,1024.9,12.9,54,,NNE,13,1020.5
,2020-09-2,5.2,20.3,0,,,WNW,50,15:20,13.0,60,,NNW,13,1019.9,17.2,32,,WNW,28,1016.5
,2020-09-3,9.6,24.2,0,,,WNW,63,11:30,20.0,40,,NW,22,1016.9,22.8,32,,NW,33,1015.0
,2020-09-4,7.3,18.7,0,,,WNW,37,11:11,13.9,62,,W,17,1018.8,16.0,56,,W,13,1015.2
,2020-09-5,4.0,15.5,0.4,,,WSW,52,10:26,11.0,62,,WSW,24,1017.0,14.7,53,,WSW,26,1017.2
,2020-09-6,-0.4,15.1,0.2,,,NNW,37,14:53,10.9,80,,NNE,20,1028.2,13.8,60,,N,22,1027.0
,2020-09-7,7.6,18.5,0,,,N,46,07:51,13.2,72,,N,33,1031.0,17.1,57,,NE,24,1028.8
,2020-09-8,6.6,22.0,0.2,,,WNW,41,13:32,14.9,65,,N,28,1029.1,21.0,47,,WNW,19,1025.7
,2020-09-9,8.6,9.3,1.0,,,SE,39,10:46,8.7,96,,SSE,24,1028.6,8.4,89,,SSE,19,1027.2
,2020-09-10,5.7,12.1,1.4,,,SSE,35,09:17,8.4,86,,ESE,22,1029.8,11.0,69,,ESE,20,1028.1
,2020-09-11,5.1,15.1,0.2,,,NNE,39,11:11,11.1,74,,NNE,20,1031.5,14.5,59,,NNE,19,1028.2
,2020-09-12,3.1,18.7,0.2,,,NNE,35,00:57,12.0,75,,WNW,13,1027.7,18.1,45,,W,19,1024.4
,2020-09-13,4.1,17.5,0,,,W,52,11:37,13.7,61,,N,9,1023.6,14.2,67,,NW,22,1021.4
,2020-09-14,5.7,20.2,0.8,,,W,35,11:10,13.5,69,,W,22,1025.8,19.7,36,,WSW,13,1023.6
,2020-09-15,8.9,20.8,0,,,NNE,33,10:01,13.2,80,,N,20,1029.2,19.8,46,,NNW,7,1025.6
,2020-09-16,8.3,21.9,0.2,,,WNW,41,10:41,18.0,67,,N,19,1024.3,21.5,38,,NW,20,1019.7
,2020-09-17,9.7,25.3,0,,,SSE,57,17:07,19.7,53,,NW,13,1023.4,17.6,64,,SE,31,1022.0
,2020-09-18,8.7,13.7,1.0,,,NNE,28,14:32,11.3,89,,ENE,11,1032.4,12.0,87,,NE,19,1029.2
,2020-09-19,11.1,18.4,0.2,,,NNE,48,12:32,13.4,90,,NNE,24,1027.4,17.1,72,,NE,26,1022.4
,2020-09-20,12.2,19.1,6.2,,,NNE,52,10:24,12.2,95,,NNE,31,1015.6,14.1,91,,N,19,1011.4
,2020-09-21,10.0,24.2,2.2,,,WSW,63,19:23,18.7,66,,NW,19,1012.0,23.6,51,,NNW,19,1008.4
,2020-09-22,10.2,18.6,4.0,,,W,63,12:36,15.0,51,,W,22,1011.1,17.5,39,,WNW,41,1009.3
,2020-09-23,7.9,15.2,0,,,W,72,09:33,12.3,55,,W,44,1011.4,12.8,51,,W,28,1010.6
,2020-09-24,5.4,13.8,0,,,W,61,08:30,10.5,69,,W,31,1013.1,12.5,43,,W,30,1011.1
,2020-09-25,4.3,16.2,0,,,WNW,76,23:12,13.2,55,,N,26,1005.5,7.1,82,,WSW,28,1000.6
,2020-09-26,2.8,9.4,5.0,,,W,85,10:01,5.6,60,,W,44,1007.6,8.4,62,,W,54,1009.1
,2020-09-27,3.1,12.9,0,,,W,41,00:11,9.2,60,,WSW,24,1020.5,11.2,49,,SW,17,1021.1
,2020-09-28,-0.8,16.7,0,,,S,28,13:25,10.2,66,,WNW,13,1027.0,15.5,36,,WSW,7,1023.7
,2020-09-29,6.2,15.5,0,,,NNE,33,14:42,11.4,75,,NNE,15,1027.1,14.8,58,,NE,19,1022.3
,2020-09-30,6.8,16.4,0,,,NNE,41,03:03,12.7,69,,NNE,20,1019.1,13.6,73,,NNW,17,1013.7
