"Daily Weather Observations for Moss Vale, New South Wales for June 2021"
"Prepared at 13:00 UTC on Monday 18 October 2021   IDCJDW2086.202106"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Moss Vale AWS {station 068239}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-06-1,-1.7,15.9,0,,,W,43,13:17,5.9,97,,WNW,9,1023.2,13.6,55,,WSW,17,1021.9
,2021-06-2,0.0,17.4,0,,,W,35,11:53,8.4,90,, ,Calm,1022.5,16.0,52,,WNW,11,1019.2
,2021-06-3,6.8,11.1,5.6,,,WNW,48,09:14,9.8,90,,NNE,13,1016.0,10.7,94,,E,11,1011.1
,2021-06-4,7.1,13.8,11.8,,,W,54,15:36,9.6,87,,W,24,1012.3,11.8,69,,W,31,1012.1
,2021-06-5,-0.1,11.3,0.2,,,W,41,21:35,4.3,88,,W,13,1022.4,10.9,58,,WNW,19,1020.4
,2021-06-6,1.8,14.3,0,,,WSW,39,01:40,6.4,80,,W,19,1025.5,14.0,53,,WNW,9,1023.8
,2021-06-7,3.4,15.4,0.2,,,W,30,06:04,8.4,87,,WNW,11,1024.1,15.1,57,,NW,11,1019.4
,2021-06-8,6.3,15.4,0,,,NNE,54,18:12,9.7,62,,N,19,1013.5,11.5,68,,NE,24,1008.3
,2021-06-9,-0.8,9.0,0,,,W,37,09:16,4.8,93,,WSW,19,1004.6,6.6,70,,NW,24,1001.1
,2021-06-10,-3.9,6.2,0,,,ENE,26,13:03,-1.4,98,,SSW,7,1004.6,3.7,92,,NE,17,1004.9
,2021-06-11,-1.4,10.8,0.2,,,W,39,14:06,6.1,98,,SW,9,1010.2,7.7,93,,WSW,20,1010.6
,2021-06-12,4.8,11.4,0,,,W,63,12:20,6.2,78,,WNW,31,1015.0,10.6,63,,W,28,1014.2
,2021-06-13,5.3,11.8,0,,,W,57,09:38,7.8,73,,W,30,1017.4,11.0,61,,W,26,1015.5
,2021-06-14,5.5,12.2,0,,,W,19,00:51,7.3,86,,W,9,1017.5,11.8,74,,WSW,9,1015.9
,2021-06-15,3.2,12.1,0,,,S,17,05:05,7.0,98,,WSW,6,1018.8,10.6,86,,SSE,7,1016.7
,2021-06-16,-0.1,,0.6,,,WNW,59,23:51,6.6,98,, ,Calm,1017.8,14.3,58,,N,17,1013.6
,2021-06-17,4.1,9.8,14.0,,,W,80,10:06,6.9,77,,W,41,1008.4,9.3,70,,W,31,1007.3
,2021-06-18,5.5,11.9,0,,,WSW,69,11:06,9.0,76,,W,43,1006.9,9.9,65,,WSW,33,1006.0
,2021-06-19,6.3,10.0,0.2,,,SSW,65,13:26,8.0,73,,SW,24,1014.7,8.2,90,,SSW,44,1016.8
,2021-06-20,6.1,9.9,0,,,S,46,04:01,6.8,87,,SSW,26,1024.6,8.6,84,,SSW,19,1024.4
,2021-06-21,5.7,10.7,0,,,S,20,04:36,7.1,98,,SSW,11,1028.5,8.6,93,,SE,11,1027.3
,2021-06-22,2.5,12.0,0,,,NNE,33,21:53,6.8,98,,W,2,1032.1,10.3,88,,ENE,13,1030.2
,2021-06-23,6.8,12.5,0,,,N,43,03:35,9.6,85,,NNE,24,1027.2,11.2,83,,NNE,17,1022.9
,2021-06-24,8.7,17.0,0,,,N,46,10:09,12.5,78,,N,28,1014.9,14.6,68,,NNW,30,1011.4
,2021-06-25,5.6,12.4,4.4,,,WNW,57,13:44,9.2,75,,WNW,15,1015.8,11.7,56,,WNW,35,1013.7
,2021-06-26,4.2,10.6,0.2,,,W,59,10:30,7.6,81,,W,30,1018.6,9.3,68,,W,31,1018.7
,2021-06-27,4.2,12.0,0,,,W,41,01:19,6.0,75,,W,24,1025.8,11.2,64,,WSW,24,1026.0
,2021-06-28,-2.4,10.9,0.2,,,SSE,26,11:03,3.2,98,,WNW,6,1032.9,10.3,78,,SE,13,1031.5
,2021-06-29,-1.1,11.6,0.2,,,ESE,19,11:01,4.8,98,, ,Calm,1035.1,9.9,92,,E,9,1032.8
,2021-06-30,4.8,13.1,3.8,,,NNE,30,22:51,10.5,97,,E,6,1032.1,13.0,81,,NNE,15,1028.4
