"Daily Weather Observations for Mount Boyce, New South Wales for September 2020"
"Prepared at 13:00 UTC on Wednesday 13 October 2021   IDCJDW2087.202009"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Mount Boyce AWS {station 063292}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-09-1,3.7,13.3,1.8,,,E,22,01:43,5.3,91,7,NE,4,,12.4,51,,ENE,9,
,2020-09-2,5.1,16.4,0,,,WSW,69,14:03,10.3,57,4,WNW,22,,14.8,37,4,W,33,
,2020-09-3,10.2,21.2,0,,,WNW,65,05:01,14.9,51,,W,35,,18.8,38,8,W,30,
,2020-09-4,11.1,14.7,0,,,WNW,59,01:24,12.4,66,8,W,28,,13.8,71,8,WNW,19,
,2020-09-5,4.9,13.8,3.4,,,WSW,48,07:56,7.2,71,,WSW,24,,12.9,54,5,WSW,20,
,2020-09-6,3.3,14.1,0.2,,,NNE,20,13:13,8.4,87,8,ENE,7,,12.1,69,8,E,9,
,2020-09-7,6.1,18.9,0,,,NE,30,08:12,12.2,70,,NE,13,,17.9,53,,ENE,7,
,2020-09-8,7.4,18.8,0,,,WSW,44,10:44,13.7,54,,WSW,20,,17.8,55,1,WSW,17,
,2020-09-9,10.6,10.8,4.2,,,ESE,31,21:26,10.7,99,8,ENE,11,,7.9,99,8,ENE,11,
,2020-09-10,4.4,11.5,12.6,,,E,33,06:54,5.1,96,8,E,11,,9.3,71,8,E,13,
,2020-09-11,3.4,14.1,2.4,,,E,31,00:02,8.3,88,8,ENE,9,,12.6,60,2,NE,9,
,2020-09-12,3.9,17.0,0.4,,,WSW,33,11:40,8.7,77,,W,20,,16.0,53,,W,15,
,2020-09-13,6.8,14.7,0,,,W,50,14:40,10.8,61,1,WSW,20,,10.7,66,8,W,24,
,2020-09-14,8.2,19.7,0,,,W,35,10:35,11.9,62,,WSW,17,,18.9,30,,NW,6,
,2020-09-15,8.1,19.9,0.2,,,W,24,12:38,12.2,86,8,NE,9,,19.3,38,,WNW,6,
,2020-09-16,9.5,19.0,0,,,WSW,48,13:24,13.8,67,,W,20,,18.4,44,,W,24,
,2020-09-17,12.4,22.0,0.2,,,W,43,11:24,15.7,52,1,WSW,17,,21.3,39,,W,17,
,2020-09-18,6.9,12.0,0.8,,,E,24,01:52,9.2,99,8,ENE,7,,11.6,88,8,ENE,7,
,2020-09-19,9.2,18.2,0,,,NE,30,05:23,12.0,94,8,ENE,13,,15.4,72,8,ENE,9,
,2020-09-20,10.1,16.2,14.0,,,W,44,13:53,10.7,99,7,ENE,13,,14.0,74,1,W,20,
,2020-09-21,10.4,22.1,1.0,,,W,52,23:42,16.2,70,,W,15,,20.7,47,2,W,20,
,2020-09-22,8.7,16.4,6.0,,,WSW,67,15:47,11.4,57,,W,26,,15.0,34,,WSW,41,
,2020-09-23,6.6,12.4,0,,,W,85,15:18,8.8,58,,WSW,33,,11.1,49,,WSW,43,
,2020-09-24,4.0,11.1,0,,,WSW,61,08:25,6.7,64,8,WSW,31,,9.8,45,,WSW,31,
,2020-09-25,3.8,12.7,0,,,SW,104,15:46,10.3,51,1,WNW,22,,10.9,59,5,WNW,22,
,2020-09-26,-0.4,6.0,4.6,,,W,74,07:04,1.2,81,8,W,33,,5.0,68,8,WSW,31,
,2020-09-27,0.7,11.6,0.2,,,WSW,56,00:58,5.7,68,1,WSW,17,,9.4,49,8,WSW,15,
,2020-09-28,1.6,15.4,0,,,W,24,13:50,5.3,68,,W,7,,13.9,25,,WSW,7,
,2020-09-29,4.1,16.1,0,,,ENE,24,23:54,8.4,71,8,NNE,7,,14.9,45,1,E,7,
,2020-09-30,5.3,14.1,0,,,WNW,39,17:02,11.6,64,8,NE,9,,10.6,77,8,NW,17,
