"Daily Weather Observations for Mount Boyce, New South Wales for November 2020"
"Prepared at 13:00 UTC on Monday 11 October 2021   IDCJDW2087.202011"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Mount Boyce AWS {station 063292}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-11-1,6.5,11.6,2.2,,,SW,44,13:46,10.1,94,7,SW,13,,11.2,92,,SSW,17,
,2020-11-2,7.3,16.6,2.4,,,S,33,03:00,11.6,77,,SSE,13,,14.5,66,,E,9,
,2020-11-3,6.5,20.2,0,,,ENE,24,12:17,12.6,73,,ENE,6,,19.4,45,,SE,9,
,2020-11-4,10.5,25.0,0,,,WSW,41,16:14,17.5,24,,WNW,9,,22.4,48,,W,20,
,2020-11-5,11.9,13.9,2.6,,,S,52,21:38,12.3,91,,NW,11,,7.9,98,8,SW,13,
,2020-11-6,5.2,17.6,26.2,,,S,44,23:35,6.4,82,,SSW,15,,16.5,49,,W,13,
,2020-11-7,6.3,17.4,0,,,E,30,20:22,9.4,84,,ESE,6,,16.1,61,,E,13,
,2020-11-8,5.9,16.8,0.2,,,ENE,24,19:31,7.9,81,,E,9,,14.8,49,,NE,9,
,2020-11-9,5.2,18.3,0,,,E,24,12:14,10.0,73,,NE,7,,15.6,57,,ENE,7,
,2020-11-10,5.6,22.3,0.2,,,ENE,20,16:42,12.1,67,,NE,9,,20.0,45,,NNE,7,
,2020-11-11,10.5,26.5,0,,,ENE,43,17:46,17.4,56,,W,6,,24.2,33,,WSW,20,
,2020-11-12,14.5,23.4,0,,,W,56,08:58,18.8,45,,WNW,20,,21.3,41,8,WNW,19,
,2020-11-13,13.1,19.5,8.0,,,W,56,13:37,13.6,82,8,N,17,,10.8,93,8,WSW,28,
,2020-11-14,8.2,19.6,3.6,,,W,46,15:05,12.0,67,,WSW,13,,18.3,46,,W,24,
,2020-11-15,11.4,28.2,0,,,W,20,04:26,17.8,38,,W,9,,27.2,27,,NE,9,
,2020-11-16,16.3,29.6,0,,,SW,74,12:20,21.7,31,8,WNW,11,,27.9,38,4,WSW,31,
,2020-11-17,11.6,23.2,0,,,SW,37,00:15,15.3,44,,W,9,,21.7,50,5,E,6,
,2020-11-18,10.8,20.1,5.0,,,NE,26,06:59,11.5,99,7,ENE,9,,17.9,61,,NE,9,
,2020-11-19,9.1,25.9,0,,,NE,24,06:51,15.6,66,,NE,11,,25.0,50,,E,7,
,2020-11-20,15.6,30.3,0,,,W,50,11:39,22.5,53,,WNW,15,,29.1,30,,W,26,
,2020-11-21,12.6,26.7,0,,,SW,41,16:59,19.7,38,,ENE,7,,26.4,49,,ENE,11,
,2020-11-22,13.9,26.0,1.0,,,W,63,12:27,21.6,53,8,W,17,,22.3,52,8,WSW,28,
,2020-11-23,15.1,19.7,0.8,,,WSW,80,14:16,19.0,72,7,W,26,,17.8,62,,W,39,
,2020-11-24,10.5,20.3,2.6,,,ENE,28,14:47,14.4,81,8,ENE,7,,19.0,65,3,E,11,
,2020-11-25,10.3,22.3,1.0,,,NE,20,06:13,13.8,90,7,ENE,9,,20.1,55,6,NNE,9,
,2020-11-26,13.0,29.4,0,,,SSW,43,09:25,19.6,61,,W,9,,25.7,37,5,W,17,
,2020-11-27,10.2,30.3,0,,,W,31,13:12,16.9,73,,NE,9,,28.6,38,,WSW,15,
,2020-11-28,16.6,31.6,0,,,W,54,09:24,24.8,42,,WNW,19,,29.8,31,,WNW,20,
,2020-11-29,17.8,29.1,0.4,,,W,89,13:31,24.8,31,3,WNW,31,,23.1,57,4,WSW,35,
,2020-11-30,9.5,18.8,4.8,,,ENE,30,00:50,10.3,99,8,ENE,9,,18.0,67,8,ENE,9,
