"Daily Weather Observations for Mudgee, New South Wales for September 2020"
"Prepared at 13:00 UTC on Wednesday 13 October 2021   IDCJDW2088.202009"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Mudgee Airport AWS {station 062101}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-09-1,3.3,17.6,0,,,N,33,13:47,11.6,69,,ESE,11,1024.4,17.1,47,,NE,11,1020.3
,2020-09-2,0.9,22.1,0,,,N,37,14:05,8.0,93,,S,6,1022.8,21.4,40,,NNW,19,1018.7
,2020-09-3,4.0,24.7,0,,,NNW,46,11:13,16.7,68,,NNW,11,1021.2,24.1,47,3,N,22,1017.3
,2020-09-4,7.9,20.0,0,,,W,30,18:55,16.1,63,8,ESE,6,1020.6,19.5,59,8,NNW,7,1015.4
,2020-09-5,8.6,18.9,7.6,,,SSW,31,10:22,10.9,100,4, ,Calm,1019.6,18.1,46,,W,17,1018.3
,2020-09-6,2.3,19.6,0,,,ENE,56,12:13,12.9,79,,S,15,1027.0,18.9,49,,ENE,19,1024.7
,2020-09-7,9.1,22.5,0,,,ENE,24,19:13,14.1,74,,S,15,1031.2,22.1,49,1,WNW,9,1027.9
,2020-09-8,3.1,22.9,0,,,WNW,28,12:36,12.8,82,,S,2,1031.1,22.6,51,1,NW,9,1026.4
,2020-09-9,9.2,16.3,0,,,SSE,30,17:39,12.7,98,8,NNE,2,1027.1,15.3,99,8,SSE,6,1024.3
,2020-09-10,9.8,16.2,17.0,,,SE,48,06:34,12.2,65,2,SE,24,1027.1,15.2,50,7,SE,20,1025.1
,2020-09-11,8.6,18.2,0,,,ENE,37,11:19,12.7,64,1,SE,17,1030.9,17.6,49,,ENE,13,1027.0
,2020-09-12,2.2,20.0,0,,,NW,30,12:32,8.5,99,8,SW,7,1029.5,19.5,49,,NW,7,1025.2
,2020-09-13,2.7,19.0,0,,,WSW,26,15:03,10.8,98,7, ,Calm,1026.3,18.5,56,8,WSW,19,1023.7
,2020-09-14,2.7,22.1,0,,,W,28,11:43,12.3,87,, ,Calm,1026.5,21.7,49,,WSW,17,1023.6
,2020-09-15,5.2,22.8,0,,,NNE,22,11:03,15.5,80,7,S,15,1029.1,22.0,47,1,NNW,11,1025.4
,2020-09-16,5.2,23.9,0,,,NW,37,12:36,15.5,83,,SSE,7,1026.4,22.4,45,8,NW,24,1021.5
,2020-09-17,5.7,25.3,0,,,NNW,31,12:02,17.4,71,,WNW,6,1025.7,25.0,44,,NNW,9,1022.0
,2020-09-18,11.8,20.6,0,,,ESE,39,01:22,15.5,74,8,SE,13,1030.6,20.1,59,,NE,26,1026.3
,2020-09-19,12.9,22.2,0,,,ENE,33,09:27,18.6,63,,ENE,19,1025.5,20.9,51,7,NE,17,1020.4
,2020-09-20,13.1,19.4,17.0,,,NNE,44,09:35,14.4,98,8,N,20,1016.0,16.2,96,8,NNW,13,1012.7
,2020-09-21,9.2,25.5,4.4,,,N,43,13:54,16.6,100,2, ,Calm,1013.5,23.9,63,2,NNW,28,1009.8
,2020-09-22,13.7,21.2,13.6,,,W,44,14:21,17.8,52,,SW,20,1014.1,20.4,37,,WNW,30,1013.1
,2020-09-23,3.9,18.3,0,,,W,48,10:59,14.7,57,,WNW,20,1016.4,16.8,44,8,W,28,1013.7
,2020-09-24,2.1,16.6,0,,,WSW,44,10:58,11.2,69,5,WSW,11,1017.0,15.1,51,8,WNW,24,1013.6
,2020-09-25,1.0,19.3,0.2,,,W,81,15:25,11.7,77,6,NNW,9,1009.3,18.3,35,8,NNW,41,1000.7
,2020-09-26,4.1,12.5,2.0,,,W,52,14:15,7.0,84,8,WNW,30,1014.8,12.1,53,8,W,33,1015.3
,2020-09-27,0.8,15.4,0,,,WSW,30,15:54,10.1,64,,SSE,6,1023.4,14.3,49,7,S,9,1021.7
,2020-09-28,-0.2,18.4,0,,,NE,28,09:52,12.4,70,,SE,9,1027.2,16.7,36,,NNW,9,1023.6
,2020-09-29,1.1,19.0,0,,,NE,37,10:52,13.9,59,,ESE,13,1026.6,18.1,38,,NE,6,1021.6
,2020-09-30,6.6,16.1,1.2,,,NNE,46,13:44,11.4,88,8,ENE,2,1020.4,13.6,90,8,N,17,1016.0
