"Daily Weather Observations for Mudgee, New South Wales for April 2021"
"Prepared at 13:00 UTC on Wednesday 20 October 2021   IDCJDW2088.202104"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Mudgee Airport AWS {station 062101}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-04-1,7.3,24.4,0,,,S,26,11:15,13.0,89,, ,Calm,1024.1,23.6,46,2,S,11,1022.1
,2021-04-2,8.2,26.1,0,,,SE,28,14:29,13.5,98,,S,2,1026.5,25.2,44,,ESE,11,1024.0
,2021-04-3,12.1,26.1,0,,,NNE,26,17:13,15.7,86,,S,13,1025.4,24.5,52,,NNE,17,1021.2
,2021-04-4,8.6,27.6,0,,,N,22,14:34,17.9,84,, ,Calm,1021.4,26.1,46,,NNE,9,1017.0
,2021-04-5,8.8,28.1,0,,,ESE,35,20:27,19.4,77,,SSE,15,1019.4,26.7,46,,NE,20,1016.2
,2021-04-6,14.8,25.8,0,,,ESE,41,11:15,21.2,66,,ESE,17,1021.3,24.9,46,,ESE,20,1017.9
,2021-04-7,15.0,25.4,0,,,SE,35,09:39,20.7,69,1,SE,17,1018.8,23.6,58,6,SE,13,1014.1
,2021-04-8,12.3,25.5,0,,,ENE,24,12:05,19.6,70,,SE,15,1014.2,25.1,51,1,N,6,1009.3
,2021-04-9,8.8,27.1,0,,,W,46,13:26,13.9,99,8, ,Calm,1009.1,25.9,37,6,WNW,19,1005.0
,2021-04-10,9.1,20.7,0.2,,,W,44,16:38,15.9,65,,WSW,20,1008.9,20.0,41,1,WSW,24,1007.0
,2021-04-11,6.4,15.6,0,,,WSW,56,11:02,11.6,50,4,WSW,33,1012.7,13.3,36,,WSW,31,1013.3
,2021-04-12,0.2,19.4,0,,,SW,24,04:54,9.9,58,,S,11,1020.0,18.5,32,,WNW,13,1017.2
,2021-04-13,-0.2,22.1,0,,,NE,31,10:47,11.0,67,,S,9,1022.3,21.0,28,,NNE,9,1018.1
,2021-04-14,2.0,24.6,0,,,WNW,46,12:05,13.0,73,3, ,Calm,1018.6,23.5,26,3,WNW,24,1015.0
,2021-04-15,3.7,23.5,0,,,W,39,12:52,15.1,61,, ,Calm,1017.4,22.8,33,,WSW,28,1014.0
,2021-04-16,9.1,21.1,0,,,SSE,31,07:51,15.6,47,8,SSE,13,1020.1,20.2,38,8,NE,17,1018.7
,2021-04-17,12.1,18.8,0,,,SE,24,00:48,13.7,85,8,S,6,1022.7,17.0,61,8,NNE,13,1019.7
,2021-04-18,7.0,20.3,4.2,,,WNW,17,13:23,8.8,99,8,SSE,7,1022.3,19.9,41,,NW,11,1018.2
,2021-04-19,0.9,21.5,0.2,,,NW,28,14:30,8.8,98,, ,Calm,1019.9,20.6,27,,NW,15,1015.6
,2021-04-20,0.2,21.5,0,,,NNW,37,14:34,9.5,78,, ,Calm,1017.9,20.8,36,8,NW,22,1012.8
,2021-04-21,3.7,18.6,0.2,,,SSW,35,08:17,11.8,58,,WSW,20,1014.4,17.3,37,,W,13,1012.7
,2021-04-22,-1.6,16.4,0,,,WSW,41,16:11,7.3,79,,N,11,1015.3,15.6,34,1,SW,26,1012.9
,2021-04-23,-1.4,18.9,0,,,WSW,43,11:38,9.1,70,,NNW,9,1019.3,18.7,40,,WSW,22,1016.8
,2021-04-24,-0.5,20.4,0,,,W,28,14:29,8.2,85,,SSW,4,1023.3,19.5,40,,WSW,17,1020.0
,2021-04-25,-0.5,21.1,0,,,SW,17,13:34,9.8,78,, ,Calm,1024.2,20.3,33,,NE,4,1020.9
,2021-04-26,0.7,21.6,0,,,SSE,20,09:13,11.3,95,7,SSE,15,1025.5,20.4,34,,NW,6,1022.2
,2021-04-27,1.4,22.7,0,,,SSW,24,10:15,12.3,85,,SSE,11,1027.6,22.0,37,,SW,7,1023.5
,2021-04-28,3.1,22.3,0,,,NNE,24,11:55,11.3,98,, ,Calm,1026.3,20.5,45,,SSW,9,1022.2
,2021-04-29,2.3,22.6,0,,,SSW,19,12:42,11.5,98,1,S,7,1024.8,21.9,35,5,SSE,9,1021.7
,2021-04-30,2.8,22.5,0,,,NE,30,15:04,13.4,91,,S,9,1028.1,22.3,38,2,ENE,15,1025.0
